G54908,12/01/2019,AAT,BPL
CZ6612,12/01/2019,AAT,CGO
JR1593,12/01/2019,AAT,KJI
JR1598,12/01/2019,AAT,KRY
CZ6842,12/01/2019,AAT,URC
CZ6844,12/01/2019,AAT,URC
GS7556,12/01/2019,AAT,URC
GS7558,12/01/2019,AAT,URC
MU9652,12/01/2019,AAT,XIY
CZ6836,12/01/2019,AAT,YIN
G52727,12/01/2019,ACX,BFJ
8L9637,12/01/2019,ACX,CGO
G52618,12/01/2019,ACX,CKG
EU2214,12/01/2019,ACX,CTU
8L9638,12/01/2019,ACX,JHG
8L9876,12/01/2019,ACX,KMG
G52602,12/01/2019,ACX,KWE
G52608,12/01/2019,ACX,KWE
G52610,12/01/2019,ACX,KWE
G52612,12/01/2019,ACX,KWE
G52614,12/01/2019,ACX,KWE
G52616,12/01/2019,ACX,KWE
G52628,12/01/2019,ACX,KWE
G52660,12/01/2019,ACX,KWE
G52678,12/01/2019,ACX,KWE
G54944,12/01/2019,ACX,KWE
GY7132,12/01/2019,ACX,KWE
MU5566,12/01/2019,ACX,NGB
DZ6362,12/01/2019,ACX,NTG
KN5202,12/01/2019,ACX,PKX
NS8004,12/01/2019,ACX,PKX
HO1044,12/01/2019,ACX,PVG
EU2213,12/01/2019,ACX,SZX
GJ8818,12/01/2019,ACX,WUH
ET606,12/01/2019,ADD,CAN
ET636,12/01/2019,ADD,CTU
ET604,12/01/2019,ADD,PEK
ET684,12/01/2019,ADD,PVG
CX174,12/01/2019,ADL,HKG
3U8804,12/01/2019,AEB,CKG
HO1820,12/01/2019,AEB,HGH
G52624,12/01/2019,AEB,KWE
HO1819,12/01/2019,AEB,LJG
BK2860,12/01/2019,AEB,SZX
CA402T,12/01/2019,AHJ,CTU
CZ306,12/01/2019,AKL,CAN
CZ336,12/01/2019,AKL,CAN
CX198,12/01/2019,AKL,HKG
NZ81,12/01/2019,AKL,HKG
CA784,12/01/2019,AKL,PEK
MU780,12/01/2019,AKL,PVG
NZ289,12/01/2019,AKL,PVG
G54907,12/01/2019,AKU,BPL
GJ8782,12/01/2019,AKU,CGO
GS6584,12/01/2019,AKU,CGO
PN6250,12/01/2019,AKU,CGO
CZ8751,12/01/2019,AKU,CKG
CA4244,12/01/2019,AKU,CTU
CZ8835,12/01/2019,AKU,HTN
G54397,12/01/2019,AKU,KCA
CZ8752,12/01/2019,AKU,KHG
G54332,12/01/2019,AKU,KRL
G54833,12/01/2019,AKU,KRY
G54850,12/01/2019,AKU,KRY
CA1240,12/01/2019,AKU,LHW
G54363,12/01/2019,AKU,QSZ
G54911,12/01/2019,AKU,TCG
CA1276,12/01/2019,AKU,URC
CZ6862,12/01/2019,AKU,URC
CZ6864,12/01/2019,AKU,URC
CZ6870,12/01/2019,AKU,URC
CZ6919,12/01/2019,AKU,URC
CZ8836,12/01/2019,AKU,URC
GJ8928,12/01/2019,AKU,URC
GS7514,12/01/2019,AKU,URC
GS7516,12/01/2019,AKU,URC
GS7518,12/01/2019,AKU,URC
SC8816,12/01/2019,AKU,XIY
G54331,12/01/2019,AKU,YIN
G54849,12/01/2019,AKU,YIN
KC267,12/01/2019,ALA,PEK
CZ6012,12/01/2019,ALA,URC
KC987,12/01/2019,ALA,URC
AH3060,12/01/2019,ALG,PEK
CZ308,12/01/2019,AMS,CAN
KL891,12/01/2019,AMS,CTU
CX270,12/01/2019,AMS,HKG
KL887,12/01/2019,AMS,HKG
CZ346,12/01/2019,AMS,PEK
KL897,12/01/2019,AMS,PEK
KL895,12/01/2019,AMS,PVG
MU772,12/01/2019,AMS,PVG
KL807,12/01/2019,AMS,TPE
KL883,12/01/2019,AMS,XMN
CZ6564,12/01/2019,AOG,CAN
HO1726,12/01/2019,AOG,NKG
CZ6113,12/01/2019,AOG,PKX
FM9198,12/01/2019,AOG,PVG
BR121,12/01/2019,AOJ,TPE
HU7682,12/01/2019,AQG,HAK
8L9960,12/01/2019,AQG,KMG
MU5539,12/01/2019,AQG,KWL
8L9959,12/01/2019,AQG,NGB
HU7681,12/01/2019,AQG,PEK
MU5540,12/01/2019,AQG,SHA
Y87528,12/01/2019,AQG,SZX
GS7634,12/01/2019,AQG,XIY
GS7633,12/01/2019,AQG,XMN
Y87527,12/01/2019,AQG,YNT
CA912,12/01/2019,ARN,PEK
MU290,12/01/2019,ARN,PVG
T5605,12/01/2019,ASB,PEK
DL185,12/01/2019,ATL,PVG
EY818,12/01/2019,AUH,CTU
SV6026,12/01/2019,AUH,CTU
EY834,12/01/2019,AUH,HKG
AZ5758,12/01/2019,AUH,PEK
EY888,12/01/2019,AUH,PEK
EY862,12/01/2019,AUH,PVG
JR1609,12/01/2019,AXF,BAV
G52716,12/01/2019,AXF,CKG
JR1513,12/01/2019,AXF,EJN
G52715,12/01/2019,AXF,HET
G54354,12/01/2019,AXF,HET
JR1514,12/01/2019,AXF,XIY
GY7185,12/01/2019,BAR,CKG
DR6586,12/01/2019,BAR,HFE
CA4398,12/01/2019,BAR,INC
CZ6740,12/01/2019,BAR,KWE
GY7178,12/01/2019,BAR,KWE
SC4794,12/01/2019,BAR,KWE
MU9612,12/01/2019,BAR,KWL
UQ3564,12/01/2019,BAR,LHW
NS3336,12/01/2019,BAR,SJW
SC4888,12/01/2019,BAR,TNA
CA8239,12/01/2019,BAR,TYN
CA8260,12/01/2019,BAR,WUH
CZ8570,12/01/2019,BAR,WUH
DZ6220,12/01/2019,BAV,CGO
G52894,12/01/2019,BAV,CIF
G54890,12/01/2019,BAV,CKG
EU2210,12/01/2019,BAV,CTU
MU5418,12/01/2019,BAV,HDG
3141,12/01/2019,BAV,HET
DR6536,12/01/2019,BAV,KMG
G52740,12/01/2019,BAV,KWE
MU2872,12/01/2019,BAV,NKG
CA1108,12/01/2019,BAV,PEK
CA1122,12/01/2019,BAV,PEK
CA1136,12/01/2019,BAV,PEK
KN2908,12/01/2019,BAV,PKX
FM9136,12/01/2019,BAV,PVG
FM9438,12/01/2019,BAV,PVG
DR6535,12/01/2019,BAV,SHE
EU2209,12/01/2019,BAV,SHE
HU7422,12/01/2019,BAV,SJW
G54889,12/01/2019,BAV,TSN
JR1609,12/01/2019,BAV,TSN
G52739,12/01/2019,BAV,TYN
G54869,12/01/2019,BAV,TYN
GJ8972,12/01/2019,BAV,TYN
CA8276,12/01/2019,BAV,WUH
CX318,12/01/2019,BCN,HKG
CA840,12/01/2019,BCN,PVG
G52728,12/01/2019,BFJ,ACX
CZ3942,12/01/2019,BFJ,CAN
G52673,12/01/2019,BFJ,CGO
G52674,12/01/2019,BFJ,CKG
G52680,12/01/2019,BFJ,CTU
G54816,12/01/2019,BFJ,DYG
G52679,12/01/2019,BFJ,HAK
GJ8918,12/01/2019,BFJ,HGH
GJ8931,12/01/2019,BFJ,JHG
HO1095,12/01/2019,BFJ,KMG
HO1697,12/01/2019,BFJ,KMG
G52620,12/01/2019,BFJ,KWE
G52630,12/01/2019,BFJ,KWE
G52690,12/01/2019,BFJ,KWE
GY7130,12/01/2019,BFJ,KWE
GJ8917,12/01/2019,BFJ,LJG
HO1698,12/01/2019,BFJ,NKG
KN5210,12/01/2019,BFJ,PKX
HO1096,12/01/2019,BFJ,SHA
CZ6474,12/01/2019,BFJ,SZX
G52727,12/01/2019,BFJ,TNA
