Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.38132,0.90058,0.34202,0.18241,0.31894,0.69971,0.79875,0.78853,0.57481,0.35937,0.57953,1.15257,1.40788,1.02454,0.51278,0.41534,
5 to 9,0.9698,7.45288,2.43553,0.41768,0.25103,0.34104,0.93109,1.14214,0.95028,0.66782,0.60661,1.17597,1.32237,1.44857,1.36021,0.53815,
10 to 14,0.52613,1.39067,11.88506,3.48861,0.29795,0.17718,0.68019,0.96921,1.10747,0.7857,0.81891,0.76078,0.81383,1.13258,1.04674,0.74031,
15 to 19,0.33468,0.4124,0.95227,9.6583,2.18549,0.56249,0.32761,0.56495,0.90184,1.10805,0.9528,0.94764,0.82191,0.61259,0.89266,0.59869,
20 to 24,0.52472,0.25521,0.36277,1.02922,3.02814,1.73777,0.93811,0.65593,0.88655,0.92801,1.09992,1.04371,0.8474,0.6649,0.27549,0.21629,
25 to 29,0.79129,0.58554,0.31076,0.48977,1.51897,2.75344,1.71266,1.30789,1.21617,1.03963,1.44573,1.64763,1.33904,0.93627,0.55516,0.20471,
30 to 34,0.90923,0.83947,0.47386,0.35573,0.99593,1.71761,2.37408,1.67627,1.63406,1.23494,1.32694,1.78612,1.54906,1.2937,0.51075,0.32424,
35 to 39,0.78616,0.87127,0.67116,0.52724,0.88083,1.36529,1.82743,2.45136,1.89591,1.48706,1.30863,1.38746,1.65092,1.19564,0.91447,0.47196,
40 to 44,0.50624,0.73406,0.76631,0.64533,0.80667,1.19485,1.45203,2.04182,2.50841,1.65028,1.82224,1.58342,1.46734,1.17627,0.94443,0.47505,
45 to 49,0.33217,0.35586,0.46768,0.59864,0.9077,1.01897,1.16947,1.37302,1.79526,1.87596,1.96732,1.3969,1.28224,0.70376,0.72108,0.49107,
50 to 54,0.3989,0.25909,0.27919,0.31884,0.65868,0.99654,0.96806,1.06197,1.33008,1.30335,1.8061,1.71319,1.24409,0.82008,0.55102,0.48075,
55 to 59,0.35977,0.28008,0.17323,0.15279,0.40622,0.5885,0.76914,0.66341,0.59614,0.71837,1.17259,1.61077,1.43522,0.82958,0.41638,0.27801,
60 to 64,0.26475,0.26818,0.13414,0.1031,0.21677,0.33317,0.43648,0.47058,0.46197,0.36904,0.52577,0.89605,1.10078,0.82137,0.72757,0.21307,
65 to 69,0.20207,0.18229,0.13272,0.07705,0.08676,0.12649,0.18872,0.25912,0.22838,0.17687,0.18427,0.34643,0.59274,0.74467,0.63502,0.31005,
70 to 74,0.13477,0.09606,0.10384,0.04562,0.07489,0.04734,0.07889,0.13765,0.13102,0.1189,0.11244,0.15405,0.32879,0.34819,0.68073,0.27902,
75+,0.07037,0.07244,0.08561,0.03168,0.06176,0.02963,0.07025,0.0548,0.06174,0.10534,0.0955,0.10621,0.13395,0.16586,0.30885,0.20235,
