Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,2.50248,1.7076,0.90104,0.54955,0.74384,1.285,1.2405,1.2658,0.93373,0.55029,0.79547,1.08413,1.20181,0.75031,0.37231,0.28428,
5 to 9,2.18704,7.17234,2.89092,1.0194,0.59661,0.65577,1.35643,1.63279,1.3408,0.92748,0.73633,1.0899,1.08253,1.00443,0.9086,0.34745,
10 to 14,1.31528,2.22911,7.64579,2.87614,0.61829,0.36089,0.9429,1.20962,1.21923,0.89329,0.86075,0.60285,0.61693,0.72823,0.58943,0.43139,
15 to 19,0.82463,0.87852,1.43559,6.64328,2.51393,0.85654,0.4432,0.7192,0.87225,0.986,0.85583,0.70449,0.58406,0.39101,0.49532,0.35503,
20 to 24,1.1597,0.50637,0.70093,1.73903,3.57456,1.86116,0.9009,0.55626,0.65641,0.68095,0.76122,0.59006,0.43876,0.3456,0.12794,0.10997,
25 to 29,1.61651,1.11237,0.63798,0.92217,1.88623,2.44503,1.54561,1.04322,0.85702,0.70292,0.88861,0.87997,0.62788,0.43001,0.26454,0.09637,
30 to 34,1.76451,1.36911,0.8417,0.62932,1.13428,1.64332,1.79973,1.35187,1.19674,0.81247,0.83508,0.96587,0.74149,0.60161,0.21884,0.14218,
35 to 39,1.52513,1.39128,1.0512,0.88705,0.84545,1.18843,1.51198,1.70984,1.31423,0.99956,0.77148,0.73142,0.77552,0.54131,0.37605,0.21742,
40 to 44,1.0479,1.19864,1.15654,0.9514,0.77676,0.93462,1.12303,1.45113,1.48182,0.98357,0.98234,0.7614,0.6304,0.52266,0.34341,0.20898,
45 to 49,0.71541,0.61954,0.74599,0.86659,0.90164,0.84307,0.86969,0.97012,1.1174,0.99575,1.01175,0.68709,0.52902,0.28328,0.2585,0.18015,
50 to 54,0.87751,0.50263,0.50204,0.51204,0.63284,0.81398,0.76422,0.73428,0.80134,0.75905,0.80278,0.76179,0.52027,0.34571,0.24613,0.20561,
55 to 59,0.79758,0.54407,0.31932,0.25533,0.42573,0.47899,0.60431,0.49183,0.35854,0.41125,0.60103,0.58566,0.50943,0.30381,0.15168,0.10642,
60 to 64,0.58883,0.52312,0.25704,0.19382,0.19831,0.25066,0.34404,0.39468,0.31506,0.22198,0.27021,0.35394,0.29345,0.24,0.22363,0.0673,
65 to 69,0.46089,0.35737,0.25919,0.15144,0.11494,0.12824,0.17298,0.24031,0.19848,0.1215,0.1104,0.16227,0.20167,0.16153,0.16222,0.09499,
70 to 74,0.30154,0.18438,0.19258,0.09037,0.11831,0.05871,0.08487,0.13243,0.10957,0.08569,0.07379,0.06541,0.11403,0.09604,0.138,0.06872,
75+,0.15213,0.13354,0.15475,0.05883,0.09484,0.03621,0.07208,0.05151,0.05305,0.07438,0.05935,0.04843,0.04425,0.04617,0.07827,0.04057,
