Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,2.94677,1.96913,1.00875,0.62824,0.92476,1.45897,1.21121,1.40644,0.92137,0.66675,0.68372,1.14707,0.8426,0.82103,0.21759,0.47449,
5 to 9,2.49168,5.72663,3.0361,1.13933,0.65794,0.76054,1.34527,1.77666,1.37514,1.21578,0.77243,1.4076,1.00149,1.42037,0.69493,0.71265,
10 to 14,1.3213,2.37721,7.83957,2.92177,0.57266,0.32914,0.75354,1.05036,0.96844,1.00994,0.80271,0.74513,0.56894,0.99197,0.42543,0.79264,
15 to 19,0.70597,0.72026,1.25837,6.95633,2.51723,0.87724,0.41016,0.67501,0.62594,0.9006,0.69787,0.74856,0.41906,0.41328,0.24924,0.42841,
20 to 24,1.09995,0.47824,0.66805,2.06521,3.51798,1.84145,0.92828,0.59835,0.66572,0.61299,0.57955,0.58423,0.41192,0.33749,0.06796,0.12807,
25 to 29,1.68508,1.13841,0.65474,1.15505,2.11415,2.49934,1.59536,1.20543,1.05288,0.89264,0.95287,0.90828,0.67926,0.56373,0.14246,0.12045,
30 to 34,1.87773,1.33556,0.81925,0.83708,1.39754,1.82072,1.91185,1.42214,1.46175,1.14955,1.07274,1.12296,0.79034,0.68271,0.11861,0.1587,
35 to 39,1.69678,1.44646,1.02427,1.03806,1.1175,1.44417,1.64267,1.69577,1.44987,1.30574,1.04749,0.97204,0.88847,0.5485,0.17159,0.21046,
40 to 44,1.18835,1.26361,1.14202,1.0865,0.93404,1.19383,1.38909,1.62871,1.68214,1.28771,1.41112,1.14451,0.91312,0.59785,0.17624,0.20575,
45 to 49,0.86483,0.69829,0.80286,1.02738,1.01075,1.03142,1.1572,1.20997,1.4465,1.32356,1.49305,1.11338,0.94683,0.48067,0.17439,0.29756,
50 to 54,1.02805,0.57093,0.54999,0.61467,0.72387,0.91737,0.86799,0.92382,1.08901,0.99606,1.17495,1.16395,0.89896,0.67556,0.24497,0.35236,
55 to 59,0.92384,0.60491,0.35664,0.3341,0.49254,0.53572,0.65251,0.54092,0.48324,0.61668,0.84882,0.81493,0.7832,0.52274,0.16531,0.19757,
60 to 64,0.67923,0.5797,0.28121,0.23545,0.26559,0.31313,0.35915,0.3365,0.35446,0.30591,0.38242,0.47181,0.36782,0.32557,0.17872,0.11725,
65 to 69,0.55653,0.40423,0.27993,0.1748,0.12732,0.14066,0.16868,0.18911,0.16148,0.14485,0.12619,0.20471,0.19468,0.13469,0.12027,0.16394,
70 to 74,0.37774,0.20534,0.2038,0.08845,0.10882,0.04716,0.05563,0.07894,0.06642,0.05745,0.05691,0.06168,0.08631,0.07702,0.10263,0.06929,
75+,0.1868,0.1531,0.17171,0.0579,0.08753,0.02723,0.04972,0.03165,0.03091,0.05045,0.03861,0.04112,0.03609,0.04466,0.0555,0.03022,
