Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.92319,1.25151,0.54188,0.31476,0.51196,0.96727,0.92779,0.90112,0.58923,0.32214,0.43797,0.66881,0.77854,0.50753,0.20892,0.19749,
5 to 9,1.37782,8.27914,2.61291,0.65369,0.36407,0.45763,1.05825,1.27191,0.94081,0.56342,0.45462,0.6783,0.70634,0.69665,0.53342,0.25397,
10 to 14,0.76226,1.68674,8.59226,2.61482,0.44747,0.23879,0.77656,1.10246,1.08717,0.65598,0.58698,0.42736,0.43031,0.53861,0.40408,0.35416,
15 to 19,0.48047,0.55412,1.13632,6.31228,2.40491,0.80894,0.41061,0.73503,0.91481,0.95469,0.73189,0.57934,0.44943,0.30898,0.34379,0.28199,
20 to 24,0.78451,0.33249,0.53071,1.68393,3.85719,2.17076,1.07187,0.70732,0.87021,0.81484,0.84455,0.64842,0.50047,0.3477,0.10184,0.10084,
25 to 29,1.13715,0.82009,0.47067,0.86246,2.09427,3.16631,1.91234,1.36986,1.14891,0.90201,1.15613,1.05158,0.80642,0.52722,0.2142,0.09467,
30 to 34,1.24137,1.10256,0.70021,0.62322,1.33295,2.05744,2.49452,1.77308,1.55602,1.07846,1.11119,1.19433,0.93221,0.6982,0.19768,0.15102,
35 to 39,1.05507,1.11044,0.94942,0.87793,1.08197,1.53427,1.94646,2.35088,1.72615,1.23006,1.04775,0.92598,0.97794,0.59605,0.35575,0.2361,
40 to 44,0.70809,0.94252,1.0522,1.02764,0.97845,1.26458,1.4748,1.95798,2.10739,1.31337,1.4032,1.05232,0.85747,0.60261,0.35272,0.23235,
45 to 49,0.48237,0.47023,0.6548,0.92357,1.11629,1.0871,1.1548,1.2745,1.51905,1.38917,1.46067,0.89063,0.74347,0.36739,0.26124,0.2241,
50 to 54,0.58915,0.35959,0.40983,0.51528,0.80888,1.08864,1.0012,0.99915,1.1373,1.04032,1.3094,1.08578,0.72469,0.4388,0.20426,0.21695,
55 to 59,0.54182,0.39525,0.25937,0.24998,0.5054,0.62495,0.77655,0.62663,0.48739,0.54096,0.84455,0.89632,0.78652,0.41099,0.14862,0.11889,
60 to 64,0.39248,0.37964,0.20393,0.17207,0.24247,0.32722,0.42681,0.47241,0.38132,0.26878,0.35265,0.49178,0.50734,0.38583,0.25671,0.08937,
65 to 69,0.30049,0.25679,0.20258,0.12931,0.11726,0.14396,0.2015,0.27671,0.21124,0.1387,0.12687,0.18553,0.29647,0.29055,0.21809,0.132,
70 to 74,0.20048,0.13664,0.15893,0.07763,0.11284,0.06224,0.09206,0.1559,0.12855,0.09778,0.07702,0.07894,0.16117,0.15551,0.21541,0.1195,
75+,0.10157,0.09999,0.12918,0.05192,0.09185,0.03703,0.0802,0.06176,0.0612,0.08586,0.06341,0.0534,0.06479,0.07195,0.1104,0.07838,
