Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.76588,0.98934,0.3381,0.21142,0.38285,0.83078,0.84649,0.77288,0.53697,0.32741,0.52909,0.86394,1.0201,0.71939,0.35791,0.31774,
5 to 9,1.00492,8.16076,2.46122,0.47916,0.3006,0.38431,0.94232,1.10752,0.88744,0.58961,0.54507,0.87819,0.94031,1.01575,0.9448,0.40842,
10 to 14,0.49074,1.32179,11.30538,3.75978,0.36253,0.20591,0.68074,0.94361,1.08547,0.71508,0.72597,0.56239,0.57437,0.78553,0.72959,0.55513,
15 to 19,0.32291,0.38865,1.00694,11.33167,2.80529,0.63806,0.32852,0.53816,0.86875,1.0321,0.87127,0.71132,0.59233,0.42651,0.63473,0.45082,
20 to 24,0.49324,0.24665,0.3776,1.20506,3.94233,1.98962,0.97084,0.6301,0.82896,0.8816,1.05028,0.81519,0.63156,0.46753,0.2075,0.17181,
25 to 29,0.78241,0.55782,0.31958,0.55238,1.7605,3.47021,1.89817,1.36014,1.20767,1.0209,1.42778,1.38325,1.06901,0.67895,0.41937,0.16906,
30 to 34,0.91299,0.86967,0.50563,0.39297,1.11579,2.04844,2.84427,1.77668,1.65466,1.22703,1.31098,1.56304,1.26309,0.95076,0.38383,0.26759,
35 to 39,0.77226,0.89215,0.749,0.6197,0.91393,1.53166,1.99558,2.65799,1.84401,1.40956,1.2254,1.17915,1.30996,0.8836,0.69114,0.37235,
40 to 44,0.46927,0.71471,0.85226,0.79148,0.8573,1.27057,1.50958,1.99483,2.49816,1.51163,1.62811,1.30047,1.13902,0.84758,0.7122,0.37514,
45 to 49,0.30603,0.33515,0.49626,0.73363,1.04968,1.11304,1.19938,1.3203,1.65039,1.84548,1.7598,1.1243,0.98369,0.50283,0.55124,0.39419,
50 to 54,0.37251,0.24236,0.28603,0.36823,0.72751,1.10764,1.00428,1.0081,1.19719,1.18479,1.72689,1.38172,0.94702,0.57732,0.41701,0.38874,
55 to 59,0.32896,0.26396,0.17534,0.16747,0.43095,0.62962,0.7897,0.63082,0.52557,0.62246,1.03417,1.40986,1.0839,0.59543,0.32488,0.2321,
60 to 64,0.2441,0.24859,0.13636,0.11418,0.20707,0.33467,0.43772,0.45762,0.41421,0.32348,0.46436,0.70792,0.93993,0.59857,0.56238,0.1796,
65 to 69,0.18175,0.16918,0.13668,0.08806,0.09136,0.12794,0.18502,0.25403,0.21224,0.1549,0.16927,0.27406,0.45786,0.64866,0.50374,0.25809,
70 to 74,0.12185,0.08917,0.10761,0.05459,0.09384,0.05863,0.08656,0.14484,0.13526,0.12127,0.11375,0.13013,0.26539,0.2716,0.58866,0.23082,
75+,0.06583,0.06929,0.08947,0.0392,0.0797,0.03906,0.07855,0.05759,0.06411,0.10988,0.10158,0.09217,0.10977,0.13122,0.23741,0.18703,
