Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.68255,0.7765,0.24784,0.15578,0.26992,0.6201,0.59196,0.61293,0.54003,0.32668,0.47152,0.68068,1.03821,0.90417,0.44806,0.44856,
5 to 9,0.83186,7.15181,2.10238,0.35899,0.206,0.28154,0.70925,0.91049,0.88725,0.58113,0.50065,0.718,0.9506,1.29774,1.21307,0.57432,
10 to 14,0.40474,1.01121,10.45615,3.20987,0.25957,0.15616,0.5368,0.82302,1.17187,0.73886,0.66739,0.46901,0.59178,1.01758,0.99282,0.79447,
15 to 19,0.26483,0.2752,0.81531,9.41632,2.0947,0.48011,0.24769,0.44596,0.98925,1.13323,0.81763,0.58358,0.60473,0.56002,0.85255,0.65194,
20 to 24,0.41732,0.17366,0.29218,0.94074,3.15634,1.70965,0.82025,0.60213,0.97276,1.06559,1.11947,0.72577,0.63168,0.58488,0.3087,0.26767,
25 to 29,0.71545,0.4238,0.25531,0.4206,1.4829,3.26975,1.68274,1.35929,1.40771,1.23514,1.60955,1.34409,1.05981,0.79178,0.63109,0.27529,
30 to 34,0.78624,0.7254,0.44759,0.30109,0.92662,1.82918,2.58002,1.71074,1.87691,1.39686,1.4155,1.53787,1.26847,1.159,0.54593,0.42892,
35 to 39,0.63833,0.68822,0.65616,0.5115,0.81283,1.4484,1.79647,2.74094,2.15615,1.65908,1.3663,1.18664,1.30335,1.26184,1.05669,0.56139,
40 to 44,0.3633,0.48669,0.66874,0.68324,0.79367,1.2789,1.45148,2.08177,3.15804,1.85671,1.90975,1.38148,1.10854,1.08055,1.1124,0.57381,
45 to 49,0.24901,0.23759,0.39014,0.61636,0.9509,1.12212,1.17987,1.41368,2.03243,2.4504,2.08459,1.18136,0.92088,0.61713,0.85925,0.65814,
50 to 54,0.3206,0.17654,0.22081,0.29467,0.6713,1.11033,0.95101,1.08026,1.47174,1.47019,2.16411,1.42855,0.90549,0.67212,0.60987,0.63531,
55 to 59,0.27572,0.20281,0.13752,0.13117,0.35823,0.58918,0.71335,0.62513,0.61052,0.72612,1.12805,1.55061,1.08199,0.77148,0.4898,0.38981,
60 to 64,0.20678,0.18251,0.10693,0.08682,0.14494,0.24928,0.32666,0.392,0.41625,0.31918,0.42265,0.60764,1.1521,0.84659,0.85099,0.30367,
65 to 69,0.14212,0.12042,0.10588,0.06764,0.05829,0.08166,0.1216,0.21421,0.22236,0.15279,0.15505,0.23229,0.53163,1.12879,0.76764,0.42863,
70 to 74,0.09571,0.06427,0.08681,0.04285,0.07035,0.04718,0.06674,0.13297,0.16542,0.14783,0.11761,0.12304,0.33,0.41512,1.03167,0.3854,
75+,0.05675,0.05371,0.07296,0.03489,0.06383,0.03692,0.0628,0.05295,0.07909,0.14633,0.12064,0.09508,0.13975,0.21203,0.35385,0.36229,
