Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,2.32322,1.41345,0.61904,0.32835,0.55136,1.04448,1.05309,0.90321,0.57865,0.34643,0.53964,0.85306,0.88251,0.45168,0.17592,0.11435,
5 to 9,1.82204,6.38355,2.71212,0.67962,0.41444,0.5041,1.17452,1.24018,0.90573,0.62501,0.56192,0.89698,0.82949,0.63627,0.45836,0.14897,
10 to 14,1.08947,2.1037,11.72614,3.47605,0.47929,0.26481,0.83974,1.00659,0.95567,0.6787,0.74511,0.57221,0.49763,0.4833,0.32909,0.19488,
15 to 19,0.68346,0.73246,1.31116,8.61054,2.50846,0.72504,0.38046,0.57128,0.73879,0.86262,0.78029,0.66153,0.4914,0.24872,0.2756,0.15731,
20 to 24,1.08776,0.43674,0.57649,1.45036,3.55408,1.78258,0.83046,0.45884,0.54947,0.59377,0.70796,0.57015,0.3913,0.23097,0.07601,0.05197,
25 to 29,1.58737,1.03264,0.50994,0.72108,1.7151,2.41108,1.42902,0.84708,0.66693,0.56995,0.80487,0.82938,0.56232,0.26883,0.15527,0.04802,
30 to 34,1.75841,1.37549,0.7334,0.49794,1.00919,1.50381,1.80447,1.14485,0.94403,0.65511,0.70243,0.85812,0.64965,0.395,0.1363,0.07098,
35 to 39,1.50985,1.40709,0.98601,0.74138,0.75574,1.05126,1.40641,1.56001,1.10748,0.82457,0.67805,0.64561,0.68378,0.38745,0.23999,0.1086,
40 to 44,1.00923,1.20379,1.10857,0.8652,0.73455,0.84196,1.02582,1.28753,1.39365,0.91009,0.94221,0.71007,0.57686,0.34098,0.23542,0.10479,
45 to 49,0.68179,0.60089,0.69512,0.79765,0.91243,0.79463,0.80114,0.85132,1.01649,0.99677,1.03476,0.65479,0.49292,0.18318,0.18101,0.10094,
50 to 54,0.8284,0.46027,0.44073,0.43967,0.62593,0.78547,0.73939,0.6379,0.72518,0.73147,0.89028,0.79753,0.4952,0.21503,0.15463,0.1049,
55 to 59,0.75755,0.50252,0.27805,0.2118,0.40401,0.45301,0.58454,0.42381,0.30605,0.3635,0.59968,0.65272,0.52958,0.22634,0.10935,0.05786,
60 to 64,0.55475,0.48411,0.21799,0.15103,0.17924,0.22647,0.33231,0.35296,0.25901,0.19274,0.26743,0.39384,0.37828,0.21265,0.17608,0.04103,
65 to 69,0.4298,0.33001,0.21733,0.11476,0.09928,0.10721,0.16347,0.20941,0.14624,0.09196,0.10101,0.16761,0.23299,0.18505,0.14481,0.06015,
70 to 74,0.28573,0.17342,0.16743,0.07246,0.11171,0.06033,0.09098,0.12823,0.09993,0.08255,0.07594,0.08028,0.1419,0.10469,0.13716,0.05023,
75+,0.14521,0.12754,0.13669,0.04835,0.09092,0.03632,0.07974,0.05078,0.04742,0.07191,0.06189,0.05554,0.05649,0.04846,0.07275,0.03212,
