Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.64719,0.98186,0.40171,0.20517,0.34833,0.88873,1.1012,1.15825,0.86544,0.43139,0.50084,0.6225,0.53116,0.30756,0.11152,0.09608,
5 to 9,1.15191,7.27996,2.55179,0.47347,0.27785,0.41451,1.17661,1.63389,1.42166,0.78963,0.56203,0.6841,0.49934,0.43737,0.29328,0.12708,
10 to 14,0.63597,1.57424,12.54454,3.75397,0.33528,0.21947,0.84058,1.34842,1.69397,0.95413,0.76589,0.46298,0.30301,0.33394,0.22252,0.16705,
15 to 19,0.39864,0.48015,1.12376,10.59657,2.38268,0.62885,0.37247,0.68448,1.23211,1.24905,0.84578,0.5436,0.3277,0.17692,0.19406,0.13899,
20 to 24,0.65033,0.29643,0.42938,1.10284,3.21691,1.84141,0.9617,0.65625,0.93767,0.94968,0.84718,0.51753,0.28988,0.18899,0.06098,0.05059,
25 to 29,1.02313,0.69008,0.3664,0.50234,1.42376,3.1626,1.91898,1.42913,1.2637,0.9751,1.10313,0.88606,0.50222,0.27602,0.12339,0.05116,
30 to 34,1.22846,1.03331,0.55596,0.34304,0.86562,1.8577,2.81962,1.92768,1.78343,1.12548,0.9747,0.97186,0.58716,0.38714,0.11428,0.07777,
35 to 39,1.06346,1.10991,0.81942,0.54673,0.68128,1.36721,1.97989,2.94103,2.06803,1.35643,0.9244,0.74605,0.61845,0.3528,0.20134,0.11237,
40 to 44,0.64946,0.91238,0.96796,0.69502,0.65116,1.10775,1.43542,2.09888,2.80341,1.45619,1.21441,0.8125,0.53095,0.34307,0.20639,0.10898,
45 to 49,0.41909,0.42614,0.57235,0.66537,0.83604,0.97152,1.10237,1.33312,1.72881,1.78018,1.30019,0.69522,0.44758,0.20008,0.16014,0.11036,
50 to 54,0.50678,0.30995,0.33628,0.34379,0.55587,0.94411,0.94496,0.95158,1.14576,1.10749,1.20606,0.82088,0.41624,0.22515,0.12774,0.11073,
55 to 59,0.45218,0.32922,0.2045,0.15337,0.33236,0.52419,0.73378,0.63317,0.48925,0.52258,0.71879,0.78721,0.45799,0.22959,0.09747,0.06513,
60 to 64,0.33459,0.31621,0.15824,0.10532,0.13839,0.24624,0.3967,0.52413,0.43893,0.29123,0.31844,0.3985,0.39547,0.22151,0.16233,0.04974,
65 to 69,0.25572,0.21664,0.15704,0.08391,0.07631,0.11379,0.19901,0.3271,0.28636,0.16649,0.13557,0.17212,0.20721,0.24158,0.14301,0.07181,
70 to 74,0.17073,0.11381,0.12247,0.05301,0.08508,0.06054,0.10543,0.19953,0.19999,0.14968,0.09859,0.08416,0.12328,0.1064,0.16107,0.06391,
75+,0.08915,0.08634,0.1015,0.03671,0.07032,0.03794,0.09482,0.07958,0.09379,0.13181,0.0837,0.05829,0.05044,0.04987,0.07176,0.04917,
