Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.79342,0.91275,0.29356,0.22334,0.39641,0.81685,0.82945,0.65376,0.43524,0.31021,0.54255,1.04443,1.32109,0.87371,0.45341,0.45481,
5 to 9,0.98004,7.95004,2.28522,0.50264,0.32323,0.3934,0.9186,0.91229,0.72839,0.56939,0.57377,1.06551,1.22091,1.23078,1.20219,0.58566,
10 to 14,0.46388,1.19349,10.31433,3.41341,0.3925,0.21449,0.658,0.74932,0.84167,0.66781,0.76956,0.68294,0.74905,0.95872,0.93819,0.80252,
15 to 19,0.29857,0.33469,0.83901,9.4027,2.52963,0.66169,0.32012,0.43029,0.67196,0.9507,0.90227,0.84227,0.74652,0.50914,0.80896,0.65,
20 to 24,0.43861,0.2114,0.32201,1.22706,3.84221,1.9843,0.90409,0.52777,0.675,0.78565,1.044,0.93291,0.72741,0.52289,0.26154,0.24355,
25 to 29,0.67851,0.46925,0.27458,0.58621,1.80587,3.51418,1.85183,1.25229,1.12683,0.99746,1.45205,1.5823,1.18344,0.65983,0.52506,0.23631,
30 to 34,0.82936,0.70543,0.41682,0.41126,1.1154,2.06854,2.7211,1.57495,1.48451,1.18624,1.31771,1.71718,1.39451,1.00609,0.48465,0.37696,
35 to 39,0.75513,0.75462,0.61112,0.62341,0.9024,1.56642,1.94667,2.36119,1.67676,1.38753,1.26316,1.29032,1.40742,1.00157,0.85155,0.53064,
40 to 44,0.49473,0.6827,0.7456,0.80107,0.8513,1.31147,1.48836,1.8646,2.22595,1.49046,1.6946,1.41885,1.16431,0.87736,0.88969,0.53635,
45 to 49,0.29364,0.31434,0.44376,0.79386,1.08835,1.15573,1.1838,1.24462,1.54455,1.75812,1.82916,1.24813,0.97019,0.47466,0.68,0.56048,
50 to 54,0.34592,0.21619,0.26299,0.42568,0.7767,1.17469,0.98916,0.9603,1.14702,1.1683,1.75919,1.54527,0.97065,0.53634,0.52713,0.55411,
55 to 59,0.30983,0.23054,0.15488,0.18149,0.46352,0.6954,0.78494,0.57087,0.49246,0.61766,1.06402,1.53975,1.15668,0.6195,0.4058,0.33293,
60 to 64,0.23162,0.21795,0.11759,0.11849,0.19281,0.32042,0.4081,0.36408,0.31811,0.27473,0.4269,0.7486,1.0617,0.63495,0.71011,0.25605,
65 to 69,0.17508,0.14882,0.11741,0.09063,0.08774,0.10889,0.15717,0.18846,0.14546,0.11576,0.15169,0.30301,0.54499,0.73783,0.61928,0.3649,
70 to 74,0.11582,0.07805,0.09374,0.05822,0.10226,0.06062,0.08583,0.11501,0.10391,0.10921,0.1154,0.15391,0.33862,0.32,0.70575,0.3244,
75+,0.06329,0.06126,0.07867,0.04247,0.08643,0.042,0.07788,0.04685,0.05049,0.1002,0.10369,0.11183,0.1405,0.1559,0.29603,0.25226,
