Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,2.39128,1.54615,0.77845,0.46826,0.66734,1.09046,0.93888,0.97514,0.68486,0.42682,0.56635,0.83112,0.82364,0.5839,0.25561,0.23242,
5 to 9,1.90299,5.79459,2.62657,0.92363,0.50463,0.54411,1.05231,1.30329,1.05208,0.77042,0.59883,0.92526,0.84053,0.89652,0.70782,0.31839,
10 to 14,1.09803,2.02257,7.08205,2.82023,0.54382,0.276,0.71055,0.96736,0.98343,0.7535,0.71152,0.53496,0.49682,0.66993,0.49888,0.40219,
15 to 19,0.67291,0.72867,1.34281,6.82807,2.48627,0.70678,0.3205,0.53319,0.67563,0.79771,0.67515,0.57588,0.44203,0.32386,0.39423,0.29835,
20 to 24,1.03001,0.43766,0.66241,1.79457,3.69451,1.75197,0.7581,0.47566,0.5652,0.57145,0.63336,0.50613,0.3668,0.29503,0.10297,0.0929,
25 to 29,1.49477,1.0207,0.60276,0.92624,1.92808,2.4674,1.39738,0.98649,0.80902,0.67053,0.82775,0.79198,0.57754,0.4147,0.20576,0.08405,
30 to 34,1.64819,1.29867,0.8261,0.63306,1.17122,1.63803,1.72143,1.2602,1.12436,0.80312,0.79279,0.88055,0.66451,0.54466,0.17383,0.11939,
35 to 39,1.42952,1.34054,1.06966,0.90726,0.88726,1.21619,1.42003,1.6321,1.24384,0.96937,0.76808,0.71207,0.72309,0.47377,0.29545,0.18,
40 to 44,0.97664,1.15687,1.19421,1.00112,0.80202,0.9586,1.06722,1.38275,1.42305,0.96721,0.99074,0.76949,0.63947,0.47651,0.29121,0.17022,
45 to 49,0.67417,0.59666,0.77205,0.92459,0.94618,0.85784,0.85031,0.94388,1.08959,1.00631,1.05504,0.71153,0.58129,0.30571,0.23614,0.1782,
50 to 54,0.81485,0.46796,0.50326,0.51777,0.65119,0.80338,0.70811,0.70352,0.78226,0.75109,0.85225,0.79609,0.56317,0.38331,0.22805,0.20232,
55 to 59,0.74361,0.51066,0.32301,0.25931,0.4368,0.47363,0.55492,0.45581,0.34937,0.41592,0.62175,0.62059,0.56431,0.34595,0.15907,0.11359,
60 to 64,0.54682,0.49449,0.25731,0.19472,0.20783,0.25348,0.31045,0.34081,0.29029,0.22024,0.28494,0.37687,0.33225,0.27853,0.23658,0.07525,
65 to 69,0.42995,0.33809,0.25697,0.15188,0.11691,0.12284,0.15358,0.20218,0.16129,0.11431,0.10858,0.16239,0.20849,0.1854,0.18378,0.10922,
70 to 74,0.28637,0.1751,0.19412,0.09214,0.12069,0.05568,0.06937,0.10897,0.09196,0.07523,0.06721,0.06439,0.11298,0.10754,0.16133,0.08025,
75+,0.14414,0.12914,0.15947,0.061,0.09775,0.03301,0.06127,0.04346,0.04321,0.06476,0.05304,0.04523,0.04495,0.05162,0.08993,0.04692,
