Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.39509,0.80192,0.41014,0.25719,0.42882,0.85053,0.77462,0.77335,0.58098,0.38191,0.57337,0.93454,0.95518,0.55905,0.26293,0.23366,
5 to 9,0.94406,6.17222,2.15803,0.57589,0.32823,0.39542,0.84329,1.09467,0.95457,0.69522,0.58,0.94223,0.88888,0.79046,0.69054,0.30212,
10 to 14,0.50266,1.20015,8.10836,2.83134,0.40907,0.20871,0.58933,0.90757,1.13856,0.82916,0.76104,0.59001,0.53865,0.60659,0.52168,0.40534,
15 to 19,0.31888,0.38104,1.04636,7.79808,2.42023,0.72369,0.3332,0.61343,0.91984,1.19947,0.94127,0.77488,0.55618,0.33149,0.45469,0.32688,
20 to 24,0.52422,0.22224,0.43196,1.53996,4.49983,2.33854,1.12436,0.81,1.06479,1.11781,1.20503,0.95495,0.70663,0.36979,0.14286,0.12251,
25 to 29,0.82729,0.54713,0.37856,0.75732,2.28542,3.8213,1.97709,1.54952,1.43625,1.24545,1.60818,1.51158,1.13422,0.5277,0.28428,0.1181,
30 to 34,0.99527,0.82475,0.56867,0.54379,1.49887,2.27303,2.83088,1.92172,1.87517,1.46954,1.49222,1.68294,1.28915,0.71719,0.26462,0.18508,
35 to 39,0.86575,0.89098,0.87326,0.82335,1.29973,1.77504,2.09479,2.85795,2.10948,1.70725,1.4389,1.32383,1.38568,0.64242,0.46704,0.26072,
40 to 44,0.5417,0.75554,1.06158,1.02946,1.15971,1.50042,1.63207,2.24757,2.83455,1.83529,1.92362,1.49141,1.26522,0.63635,0.47153,0.25896,
45 to 49,0.3384,0.34107,0.5972,0.94647,1.33316,1.27526,1.32008,1.51083,1.93571,2.19743,2.06825,1.29677,1.14315,0.38723,0.36905,0.2657,
50 to 54,0.40342,0.2458,0.34841,0.48933,0.94552,1.241,1.04931,1.15426,1.40831,1.4275,1.93771,1.55157,1.06261,0.44929,0.2906,0.265,
55 to 59,0.3559,0.25725,0.20949,0.22404,0.56211,0.69916,0.79311,0.6811,0.60255,0.74534,1.1685,1.47404,1.147,0.45037,0.22563,0.15858,
60 to 64,0.2655,0.24598,0.16195,0.15226,0.29847,0.39879,0.45119,0.47727,0.47599,0.39885,0.53654,0.78242,0.90141,0.45045,0.38697,0.12193,
65 to 69,0.20455,0.1704,0.16506,0.11133,0.10714,0.12661,0.16357,0.23911,0.21191,0.16777,0.17174,0.27815,0.40775,0.46293,0.34723,0.17691,
70 to 74,0.13792,0.0895,0.12764,0.06868,0.10781,0.05869,0.07671,0.13769,0.13543,0.13502,0.11685,0.13238,0.23312,0.19813,0.39387,0.15679,
75+,0.07164,0.06801,0.1063,0.04678,0.08967,0.03663,0.06887,0.05448,0.06413,0.118,0.09824,0.09051,0.09582,0.09388,0.16449,0.12211,
