Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,2.00815,0.88802,0.24064,0.13294,0.1877,0.3877,0.57945,0.76562,0.56002,0.27629,0.38732,0.63008,0.73415,0.51384,0.31513,0.33766,
5 to 9,0.87447,8.64129,2.44213,0.33945,0.19576,0.18737,0.59073,1.01969,1.00239,0.54168,0.4655,0.66284,0.66708,0.71629,0.8183,0.42905,
10 to 14,0.33321,1.08687,12.11035,3.63876,0.22932,0.10786,0.3777,0.75038,1.20454,0.6948,0.66404,0.45779,0.41693,0.54777,0.67231,0.58631,
15 to 19,0.22202,0.26517,0.89256,11.33401,2.27024,0.40272,0.22113,0.40479,0.85217,1.12687,0.87725,0.60548,0.45347,0.30662,0.62388,0.46434,
20 to 24,0.2707,0.18528,0.30918,0.94436,3.17978,1.4597,0.79007,0.62448,0.89844,0.99204,1.13411,0.82787,0.56914,0.36363,0.24582,0.20834,
25 to 29,0.4473,0.33047,0.23995,0.40661,1.34039,2.9631,1.65429,1.4332,1.41067,1.15083,1.54238,1.44873,0.99098,0.50194,0.45882,0.22174,
30 to 34,0.69307,0.58643,0.3521,0.29044,0.90746,1.71523,2.73009,1.84945,1.90796,1.42095,1.40754,1.61312,1.21631,0.7923,0.46216,0.38162,
35 to 39,0.69916,0.72702,0.61571,0.43446,0.8057,1.38627,1.84536,3.13543,2.19659,1.65109,1.38119,1.25477,1.22117,0.74701,0.76191,0.46769,
40 to 44,0.45505,0.72633,0.89079,0.62327,0.71553,1.20581,1.451,2.20359,3.33515,1.80743,1.85606,1.43739,1.0599,0.67765,0.83768,0.49285,
45 to 49,0.22089,0.29242,0.48911,0.69823,0.93807,0.99423,1.1517,1.42676,1.96461,2.46761,2.01832,1.23502,0.91549,0.40292,0.6431,0.53451,
50 to 54,0.23971,0.17469,0.27597,0.37139,0.68318,1.02143,0.88935,1.06573,1.387,1.39821,2.15633,1.50226,0.86475,0.45265,0.50943,0.52563,
55 to 59,0.21112,0.17144,0.14394,0.13521,0.38386,0.60547,0.69564,0.62408,0.59129,0.70788,1.13258,1.75253,1.06265,0.56013,0.42887,0.35203,
60 to 64,0.16265,0.16476,0.10435,0.07662,0.15074,0.26793,0.36091,0.41777,0.41263,0.33326,0.46444,0.72337,1.26959,0.59971,0.817,0.29479,
65 to 69,0.12634,0.11634,0.10539,0.05882,0.05209,0.06703,0.11632,0.21847,0.20842,0.14915,0.17194,0.28905,0.49641,0.9449,0.74142,0.40435,
70 to 74,0.08398,0.06103,0.08757,0.0392,0.06234,0.0366,0.06276,0.13484,0.15847,0.14569,0.13089,0.15252,0.31848,0.31241,1.02779,0.37739,
75+,0.04705,0.05071,0.07681,0.02963,0.05333,0.02798,0.05881,0.05735,0.08095,0.13745,0.12411,0.11616,0.13722,0.15509,0.35496,0.35676,
