Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.8202,1.06402,0.58009,0.32727,0.54688,0.98205,1.0394,1.01627,0.65256,0.33087,0.47478,0.72874,0.79898,0.54081,0.22937,0.19785,
5 to 9,1.38901,4.99224,2.27954,0.68191,0.41071,0.46878,1.15531,1.40476,1.02773,0.58474,0.47332,0.73691,0.7351,0.75165,0.59403,0.25409,
10 to 14,0.82658,1.56442,7.5694,2.77856,0.48691,0.24752,0.82958,1.16426,1.13347,0.65581,0.61067,0.45309,0.43883,0.57283,0.43206,0.3415,
15 to 19,0.52055,0.55141,1.20527,7.21997,2.58445,0.71321,0.3818,0.65264,0.85484,0.83967,0.67649,0.54427,0.42656,0.29834,0.36198,0.27236,
20 to 24,0.85129,0.33646,0.5621,1.54023,3.81965,1.8606,0.90559,0.5646,0.66665,0.63927,0.68793,0.52402,0.36013,0.29612,0.10427,0.0934,
25 to 29,1.25398,0.80006,0.49401,0.76718,1.87923,2.67056,1.62959,1.09308,0.8306,0.64158,0.82001,0.79329,0.52829,0.36942,0.21755,0.08636,
30 to 34,1.388,1.08518,0.7227,0.52562,1.111,1.66084,2.07635,1.44535,1.14239,0.71796,0.69775,0.81332,0.60468,0.53726,0.19663,0.13439,
35 to 39,1.18131,1.09802,0.97928,0.78129,0.83393,1.17524,1.57858,1.93774,1.29656,0.85648,0.63922,0.58218,0.60618,0.51111,0.34143,0.20351,
40 to 44,0.79015,0.93734,1.10439,0.92294,0.78916,0.91939,1.11677,1.50326,1.56205,0.8952,0.82299,0.59298,0.46588,0.46064,0.34012,0.20151,
45 to 49,0.53061,0.46392,0.68418,0.84921,0.98431,0.84233,0.8593,0.96353,1.07849,0.9793,0.89546,0.53451,0.36988,0.24532,0.2559,0.1918,
50 to 54,0.64689,0.35289,0.42719,0.46221,0.66549,0.81731,0.77031,0.68998,0.71886,0.68801,0.75537,0.65802,0.37894,0.28035,0.20901,0.19617,
55 to 59,0.59275,0.38769,0.26836,0.21608,0.42181,0.46148,0.60356,0.4712,0.29966,0.31927,0.5022,0.5562,0.43433,0.29502,0.14781,0.10702,
60 to 64,0.43372,0.37383,0.21213,0.15464,0.17644,0.21621,0.33303,0.41187,0.27124,0.17318,0.22283,0.33602,0.35434,0.28321,0.24838,0.07813,
65 to 69,0.33385,0.25423,0.21253,0.12159,0.10604,0.11289,0.17773,0.26313,0.18597,0.10284,0.10135,0.16037,0.23586,0.25638,0.20869,0.11447,
70 to 74,0.22146,0.13428,0.16518,0.07696,0.1173,0.06065,0.09657,0.16037,0.12643,0.09074,0.07482,0.07752,0.14371,0.14096,0.20382,0.09879,
75+,0.11281,0.09876,0.13443,0.05173,0.09572,0.03664,0.08433,0.06359,0.06005,0.07928,0.06153,0.0532,0.05739,0.06557,0.10357,0.06494,
