Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.88169,1.06187,0.35991,0.23491,0.3833,0.74541,0.97348,1.02394,0.65882,0.36657,0.52734,0.73721,0.7729,0.43866,0.16383,0.11399,
5 to 9,1.1185,8.07143,2.46602,0.53955,0.31526,0.3538,1.00947,1.40493,1.12052,0.6907,0.62426,0.80373,0.71667,0.62002,0.43049,0.14965,
10 to 14,0.53958,1.48383,10.99887,3.54524,0.38603,0.19189,0.703,1.09836,1.30788,0.82514,0.83264,0.52941,0.43712,0.47344,0.32816,0.19704,
15 to 19,0.34067,0.42936,1.02547,9.82076,2.51661,0.62558,0.3583,0.61046,0.97377,1.16469,0.96316,0.64465,0.45381,0.25582,0.28848,0.16226,
20 to 24,0.51728,0.26645,0.39395,1.37016,4.13983,2.01368,1.08232,0.74779,0.95694,0.97153,1.05988,0.68965,0.43889,0.27221,0.09536,0.06208,
25 to 29,0.81861,0.60718,0.33773,0.65177,1.96304,3.56273,2.07772,1.56488,1.37324,1.11102,1.41903,1.13677,0.69232,0.36875,0.1875,0.0628,
30 to 34,1.06974,0.93614,0.50639,0.46224,1.25784,2.09596,3.17223,2.0337,1.86183,1.33501,1.30773,1.24939,0.81324,0.53462,0.17552,0.09685,
35 to 39,1.00897,1.08523,0.77838,0.69206,1.03748,1.58753,2.17557,3.15184,2.08005,1.52804,1.22959,0.93968,0.82056,0.50429,0.30429,0.13486,
40 to 44,0.62457,0.97379,1.00356,0.91159,0.95598,1.33272,1.64504,2.2806,2.88401,1.64534,1.63312,1.03597,0.68259,0.47033,0.31847,0.13215,
45 to 49,0.36359,0.43708,0.58728,0.92531,1.19763,1.13298,1.2864,1.47185,1.83044,2.0187,1.74563,0.89488,0.566,0.26976,0.24586,0.13695,
50 to 54,0.42884,0.29484,0.33949,0.4917,0.84409,1.11832,1.04602,1.08116,1.27037,1.24533,1.67969,1.08051,0.55512,0.30703,0.19717,0.13638,
55 to 59,0.37472,0.30053,0.19399,0.19884,0.46004,0.59165,0.7522,0.61429,0.47989,0.5564,0.88122,1.04739,0.63075,0.33098,0.15298,0.08291,
60 to 64,0.28246,0.28713,0.14734,0.12848,0.17734,0.24933,0.38306,0.45831,0.35609,0.26663,0.35851,0.49023,0.66043,0.33131,0.26465,0.06424,
65 to 69,0.21572,0.19833,0.14592,0.1009,0.09081,0.10481,0.1786,0.28144,0.22208,0.14692,0.15427,0.22025,0.33018,0.41582,0.23345,0.09155,
70 to 74,0.14386,0.10392,0.11571,0.06362,0.1033,0.05566,0.09447,0.17131,0.15697,0.13404,0.11428,0.11067,0.2038,0.16667,0.28258,0.08213,
75+,0.07705,0.08138,0.09791,0.04564,0.08607,0.03781,0.08607,0.06956,0.07519,0.12077,0.09949,0.07949,0.08437,0.0801,0.11427,0.06771,
