Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.56048,1.04603,0.43511,0.24898,0.43852,0.87865,0.71393,0.6118,0.34373,0.19777,0.32746,0.48337,0.57341,0.35852,0.195,0.19952,
5 to 9,1.19824,6.93643,2.33249,0.58819,0.32313,0.378,0.90472,1.00216,0.64937,0.37107,0.30494,0.42003,0.45886,0.44021,0.48999,0.26375,
10 to 14,0.66432,1.60291,7.37048,2.43076,0.44425,0.20009,0.60601,0.96308,0.87237,0.52016,0.45266,0.26335,0.24662,0.3058,0.36136,0.36658,
15 to 19,0.44365,0.5342,1.10152,6.12997,2.67013,0.96997,0.41989,0.80704,0.90639,1.00862,0.80991,0.54943,0.3537,0.22684,0.31937,0.29139,
20 to 24,0.84561,0.34798,0.5667,1.9765,4.24926,2.67363,1.20836,0.95204,1.00067,0.97667,1.08329,0.80156,0.63014,0.40941,0.11636,0.13496,
25 to 29,1.29354,0.85182,0.46786,1.01341,2.55601,3.78989,2.12881,1.80424,1.30654,1.11829,1.47625,1.28514,1.04492,0.71049,0.31311,0.12287,
30 to 34,1.38476,1.29718,0.75189,0.73646,1.62577,2.50192,2.70613,2.2788,1.64614,1.29175,1.36443,1.50626,1.18972,0.92792,0.32635,0.23778,
35 to 39,0.94742,1.00884,0.87547,0.92069,1.37664,1.90268,2.10793,2.90541,1.78437,1.44816,1.2791,1.11353,1.09628,0.53759,0.37368,0.3269,
40 to 44,0.72481,0.95539,1.05651,1.17179,1.24652,1.62777,1.69562,2.56205,2.2612,1.61845,1.7521,1.323,1.04579,0.73421,0.46579,0.37883,
45 to 49,0.51235,0.4882,0.66529,1.02097,1.30278,1.35133,1.33081,1.67837,1.70413,1.65375,1.82508,1.06619,0.9205,0.43833,0.33091,0.25513,
50 to 54,0.64226,0.37641,0.4232,0.61068,0.97841,1.32564,1.08793,1.28398,1.25018,1.21466,1.61131,1.29358,0.83205,0.50496,0.21205,0.27535,
55 to 59,0.59477,0.417,0.25824,0.28794,0.60271,0.74462,0.83903,0.80205,0.52361,0.63401,1.00022,1.08008,0.92829,0.44181,0.13945,0.0972,
60 to 64,0.43685,0.40863,0.20507,0.19382,0.32027,0.43094,0.47609,0.59675,0.37195,0.3056,0.41519,0.59899,0.55,0.43591,0.26588,0.07263,
65 to 69,0.33317,0.27549,0.20544,0.13691,0.14356,0.18939,0.22023,0.35193,0.18983,0.15586,0.14435,0.20272,0.30187,0.28224,0.25156,0.13501,
70 to 74,0.21641,0.14422,0.15991,0.07497,0.11666,0.0683,0.08691,0.19084,0.08534,0.09155,0.07784,0.08206,0.14072,0.14932,0.23243,0.11112,
75+,0.10839,0.10463,0.13001,0.04885,0.0945,0.03892,0.07285,0.07784,0.04216,0.07445,0.06293,0.05081,0.05685,0.06737,0.10911,0.07764,
