Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.67055,0.88625,0.31651,0.19411,0.32351,0.69401,0.74113,0.68809,0.44895,0.2796,0.45569,0.82844,1.0671,0.79674,0.43983,0.3905,
5 to 9,0.9698,7.80785,2.44507,0.46135,0.26376,0.32015,0.80168,0.99709,0.77348,0.51703,0.49875,0.8619,0.99842,1.13687,1.16301,0.50005,
10 to 14,0.46534,1.24922,11.80889,3.85789,0.32078,0.16665,0.55705,0.81679,0.95927,0.63789,0.67052,0.56185,0.61463,0.87778,0.89512,0.67111,
15 to 19,0.29816,0.34996,1.01143,11.8779,2.7723,0.63122,0.32966,0.56063,0.82051,1.02837,0.87447,0.7589,0.64512,0.48994,0.79433,0.53905,
20 to 24,0.44696,0.21804,0.35824,1.32699,4.10403,1.95381,0.97975,0.67786,0.8613,0.87802,1.03771,0.87037,0.71228,0.52874,0.26851,0.21038,
25 to 29,0.73008,0.48226,0.29711,0.61626,1.81444,3.4003,1.75913,1.32405,1.18902,1.0019,1.38703,1.39668,1.12575,0.73203,0.51835,0.2093,
30 to 34,0.92462,0.7818,0.47043,0.45994,1.1819,1.91666,2.6764,1.65154,1.54735,1.18097,1.25478,1.52277,1.28128,1.01467,0.48276,0.33524,
35 to 39,0.81191,0.86804,0.75115,0.69007,1.0249,1.47522,1.8413,2.61199,1.74832,1.36762,1.20896,1.18124,1.35114,0.96803,0.85999,0.44483,
40 to 44,0.47985,0.7126,0.91189,0.89407,0.92842,1.24532,1.40926,1.91484,2.47179,1.47897,1.61587,1.31277,1.18538,0.94225,0.90916,0.4501,
45 to 49,0.29632,0.3131,0.50667,0.81917,1.09814,1.06732,1.12868,1.27237,1.59268,1.88512,1.75466,1.14226,1.0232,0.56284,0.70569,0.48895,
50 to 54,0.3509,0.21887,0.28282,0.41767,0.77016,1.05031,0.91871,0.96735,1.15356,1.14772,1.77132,1.41318,0.99201,0.64189,0.54634,0.48245,
55 to 59,0.30361,0.22697,0.16824,0.18895,0.44877,0.59094,0.70018,0.58019,0.49286,0.59534,1.00175,1.52632,1.15747,0.68536,0.43905,0.29945,
60 to 64,0.22772,0.21586,0.12852,0.11914,0.21586,0.30541,0.37386,0.3999,0.36686,0.2976,0.44079,0.72236,1.17581,0.71036,0.77772,0.23864,
65 to 69,0.17389,0.14987,0.12925,0.08783,0.08496,0.1082,0.15477,0.21822,0.18034,0.13754,0.15981,0.28531,0.53233,0.91252,0.71031,0.34,
70 to 74,0.11792,0.0788,0.1012,0.05257,0.08514,0.04992,0.07294,0.12618,0.11656,0.10898,0.10864,0.14023,0.31799,0.3397,0.89739,0.30827,
75+,0.06339,0.06156,0.0853,0.03703,0.07157,0.03241,0.06706,0.05031,0.0546,0.09706,0.09422,0.09665,0.13221,0.16416,0.3315,0.27093,
