Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.93635,0.94138,0.24112,0.12809,0.21642,0.50544,0.71491,0.72269,0.47709,0.2508,0.39677,0.67385,0.86168,0.71064,0.34413,0.38357,
5 to 9,0.96807,8.70313,2.37967,0.32232,0.18382,0.21885,0.70989,1.05111,0.88601,0.48571,0.48455,0.71661,0.78709,1.0003,0.87319,0.45783,
10 to 14,0.41842,1.20231,11.90274,3.55756,0.21829,0.11015,0.46343,0.86018,1.19311,0.7029,0.68687,0.49853,0.49564,0.76681,0.69607,0.61782,
15 to 19,0.25694,0.30608,0.88917,10.84929,2.51074,0.41219,0.25862,0.48827,0.89327,1.07824,0.91227,0.66426,0.53381,0.43038,0.65198,0.49962,
20 to 24,0.35434,0.19864,0.28622,0.90054,3.40138,1.52364,0.89732,0.67976,0.90189,0.88621,1.05822,0.79734,0.5689,0.49121,0.24497,0.21618,
25 to 29,0.61536,0.40595,0.22604,0.38802,1.36918,3.08572,1.83399,1.52567,1.42837,1.1497,1.54847,1.37775,0.91159,0.6632,0.45758,0.22889,
30 to 34,0.84888,0.68928,0.34849,0.28991,0.94937,1.80834,3.01499,1.97138,1.92052,1.44558,1.50514,1.59225,1.06076,0.97114,0.44989,0.38922,
35 to 39,0.73415,0.81386,0.61053,0.45419,0.86808,1.48463,2.06314,3.29979,2.21779,1.67976,1.49475,1.2901,1.11346,0.97066,0.79355,0.48525,
40 to 44,0.41888,0.69318,0.78839,0.61435,0.75376,1.28942,1.59685,2.3414,3.3121,1.8343,1.99931,1.46337,0.94648,0.91293,0.83805,0.48257,
45 to 49,0.23932,0.28443,0.44141,0.59656,0.87123,1.04475,1.29589,1.55485,2.03415,2.46601,2.16605,1.25324,0.7952,0.54597,0.65025,0.54469,
50 to 54,0.27788,0.19155,0.23269,0.3022,0.62111,0.98922,1.01098,1.18651,1.46209,1.40344,2.28678,1.55119,0.79545,0.61078,0.50241,0.52766,
55 to 59,0.24003,0.18895,0.13333,0.1251,0.33508,0.51252,0.70512,0.64796,0.57849,0.67963,1.14374,1.7441,0.98041,0.70996,0.43641,0.34321,
60 to 64,0.18127,0.17747,0.09726,0.07172,0.11431,0.17886,0.27581,0.36704,0.32676,0.25528,0.39666,0.64827,1.31611,0.77855,0.78402,0.30021,
65 to 69,0.14176,0.12672,0.09855,0.05509,0.05037,0.0639,0.12247,0.21913,0.19458,0.13173,0.1651,0.28577,0.566,1.21816,0.76764,0.41947,
70 to 74,0.09689,0.06603,0.07744,0.03524,0.058,0.03615,0.0664,0.13724,0.14082,0.12314,0.12245,0.15187,0.347,0.40967,0.98977,0.37693,
75+,0.0566,0.05192,0.06592,0.0247,0.04799,0.02337,0.06255,0.05559,0.06546,0.11006,0.1088,0.1027,0.14928,0.2012,0.32875,0.37629,
