Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.45212,0.77485,0.28633,0.15715,0.23985,0.58039,0.75331,0.7744,0.63561,0.40601,0.61977,1.05835,1.43666,1.22168,0.77915,0.67047,
5 to 9,0.79586,6.41669,2.11243,0.35414,0.19575,0.28298,0.85335,1.11709,1.06092,0.72197,0.61611,1.05283,1.32211,1.71997,2.05823,0.85827,
10 to 14,0.38213,1.02455,10.23697,3.17766,0.22155,0.14361,0.61438,0.93547,1.2557,0.87325,0.82645,0.67287,0.81412,1.33401,1.57624,1.16646,
15 to 19,0.25014,0.28812,0.83639,9.57198,2.1629,0.43076,0.27973,0.49538,0.94819,1.16803,0.95014,0.83031,0.80075,0.72496,1.36967,0.94127,
20 to 24,0.35552,0.19092,0.31202,0.85271,2.66825,1.37841,0.80322,0.55431,0.83186,0.95024,1.08432,0.9064,0.75528,0.71435,0.42987,0.34608,
25 to 29,0.54104,0.39738,0.25687,0.37276,1.08975,2.59749,1.69256,1.3096,1.28953,1.11818,1.49807,1.53338,1.21437,0.87473,0.85122,0.33112,
30 to 34,0.65739,0.60449,0.40787,0.26691,0.72663,1.61227,2.55068,1.72207,1.80586,1.36002,1.39444,1.69407,1.42634,1.29468,0.76831,0.52355,
35 to 39,0.57574,0.64069,0.60172,0.42493,0.62895,1.28302,1.84888,2.63288,2.06571,1.61693,1.34722,1.3033,1.47436,1.3096,1.3549,0.73555,
40 to 44,0.34633,0.52051,0.67694,0.53415,0.58141,1.13132,1.48241,2.07608,2.85195,1.78116,1.85734,1.4782,1.26442,1.17642,1.45078,0.73379,
45 to 49,0.22548,0.23762,0.39051,0.47991,0.66474,0.94851,1.18984,1.39073,1.9056,2.17804,2.00408,1.29857,1.06116,0.63194,1.08362,0.77226,
50 to 54,0.26788,0.17436,0.23258,0.24895,0.46768,0.90464,0.95206,1.05216,1.37411,1.38481,1.91825,1.57761,1.0515,0.71619,0.85021,0.76143,
55 to 59,0.23667,0.18514,0.1426,0.11539,0.28356,0.51769,0.72852,0.63237,0.59193,0.72153,1.15077,1.56933,1.23164,0.81077,0.65178,0.45005,
60 to 64,0.1743,0.17687,0.1099,0.07595,0.12469,0.24251,0.36072,0.4143,0.42228,0.33932,0.46842,0.75173,1.14629,0.83963,1.15003,0.34878,
65 to 69,0.13355,0.12207,0.10987,0.06027,0.04892,0.07184,0.13667,0.21894,0.21151,0.15036,0.16483,0.29191,0.56381,1.0175,1.01213,0.49937,
70 to 74,0.08924,0.06401,0.08584,0.03768,0.05489,0.03946,0.0733,0.13383,0.15047,0.13948,0.12356,0.14777,0.35049,0.42714,1.17374,0.45423,
75+,0.04701,0.04872,0.07128,0.02602,0.04543,0.02493,0.06649,0.05357,0.06981,0.12385,0.10496,0.1012,0.14296,0.20157,0.47849,0.36066,
