Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,2.56691,1.60213,0.85338,0.53821,0.72086,1.11794,0.97252,1.00978,0.7748,0.51805,0.6351,1.01955,0.93851,0.67038,0.36211,0.39352,
5 to 9,1.91781,5.18068,2.51357,1.0032,0.55659,0.57689,1.13996,1.31984,1.05752,0.85208,0.63554,1.06276,0.93294,0.91491,0.93604,0.49428,
10 to 14,1.06292,1.8886,5.92359,2.54458,0.54362,0.28691,0.71096,0.87274,0.85607,0.69272,0.63013,0.51721,0.45872,0.63903,0.55558,0.58445,
15 to 19,0.66361,0.71279,1.2195,6.63513,2.50948,0.85584,0.44334,0.71288,0.7168,0.91089,0.6711,0.63688,0.43327,0.33467,0.3826,0.41098,
20 to 24,0.95659,0.4411,0.66359,1.97971,3.74677,1.98103,1.02143,0.70226,0.82113,0.72226,0.67064,0.62717,0.4732,0.35862,0.1167,0.11482,
25 to 29,1.37224,0.98592,0.62599,1.0935,2.17654,2.99791,1.89547,1.44643,1.28439,1.0264,1.15478,1.09338,0.82543,0.64783,0.22185,0.13157,
30 to 34,1.48957,1.17717,0.79156,0.80812,1.43304,2.05393,2.31479,1.7781,1.69608,1.27207,1.25431,1.28749,0.96437,0.75461,0.18039,0.16092,
35 to 39,1.34876,1.24818,0.99266,1.0421,1.21256,1.66186,2.00926,2.34404,1.89687,1.51966,1.28458,1.15866,1.10286,0.58722,0.33297,0.26399,
40 to 44,0.97215,1.09469,1.09232,1.10083,1.04076,1.40537,1.61508,2.13969,2.23784,1.55755,1.72827,1.38032,1.11108,0.71378,0.30318,0.28619,
45 to 49,0.69593,0.6064,0.74414,1.00934,1.09482,1.1692,1.30608,1.48233,1.76669,1.60538,1.79564,1.2157,1.03011,0.51047,0.30304,0.2207,
50 to 54,0.82508,0.48883,0.50423,0.56237,0.76775,1.06032,1.02795,1.14869,1.34266,1.20679,1.45859,1.32131,0.93576,0.66175,0.22739,0.27538,
55 to 59,0.74975,0.52915,0.3296,0.30846,0.52418,0.63514,0.77983,0.68795,0.60309,0.70836,1.01366,1.01767,0.95417,0.49951,0.17047,0.13447,
60 to 64,0.52743,0.48441,0.25118,0.21267,0.27375,0.35393,0.42152,0.42768,0.4309,0.32699,0.41381,0.55074,0.44089,0.40357,0.22897,0.0907,
65 to 69,0.4351,0.34331,0.2644,0.17121,0.1405,0.16963,0.2128,0.25691,0.21701,0.17362,0.14948,0.19784,0.26752,0.20669,0.18105,0.1204,
70 to 74,0.2897,0.17795,0.19585,0.09064,0.11852,0.05307,0.07167,0.11551,0.09503,0.08063,0.06324,0.06445,0.11454,0.10728,0.1292,0.08677,
75+,0.14505,0.13063,0.16173,0.06059,0.09387,0.03268,0.06382,0.04621,0.04663,0.06387,0.05083,0.04385,0.04554,0.04757,0.0794,0.05477,
