Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,2.62712,1.67599,0.82904,0.48495,0.64757,1.03664,0.9085,0.9111,0.60798,0.35432,0.42203,0.61907,0.63699,0.42796,0.21626,0.18229,
5 to 9,2.09725,8.59869,3.18422,0.93519,0.48007,0.5036,0.99638,1.18617,0.90698,0.63148,0.47069,0.70902,0.62741,0.63847,0.5922,0.2326,
10 to 14,1.21149,2.28699,9.56816,2.8645,0.52246,0.25649,0.6807,0.89876,0.85535,0.62057,0.56667,0.4248,0.37501,0.48902,0.42276,0.29892,
15 to 19,0.74989,0.78777,1.4166,7.0458,2.61976,0.85454,0.4118,0.71366,0.73558,0.85946,0.66923,0.56332,0.38332,0.31974,0.33952,0.23348,
20 to 24,1.14454,0.47512,0.70177,2.14742,4.11998,2.13663,1.05788,0.72149,0.85118,0.7305,0.72553,0.58198,0.49089,0.36363,0.08452,0.07632,
25 to 29,1.66262,1.09762,0.6358,1.12379,2.33491,3.06843,1.81698,1.37116,1.21201,0.96225,1.12281,0.95637,0.80926,0.68935,0.16359,0.06483,
30 to 34,1.84185,1.39661,0.86668,0.81792,1.53311,2.05961,2.28201,1.65926,1.57471,1.18775,1.18633,1.17543,0.91572,0.76561,0.13961,0.08992,
35 to 39,1.60506,1.45447,1.12805,1.08795,1.3037,1.6488,1.90638,2.21033,1.73737,1.38039,1.20443,1.02647,1.04722,0.49188,0.23535,0.135,
40 to 44,1.10109,1.26227,1.26549,1.20969,1.12813,1.39869,1.54158,1.99676,2.08951,1.43915,1.63679,1.24338,1.05158,0.69519,0.23583,0.12599,
45 to 49,0.75887,0.64894,0.8181,1.10002,1.21032,1.17025,1.25586,1.38406,1.65246,1.48537,1.69717,1.08199,1.02232,0.54838,0.1972,0.13911,
50 to 54,0.91264,0.50664,0.53221,0.62364,0.88495,1.10332,0.99591,1.09135,1.27523,1.11646,1.43389,1.18722,0.93293,0.68755,0.19092,0.15305,
55 to 59,0.83398,0.55383,0.34315,0.3209,0.56271,0.63777,0.75328,0.63112,0.55118,0.64425,0.9317,0.91467,0.90982,0.52956,0.13519,0.09348,
60 to 64,0.61366,0.53508,0.27049,0.22987,0.31724,0.38561,0.43393,0.41599,0.41301,0.31786,0.40917,0.51593,0.46146,0.45471,0.20199,0.05873,
65 to 69,0.48413,0.36676,0.2691,0.17991,0.15629,0.18796,0.22371,0.24438,0.20928,0.17634,0.14319,0.18762,0.26349,0.21527,0.15671,0.08661,
70 to 74,0.325,0.19115,0.20523,0.09436,0.11823,0.05347,0.06713,0.10197,0.08101,0.06188,0.05131,0.04895,0.0876,0.08958,0.13446,0.06719,
75+,0.1632,0.14129,0.16915,0.06229,0.09566,0.03124,0.0597,0.0407,0.03776,0.05279,0.04007,0.03474,0.03484,0.04082,0.07721,0.03883,
