Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.68627,0.8982,0.29076,0.17218,0.32578,0.86076,1.14921,1.00787,0.65338,0.368,0.54815,1.1806,1.44568,1.12017,0.35911,0.3387,
5 to 9,0.88721,7.09197,2.04609,0.37526,0.24683,0.40446,1.2488,1.41807,1.05765,0.65346,0.55237,1.17034,1.34114,1.57017,0.94546,0.43514,
10 to 14,0.41652,1.09661,8.69848,2.55666,0.29967,0.21418,0.90564,1.19786,1.23943,0.7798,0.73156,0.73858,0.82689,1.23185,0.72321,0.59483,
15 to 19,0.26679,0.31758,0.76413,6.70248,1.82835,0.60992,0.40069,0.62987,0.91882,1.00905,0.82382,0.88621,0.80124,0.65071,0.6217,0.48062,
20 to 24,0.39164,0.19196,0.30027,0.85408,2.64759,1.64374,0.94117,0.54311,0.68343,0.74565,0.8776,0.89459,0.69942,0.65308,0.19088,0.17284,
25 to 29,0.59617,0.44813,0.26102,0.40457,1.18427,2.47515,1.67701,1.02937,0.81034,0.68192,0.99877,1.3277,1.02537,0.80763,0.3841,0.16332,
30 to 34,0.69519,0.64731,0.39397,0.28218,0.71432,1.45131,2.42798,1.46437,1.20249,0.80206,0.86511,1.36787,1.20372,1.20102,0.3506,0.26015,
35 to 39,0.59396,0.67594,0.56413,0.4401,0.55081,1.00706,1.69918,2.18659,1.42348,0.99821,0.82506,0.97824,1.22168,1.19557,0.6232,0.37358,
40 to 44,0.37983,0.56872,0.65215,0.54629,0.54137,0.80753,1.20015,1.59889,1.92165,1.10901,1.12743,1.02363,0.97748,1.07603,0.64106,0.37629,
45 to 49,0.24845,0.27121,0.39369,0.51052,0.69475,0.76816,0.93338,1.03338,1.25161,1.35274,1.26411,0.94077,0.78639,0.59274,0.49532,0.38802,
50 to 54,0.29706,0.19851,0.23336,0.26767,0.47696,0.7829,0.89154,0.78383,0.89478,0.92305,1.22874,1.25285,0.83327,0.67876,0.3866,0.38443,
55 to 59,0.2677,0.21453,0.14457,0.12284,0.29373,0.44993,0.71505,0.53946,0.38629,0.44804,0.77202,1.23332,1.00263,0.7441,0.29266,0.22484,
60 to 64,0.19688,0.20527,0.11251,0.08517,0.12668,0.21812,0.40216,0.4595,0.33769,0.24578,0.34714,0.69156,0.94618,0.75336,0.50435,0.17257,
65 to 69,0.15096,0.14025,0.11237,0.06674,0.06934,0.10661,0.20854,0.28874,0.21456,0.13755,0.14723,0.31884,0.55179,0.79259,0.44104,0.24974,
70 to 74,0.10068,0.07382,0.08773,0.04204,0.07604,0.05721,0.1119,0.17505,0.14697,0.1206,0.10626,0.15781,0.3366,0.37561,0.47277,0.22049,
75+,0.05324,0.05571,0.07231,0.02912,0.06294,0.03586,0.10018,0.0696,0.069,0.10661,0.09028,0.10862,0.13722,0.17953,0.21127,0.16183,
