Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,2.70753,1.83115,0.94829,0.58649,0.87801,1.42915,1.16707,1.32501,0.8068,0.50629,0.55774,1.00204,0.74307,0.62352,0.16899,0.48485,
5 to 9,2.42293,6.76542,3.15717,1.15116,0.70025,0.80223,1.4113,1.91467,1.29562,1.03089,0.68078,1.3603,0.94936,1.23529,0.59643,0.69489,
10 to 14,1.29239,2.38053,7.30479,2.91543,0.59217,0.35823,0.8526,1.26583,1.02351,0.89499,0.72162,0.68699,0.54454,0.93683,0.37753,0.84016,
15 to 19,0.7359,0.7799,1.35298,6.90362,2.61377,0.86611,0.43259,0.78103,0.69754,0.8989,0.67952,0.69862,0.43557,0.42003,0.26392,0.58321,
20 to 24,1.0668,0.47791,0.66846,2.00794,3.78525,1.94434,0.96329,0.65799,0.715,0.62709,0.59601,0.54085,0.41366,0.35845,0.05793,0.14163,
25 to 29,1.58207,1.10058,0.65309,1.07854,2.15276,2.68308,1.61926,1.25022,1.0619,0.87116,0.96407,0.89089,0.67877,0.61602,0.11321,0.11171,
30 to 34,1.71499,1.26058,0.81682,0.7884,1.4197,1.85719,1.92857,1.47305,1.40395,1.07095,1.04703,1.09485,0.77882,0.67765,0.07866,0.1219,
35 to 39,1.55704,1.38733,1.05189,1.04595,1.19187,1.51938,1.71257,1.88839,1.52152,1.27391,1.10236,1.01326,0.98063,0.52061,0.14903,0.24703,
40 to 44,1.07201,1.16916,1.12479,1.05758,0.99026,1.2449,1.38436,1.74612,1.74363,1.25496,1.44973,1.16571,0.95508,0.68127,0.14288,0.18376,
45 to 49,0.7713,0.63745,0.77182,0.97865,1.054,1.06447,1.13863,1.24929,1.43772,1.27279,1.48851,1.06135,0.95468,0.57191,0.15949,0.24733,
50 to 54,0.89828,0.49095,0.50211,0.53259,0.73902,0.95186,0.89009,0.98511,1.12176,0.97022,1.22284,1.07588,0.86403,0.68792,0.18176,0.35183,
55 to 59,0.8258,0.55176,0.3372,0.29252,0.49183,0.55875,0.67825,0.58635,0.50247,0.59741,0.82799,0.81621,0.82218,0.52893,0.12864,0.21213,
60 to 64,0.60321,0.52272,0.2631,0.21234,0.27469,0.32587,0.37222,0.37405,0.36631,0.29385,0.37263,0.46623,0.39439,0.40462,0.13504,0.08914,
65 to 69,0.49818,0.37271,0.27077,0.17204,0.14349,0.16527,0.1981,0.21897,0.18642,0.16833,0.13561,0.19384,0.23351,0.16662,0.10503,0.13829,
70 to 74,0.33878,0.18818,0.19527,0.08738,0.11443,0.05144,0.05894,0.0875,0.06758,0.05474,0.04953,0.04994,0.07596,0.069,0.08794,0.06037,
75+,0.16885,0.14246,0.16856,0.05947,0.0939,0.0293,0.05572,0.03638,0.03178,0.04629,0.03882,0.03992,0.03347,0.04002,0.04834,0.03373,
