Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,3.36169,1.35824,0.31694,0.16594,0.36214,1.01255,0.97259,0.77086,0.26704,0.06154,0.07383,0.15621,0.15591,0.14952,0.2079,0.49383,
5 to 9,1.54373,10.07904,2.41947,0.2042,0.22768,0.32395,0.73237,0.97708,0.59162,0.2603,0.09765,0.1523,0.02283,0.09406,0.0,0.05685,
10 to 14,0.48168,1.33852,12.27931,3.90006,0.23147,0.03616,0.30119,0.91552,0.98079,0.69664,0.32051,0.15814,0.02997,0.08124,0.0,0.05136,
15 to 19,0.13202,0.19133,0.57289,9.32278,1.99378,0.36117,0.09389,0.24831,0.52611,0.67237,0.58217,0.23564,0.04042,0.06391,0.02891,0.08042,
20 to 24,0.11735,0.24287,0.2068,0.71684,4.15914,1.88542,0.98798,0.62544,0.57748,0.75347,0.75101,0.36608,0.29456,0.22761,0.14296,0.0,
25 to 29,0.54784,0.28802,0.19072,0.33428,1.24449,4.16878,1.50265,1.40556,0.97208,0.6862,0.86624,0.89613,0.48297,0.36384,0.23769,0.19429,
30 to 34,0.85491,0.61213,0.3435,0.35461,0.73858,2.1751,3.19752,1.64748,0.94419,1.25292,1.04944,1.51984,0.67052,0.38923,0.09057,0.0,
35 to 39,0.71474,0.85132,0.60363,0.37975,0.39236,2.39857,1.72421,3.19559,1.35472,1.02265,0.68718,1.13477,1.00949,0.3729,0.16608,0.19093,
40 to 44,0.44224,0.72255,0.96359,0.87133,0.62807,1.89342,1.36965,1.8297,3.54981,1.91603,1.66058,1.64498,0.83439,0.3583,0.50092,0.21047,
45 to 49,0.31326,0.28929,0.60414,0.97771,0.89403,1.50465,1.49569,1.28845,1.83475,2.12971,2.1307,1.14985,0.77849,0.30957,0.28809,0.0,
50 to 54,0.32057,0.2246,0.26992,0.39012,0.89709,1.50105,1.55617,1.49534,2.06402,1.50641,2.97517,1.66285,1.195,0.40713,0.09483,0.41108,
55 to 59,0.19352,0.23474,0.13341,0.19158,0.3889,0.50365,1.36347,0.58451,0.56047,0.66414,1.61877,2.57361,0.92132,0.56762,0.24471,0.07085,
60 to 64,0.18862,0.2433,0.06487,0.03574,0.03551,0.34683,0.38573,0.39271,0.14208,0.34915,0.46854,0.67981,2.21988,0.61786,0.52626,0.43531,
65 to 69,0.13311,0.1235,0.06262,0.03296,0.04043,0.09115,0.09062,0.09936,0.1629,0.15407,0.1087,0.12438,0.53626,1.51003,1.04214,0.57494,
70 to 74,0.07374,0.01676,0.0633,0.03187,0.03781,0.0296,0.03001,0.04216,0.04243,0.07589,0.02739,0.06956,0.16705,0.43123,1.37583,0.48206,
75+,0.01334,0.06211,0.07977,0.01655,0.04033,0.0093,0.06559,0.00558,0.08131,0.10983,0.04117,0.07436,0.04095,0.24533,0.39717,0.32155,
