Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,2.53055,1.6688,0.84993,0.52385,0.72376,1.16326,1.02308,1.01074,0.7634,0.45334,0.63689,0.89283,0.99912,0.63977,0.27645,0.20424,
5 to 9,2.1131,8.80629,2.89353,0.99627,0.56694,0.58659,1.14,1.33158,1.12623,0.78646,0.63286,0.94264,0.93701,0.89431,0.70096,0.25854,
10 to 14,1.23387,2.14933,7.12249,2.84679,0.60647,0.31743,0.79708,1.01455,1.06439,0.7732,0.73912,0.53061,0.54597,0.66606,0.47624,0.33099,
15 to 19,0.77105,0.81038,1.4125,7.28759,2.93132,1.08152,0.53025,0.91251,0.95877,1.12314,0.9441,0.79258,0.56832,0.43323,0.39308,0.26697,
20 to 24,1.12457,0.47394,0.6965,2.31096,4.52961,2.49467,1.26414,0.87027,1.04109,0.9282,0.96616,0.78293,0.6492,0.45525,0.10133,0.08534,
25 to 29,1.58594,1.0668,0.63211,1.23934,2.66244,3.53827,2.12657,1.60873,1.4394,1.16138,1.39451,1.24057,1.01666,0.76515,0.20444,0.07487,
30 to 34,1.74191,1.34136,0.85423,0.9187,1.75139,2.37885,2.59183,1.90639,1.8315,1.38858,1.42113,1.47554,1.14788,0.88389,0.17233,0.1095,
35 to 39,1.50194,1.36515,1.08107,1.17307,1.49703,1.89492,2.16702,2.48468,1.97854,1.59698,1.38376,1.22646,1.25907,0.62028,0.29516,0.16534,
40 to 44,1.03331,1.18119,1.20009,1.28319,1.27267,1.58409,1.72155,2.20712,2.31249,1.61379,1.81837,1.41559,1.18277,0.77623,0.27857,0.15834,
45 to 49,0.70536,0.60679,0.77026,1.14801,1.34167,1.32024,1.40059,1.53155,1.82699,1.65818,1.87819,1.23056,1.11588,0.54104,0.21385,0.14189,
50 to 54,0.86048,0.48491,0.51007,0.67839,0.99841,1.25963,1.11377,1.21156,1.4023,1.2502,1.57879,1.35484,1.02988,0.68066,0.19954,0.1595,
55 to 59,0.7832,0.52571,0.32554,0.3525,0.63926,0.73884,0.85646,0.71514,0.62005,0.72864,1.06177,1.06329,1.02221,0.53793,0.13135,0.08594,
60 to 64,0.57758,0.5077,0.26104,0.24801,0.35756,0.43926,0.488,0.46947,0.46577,0.35699,0.45854,0.59246,0.51434,0.44969,0.19802,0.05612,
65 to 69,0.45292,0.34739,0.26275,0.18756,0.16511,0.19833,0.23149,0.26516,0.23807,0.18476,0.15555,0.21175,0.28877,0.22123,0.15072,0.08141,
70 to 74,0.29867,0.17978,0.1971,0.09477,0.1261,0.05822,0.07533,0.11614,0.0996,0.07917,0.06744,0.06207,0.11236,0.1034,0.12831,0.06218,
75+,0.15039,0.13111,0.15978,0.06209,0.10127,0.03511,0.06507,0.04568,0.0479,0.06818,0.05417,0.04516,0.04422,0.04824,0.07375,0.03688,
