Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,2.58697,1.71781,0.9178,0.54282,0.66599,1.25107,1.16071,1.23459,0.90707,0.48261,0.52354,0.72748,0.7318,0.43643,0.24345,0.27759,
5 to 9,2.00556,7.03365,2.94452,0.98456,0.47245,0.53985,1.15632,1.45494,1.22322,0.83848,0.57054,0.76414,0.71513,0.66002,0.68395,0.32702,
10 to 14,1.16691,2.21559,8.21118,2.8956,0.52784,0.26888,0.72695,1.03813,1.04081,0.82956,0.72728,0.49335,0.4698,0.52003,0.4587,0.48143,
15 to 19,0.6893,0.75536,1.32458,6.60221,2.27941,0.68801,0.33188,0.56398,0.69206,0.8635,0.65884,0.54569,0.42522,0.25401,0.36699,0.38057,
20 to 24,1.00349,0.45213,0.67628,1.7538,3.37972,1.7799,0.83952,0.55354,0.66213,0.62779,0.62674,0.5038,0.40766,0.27791,0.09075,0.10039,
25 to 29,1.54694,1.02964,0.61298,0.92148,1.92016,2.60573,1.6477,1.21001,1.05815,0.84642,0.97686,0.85378,0.71524,0.51311,0.16032,0.09159,
30 to 34,1.70923,1.25506,0.78662,0.63651,1.21447,1.81537,1.96647,1.51041,1.42266,1.05063,1.03454,1.03799,0.80169,0.57288,0.12406,0.11749,
35 to 39,1.51366,1.33909,0.99886,0.86597,0.99808,1.44074,1.72011,1.96732,1.62048,1.26494,1.08536,0.92876,0.92486,0.37315,0.24342,0.16774,
40 to 44,1.09063,1.20456,1.13163,0.94151,0.86357,1.20455,1.37214,1.82546,1.85722,1.3209,1.46023,1.11308,0.94859,0.58081,0.26512,0.14825,
45 to 49,0.76058,0.63373,0.76434,0.87388,0.93682,1.00511,1.09901,1.23913,1.4906,1.31378,1.52835,0.97921,0.92406,0.41355,0.23482,0.20585,
50 to 54,0.89745,0.49993,0.51419,0.49464,0.66573,0.92048,0.87088,0.97168,1.13057,1.03474,1.25476,1.09384,0.88221,0.54306,0.213,0.27279,
55 to 59,0.81004,0.52471,0.32682,0.25152,0.43536,0.53091,0.65503,0.56396,0.48969,0.57539,0.84696,0.82076,0.85755,0.43037,0.15003,0.13067,
60 to 64,0.60079,0.51838,0.2584,0.18968,0.23781,0.31888,0.37072,0.36628,0.37114,0.29513,0.38739,0.50528,0.43086,0.39058,0.21834,0.0833,
65 to 69,0.48706,0.35786,0.24944,0.14039,0.1184,0.14274,0.17836,0.2004,0.17431,0.14002,0.12273,0.16431,0.24319,0.17591,0.16797,0.13043,
70 to 74,0.33645,0.18805,0.19061,0.08374,0.10666,0.04901,0.05988,0.09371,0.07789,0.06368,0.05349,0.05246,0.09342,0.09195,0.14238,0.08915,
75+,0.16535,0.13929,0.16187,0.05495,0.08552,0.02731,0.05516,0.03694,0.0337,0.05078,0.04046,0.03405,0.03726,0.04212,0.07717,0.04595,
