Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.2921,0.73536,0.31811,0.16952,0.3204,0.74528,0.48328,0.51147,0.17451,0.12924,0.15001,0.13149,0.02128,0.06491,0.07282,0.02061,
5 to 9,0.83722,7.97341,3.83345,0.56188,0.30311,0.39738,0.66131,0.9525,0.7886,0.15392,0.13006,0.09896,0.12475,0.19521,0.04843,6.9E-4,
10 to 14,0.39063,0.81877,8.5703,3.17014,0.25019,0.12062,0.36233,0.67368,0.88777,0.36661,0.27744,0.17869,0.11304,0.18605,0.25436,0.07757,
15 to 19,0.28128,0.2127,0.90935,7.8989,1.76854,0.49816,0.30402,0.45396,0.6695,1.0013,0.64486,0.45089,0.05992,0.22812,0.48788,0.12348,
20 to 24,0.33327,0.10851,0.14789,0.81443,2.21872,1.6618,0.89986,0.59083,0.69317,0.90199,0.72908,1.0507,0.53947,0.17512,0.5149,0.08703,
25 to 29,0.54718,0.39384,0.22841,0.37768,1.20243,2.35807,1.16803,0.90844,0.72907,1.00439,1.02883,1.32806,0.71419,0.58531,0.43953,0.0386,
30 to 34,0.6147,0.68755,0.31569,0.28012,0.82367,1.45425,1.98554,0.94975,1.02657,0.9864,0.849,1.12091,0.58959,0.37688,0.2429,0.17058,
35 to 39,0.841,0.76619,0.78029,0.76903,0.97988,0.92644,1.66804,1.83466,1.3961,1.18392,1.0408,0.87978,0.91993,0.60183,0.13825,0.21545,
40 to 44,0.42702,0.60061,0.75749,0.75826,0.64418,1.26305,0.86731,1.31032,1.75836,1.43951,1.49591,0.98255,0.85347,0.71879,0.78511,0.2689,
45 to 49,0.14876,0.25223,0.28134,0.65683,0.94416,0.93283,0.96246,0.95246,1.30789,2.22546,1.26528,0.84558,0.61015,0.49484,0.44118,0.46103,
50 to 54,0.19418,0.19357,0.16002,0.40961,0.35016,0.9873,0.54288,0.76552,0.65627,0.93365,1.13022,1.08644,0.71426,0.46505,0.37184,0.42955,
55 to 59,0.13153,0.06965,0.07492,0.18107,0.45075,0.35087,0.63535,0.51726,0.60376,0.47782,0.70365,1.39397,0.90492,0.64639,0.46769,2.0E-4,
60 to 64,0.06829,0.08971,0.06908,0.1132,0.19904,0.25798,0.2287,0.26621,0.26882,0.3574,0.56706,0.62096,0.80736,0.41112,0.54049,0.46658,
65 to 69,0.04214,0.05804,0.03233,0.0647,0.0444,0.08518,0.0696,0.11452,0.0488,0.11197,0.16936,0.20968,0.15298,0.72799,0.69425,3.4E-4,
70 to 74,0.03736,0.03915,0.04048,0.01545,0.02246,0.01895,0.0099,0.11222,0.06203,0.06435,0.13096,0.12517,0.12869,0.19162,0.39855,0.30254,
75+,0.00721,0.01349,0.05254,6.3E-4,0.05177,0.0,0.02482,0.0392,0.00172,0.06719,0.0152,0.10968,0.08204,0.05649,0.339,0.73833,
