Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.9594,1.31402,0.63737,0.35976,0.57475,0.91325,0.76133,0.66169,0.46094,0.26085,0.35382,0.49003,0.60109,0.26786,0.16595,0.14365,
5 to 9,1.47448,6.58604,2.66907,0.71734,0.39647,0.45967,0.9636,0.99763,0.72262,0.44368,0.3919,0.4761,0.49407,0.34543,0.40607,0.18316,
10 to 14,0.94753,1.87734,9.2818,3.14586,0.5242,0.23988,0.83818,1.07702,0.99941,0.62541,0.62353,0.37418,0.32316,0.31172,0.36923,0.30205,
15 to 19,0.62014,0.67479,1.40589,7.49016,2.82317,0.82165,0.39057,0.80632,1.00961,1.015,0.80146,0.59587,0.42779,0.2196,0.37262,0.31566,
20 to 24,0.96935,0.39891,0.6288,1.98932,4.1711,2.15971,0.96421,0.63959,0.86224,0.8501,0.859,0.63052,0.49132,0.29156,0.10727,0.10756,
25 to 29,1.2208,0.91834,0.5207,0.96332,2.18613,2.89617,1.64804,1.13591,0.95813,0.77768,1.0055,0.91836,0.74512,0.45743,0.2061,0.09177,
30 to 34,1.28542,1.15749,0.80706,0.6964,1.38298,1.90418,2.10849,1.49658,1.27815,0.87337,0.92294,0.98988,0.87452,0.58802,0.22985,0.14775,
35 to 39,1.0703,1.10294,1.00369,1.00428,1.12729,1.40661,1.67946,1.97239,1.45493,1.00507,0.83422,0.73749,0.88509,0.48981,0.43058,0.309,
40 to 44,0.76217,0.94344,1.05832,1.10622,1.04006,1.15946,1.25916,1.66085,1.77122,1.09371,1.11936,0.81412,0.76,0.54134,0.42569,0.28594,
45 to 49,0.53366,0.48524,0.67697,0.94787,1.12662,1.00657,0.98033,1.06566,1.26108,1.10347,1.16843,0.68168,0.62833,0.31465,0.29662,0.26857,
50 to 54,0.63286,0.3738,0.43907,0.51697,0.77602,0.95859,0.85108,0.81029,0.91199,0.82782,1.0125,0.82288,0.58828,0.3632,0.19842,0.2668,
55 to 59,0.58542,0.4033,0.27922,0.26949,0.50816,0.55577,0.65619,0.51831,0.39055,0.42292,0.66121,0.70607,0.67444,0.33211,0.13944,0.10172,
60 to 64,0.44108,0.4122,0.22281,0.19668,0.2641,0.31941,0.3974,0.42173,0.34255,0.22863,0.29627,0.43314,0.45643,0.3584,0.25229,0.08536,
65 to 69,0.33713,0.27349,0.21716,0.14658,0.13216,0.14653,0.18812,0.24563,0.1928,0.12131,0.10641,0.14744,0.2647,0.26501,0.23961,0.13235,
70 to 74,0.228,0.14561,0.17017,0.08879,0.12634,0.06267,0.08507,0.13758,0.11306,0.08379,0.06412,0.05913,0.11967,0.13432,0.22298,0.15406,
75+,0.11301,0.10647,0.1396,0.05879,0.10219,0.03603,0.072,0.05427,0.05278,0.07368,0.05865,0.03901,0.04792,0.05774,0.14563,0.09373,
