Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,2.2422,0.922,0.18055,0.07306,0.04671,0.20042,0.99652,0.73995,0.33289,0.15261,0.0417,0.14454,0.19008,0.13575,0.0,0.0,
5 to 9,1.02986,10.4183,2.72973,0.17746,0.08366,0.08212,1.01153,1.1425,0.8388,0.34768,0.31852,0.2437,0.11472,0.09071,0.0263,0.0,
10 to 14,0.41756,1.58084,14.17387,3.51009,0.20903,0.13791,0.55735,0.5306,1.05277,0.46374,0.34147,0.07266,0.07687,0.03942,0.10148,0.01821,
15 to 19,0.09936,0.33541,1.05043,11.60401,2.44034,0.71617,0.23754,0.1983,0.59337,1.00408,0.75228,0.58592,0.14187,0.09814,0.07087,0.04531,
20 to 24,0.19686,0.11489,0.22957,1.1013,3.60116,1.51342,0.86775,0.45693,0.47019,1.06597,0.99571,0.54302,0.25017,0.38556,0.01713,0.05048,
25 to 29,0.54693,0.34905,0.12678,0.50597,1.86428,4.69637,3.40996,1.15571,1.80948,1.18734,2.06759,1.55112,0.73632,0.61435,0.07708,0.26873,
30 to 34,1.20381,0.61081,0.3317,0.4449,1.20172,1.981,5.21557,2.03385,3.14178,2.07263,2.81168,1.39697,1.00047,0.85316,0.37406,0.4856,
35 to 39,1.07576,1.52064,0.74446,0.54092,1.32326,2.05767,3.10899,3.94072,3.34626,2.09333,2.40798,1.24937,0.90282,0.8382,0.82308,0.30972,
40 to 44,0.74349,1.0099,1.1988,0.98002,1.0173,1.38164,2.56596,2.73221,5.35629,2.19793,2.84796,1.1875,0.93664,0.73438,0.73952,0.21171,
45 to 49,0.22799,0.30883,0.65957,0.91894,1.54261,1.17812,1.45163,1.98203,2.85646,3.95535,3.18968,1.06972,0.5976,0.61588,0.33107,0.50303,
50 to 54,0.15418,0.15459,0.24217,0.4225,1.13592,1.34823,1.25045,1.19625,1.62086,2.04489,4.29928,1.18408,0.71199,0.61919,0.31306,0.35592,
55 to 59,0.18754,0.14608,0.21705,0.14942,0.2893,0.91245,0.76522,0.57939,0.57885,0.81321,1.0581,1.73469,0.7372,0.86166,0.36272,0.39342,
60 to 64,0.21544,0.13168,0.06086,0.04784,0.08616,0.24338,0.22877,0.33021,0.25746,0.29142,0.29229,0.59082,1.88448,0.858,0.5817,0.45354,
65 to 69,0.17061,0.09733,0.11764,0.0445,0.07083,0.08573,0.16244,0.11512,0.21187,0.11666,0.21539,0.32119,0.57808,1.85018,0.4099,0.35868,
70 to 74,0.09537,0.02422,0.06792,0.03363,0.05792,0.04101,0.04461,0.09574,0.09177,0.15944,0.15629,0.13798,0.4623,0.32716,1.35882,0.48584,
75+,0.04792,0.09325,0.05889,0.05217,0.05165,0.01544,0.01009,0.00863,0.05855,0.24651,0.12926,0.0224,0.10751,0.23869,0.38353,2.04444,
