Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.35979,0.73969,0.22882,0.12501,0.40129,1.59719,1.91746,1.3889,0.7339,0.37131,0.47944,0.54198,0.42053,0.18436,0.05666,0.02168,
5 to 9,0.80447,7.16155,2.09195,0.28735,0.32165,0.73823,1.90071,1.93548,1.20181,0.6724,0.49434,0.56413,0.38702,0.26249,0.14743,0.03174,
10 to 14,0.37354,1.03699,10.6747,2.53494,0.39878,0.39895,1.32134,1.50506,1.41592,0.80643,0.65156,0.36316,0.22845,0.19383,0.11028,0.03656,
15 to 19,0.23261,0.26824,0.6736,6.08381,2.28559,1.19426,0.63208,0.7949,1.00982,1.07563,0.75367,0.44583,0.24805,0.10921,0.09747,0.03387,
20 to 24,0.33977,0.15757,0.2375,0.69499,4.49936,3.94207,1.97433,1.10289,1.2412,1.134,1.09817,0.70645,0.47517,0.20879,0.03265,0.01508,
25 to 29,0.54181,0.36676,0.20466,0.33436,2.36899,6.27904,3.40322,2.03839,1.61853,1.25502,1.51727,1.18189,0.81184,0.41679,0.06417,0.01659,
30 to 34,0.68041,0.54151,0.29932,0.2372,1.56331,3.53698,5.01164,2.59361,2.11084,1.46783,1.42935,1.38038,0.90675,0.46805,0.06113,0.02151,
35 to 39,0.60975,0.62428,0.45536,0.34513,1.35174,2.53599,3.37545,3.92817,2.34193,1.66437,1.35122,1.11538,0.98488,0.30436,0.10718,0.03163,
40 to 44,0.38259,0.53369,0.58342,0.44546,1.19312,2.06264,2.45135,2.86935,3.18277,1.78525,1.80917,1.31424,0.96348,0.41112,0.1091,0.02695,
45 to 49,0.23235,0.24307,0.33876,0.43288,1.37985,1.83312,1.90042,1.84824,2.07139,2.10313,1.88761,1.09027,0.89046,0.29579,0.08656,0.02613,
50 to 54,0.27949,0.17211,0.19426,0.23417,1.00148,1.9225,1.69599,1.40103,1.50047,1.37642,1.77719,1.24955,0.79662,0.3583,0.07184,0.02621,
55 to 59,0.24746,0.17951,0.11574,0.10381,0.5979,1.14078,1.37332,0.91821,0.66726,0.7388,1.08837,1.15174,0.8314,0.29207,0.05605,0.01512,
60 to 64,0.18284,0.17269,0.08858,0.06718,0.3068,0.5923,0.78492,0.70945,0.5334,0.38349,0.47804,0.5723,0.51895,0.25845,0.08864,0.01143,
65 to 69,0.14058,0.11825,0.08708,0.0512,0.12136,0.25344,0.38364,0.41918,0.28432,0.18986,0.16442,0.18945,0.2178,0.18131,0.07649,0.01692,
70 to 74,0.09313,0.06135,0.06757,0.03036,0.10498,0.11485,0.18193,0.23625,0.17001,0.13077,0.09733,0.07543,0.09849,0.06557,0.09184,0.01478,
75+,0.04893,0.0478,0.05702,0.02161,0.08673,0.07265,0.16554,0.0948,0.08076,0.11599,0.0827,0.05267,0.04098,0.03089,0.04144,0.01193,
