Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,2.34341,1.40328,0.6626,0.36807,0.66451,1.37981,1.41714,1.23002,0.68745,0.34212,0.45227,0.5647,0.59656,0.40215,0.16444,0.14131,
5 to 9,1.82298,4.41283,2.09592,0.70869,0.50048,0.66959,1.52058,1.59377,1.01518,0.58734,0.45101,0.58847,0.57543,0.58805,0.4435,0.18808,
10 to 14,1.07089,1.8202,5.64749,2.15143,0.55453,0.35125,1.05503,1.22058,0.98139,0.59225,0.54864,0.34791,0.3405,0.44559,0.32115,0.23494,
15 to 19,0.67137,0.68095,1.14189,5.27447,2.54137,0.90172,0.47126,0.66803,0.68821,0.6672,0.54797,0.39066,0.32253,0.23043,0.26205,0.18892,
20 to 24,1.01247,0.40708,0.56626,1.41073,3.94883,2.39393,1.20545,0.68352,0.70433,0.58871,0.6141,0.42317,0.30516,0.23306,0.06584,0.05966,
25 to 29,1.45837,0.93617,0.51089,0.72485,2.13373,3.44356,2.19532,1.41366,1.07938,0.80252,0.94039,0.74613,0.51752,0.37497,0.12687,0.05276,
30 to 34,1.61107,1.18639,0.69157,0.49274,1.34152,2.28665,2.72882,1.79807,1.46302,1.00004,0.97965,0.91279,0.59391,0.46322,0.1091,0.07472,
35 to 39,1.40259,1.23264,0.90058,0.70655,1.06637,1.72306,2.22245,2.36404,1.61986,1.17534,0.98182,0.78175,0.67011,0.36727,0.18953,0.11461,
40 to 44,0.96172,1.06691,1.01031,0.78307,0.94333,1.3835,1.67248,2.0146,1.88872,1.19314,1.28641,0.90768,0.62167,0.41376,0.18988,0.10484,
45 to 49,0.66194,0.54826,0.65111,0.72188,1.06689,1.20119,1.30725,1.34824,1.4351,1.2105,1.31391,0.77807,0.56726,0.28065,0.15636,0.10873,
50 to 54,0.79825,0.42998,0.4245,0.40198,0.746,1.12832,1.10976,1.02301,1.05672,0.8908,1.07435,0.83884,0.52353,0.34646,0.14797,0.12439,
55 to 59,0.72851,0.47006,0.27241,0.19905,0.48083,0.64265,0.846,0.62551,0.44455,0.48225,0.69388,0.6262,0.50382,0.28665,0.10436,0.07008,
60 to 64,0.53647,0.4565,0.21694,0.15012,0.22295,0.3198,0.4461,0.44708,0.31758,0.21142,0.26717,0.3128,0.25694,0.22311,0.15438,0.04606,
65 to 69,0.42174,0.3121,0.21651,0.11771,0.12403,0.16149,0.23512,0.27129,0.17489,0.10948,0.09758,0.12093,0.15857,0.14203,0.11873,0.06802,
70 to 74,0.28183,0.16251,0.16504,0.07264,0.12509,0.07389,0.11032,0.14846,0.09764,0.06496,0.05523,0.04482,0.08106,0.08042,0.10316,0.05326,
75+,0.14203,0.12017,0.13524,0.04807,0.10152,0.04368,0.09805,0.05923,0.04563,0.05551,0.04417,0.03192,0.03197,0.03773,0.06189,0.03025,
