Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,2.01409,1.34989,0.6608,0.40363,0.62763,1.17454,1.08303,1.00341,0.71496,0.42688,0.61946,0.89324,0.99192,0.63253,0.28961,0.21599,
5 to 9,1.5778,7.93071,2.80657,0.81083,0.48256,0.58132,1.22585,1.37745,1.0972,0.74643,0.62142,0.92367,0.90355,0.86348,0.73284,0.27221,
10 to 14,0.89508,1.82202,8.88049,3.06105,0.5475,0.31129,0.87844,1.11022,1.13667,0.7915,0.76494,0.54937,0.52967,0.64583,0.5117,0.35502,
15 to 19,0.56725,0.64017,1.28479,7.54186,2.75476,0.98733,0.48812,0.81116,0.96458,1.10331,0.92043,0.74562,0.55109,0.36609,0.43451,0.29307,
20 to 24,0.86856,0.37676,0.59791,1.89489,4.38332,2.59961,1.29602,0.86228,1.04772,0.97084,1.0221,0.7987,0.60377,0.38035,0.12053,0.09855,
25 to 29,1.24408,0.8826,0.53447,0.9946,2.52936,3.80008,2.27655,1.66085,1.46481,1.18475,1.45105,1.29301,0.96454,0.55147,0.24844,0.08952,
30 to 34,1.35733,1.15107,0.75897,0.71855,1.63743,2.4956,2.83147,2.01077,1.87948,1.39797,1.41622,1.48792,1.09225,0.71302,0.21698,0.13432,
35 to 39,1.15179,1.15744,0.99202,0.9738,1.39083,1.9472,2.30442,2.66543,2.06149,1.61422,1.36574,1.19819,1.16939,0.59469,0.37485,0.20521,
40 to 44,0.77914,0.98594,1.10052,1.10419,1.21434,1.62841,1.8025,2.3177,2.46873,1.67122,1.81224,1.3707,1.05979,0.61807,0.36191,0.19627,
45 to 49,0.5305,0.4983,0.69447,0.99277,1.31222,1.36956,1.44163,1.56982,1.88187,1.73313,1.87258,1.17549,0.95761,0.37043,0.27353,0.17976,
50 to 54,0.64983,0.39121,0.44674,0.56699,0.95663,1.31545,1.16874,1.21449,1.40294,1.27403,1.57876,1.32146,0.88715,0.44678,0.23245,0.19033,
55 to 59,0.59571,0.42712,0.28414,0.28403,0.60089,0.75776,0.89684,0.72405,0.60403,0.70168,1.03579,1.04927,0.90078,0.39575,0.15868,0.10168,
60 to 64,0.43583,0.41026,0.22511,0.19652,0.30356,0.40871,0.48734,0.48846,0.44004,0.33028,0.42229,0.56083,0.49595,0.3444,0.2554,0.07133,
65 to 69,0.33697,0.27916,0.22583,0.14384,0.13065,0.15908,0.20587,0.26284,0.21395,0.14613,0.13244,0.19193,0.26913,0.23381,0.2052,0.10298,
70 to 74,0.22142,0.14517,0.17155,0.0841,0.12323,0.06629,0.09197,0.14096,0.11876,0.09699,0.08016,0.07714,0.14131,0.12798,0.18932,0.08501,
75+,0.11193,0.10587,0.13888,0.05567,0.09953,0.03993,0.07941,0.05547,0.05653,0.08383,0.0653,0.05395,0.05623,0.06009,0.09997,0.05342,
