Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,2.00152,1.35072,0.50419,0.29392,0.45682,1.04487,1.03937,0.92554,0.64876,0.37301,0.55926,0.89557,0.9803,0.57017,0.20929,0.13129,
5 to 9,1.49356,8.19005,2.76669,0.61853,0.33317,0.49615,1.18166,1.30134,1.04572,0.67765,0.63636,0.95766,0.90437,0.79253,0.54198,0.17078,
10 to 14,0.84223,1.93718,11.85731,3.31279,0.39996,0.25952,0.8488,1.08391,1.15223,0.75742,0.84278,0.62676,0.54326,0.60598,0.39896,0.22955,
15 to 19,0.53309,0.63257,1.12565,7.86677,2.12148,0.80748,0.41834,0.67486,0.93578,1.04173,0.91129,0.73829,0.54867,0.31944,0.33708,0.18418,
20 to 24,0.84419,0.37215,0.48236,1.45441,3.41617,2.23146,1.10456,0.70263,0.88935,0.85624,0.94125,0.73124,0.50144,0.32533,0.09709,0.06456,
25 to 29,1.23831,0.90343,0.43001,0.7436,1.88522,3.25088,1.96693,1.36914,1.19331,0.96751,1.22764,1.13654,0.75818,0.41979,0.20186,0.0609,
30 to 34,1.371,1.21709,0.62746,0.53075,1.20755,2.0899,2.5353,1.74205,1.5978,1.14658,1.138,1.23087,0.86422,0.5926,0.18157,0.09188,
35 to 39,1.17049,1.2407,0.85055,0.75827,1.02613,1.59834,2.02566,2.38853,1.82678,1.36732,1.11262,0.95722,0.89995,0.55575,0.31957,0.14303,
40 to 44,0.7814,1.06341,0.96015,0.88727,0.91698,1.32684,1.54695,2.02537,2.2469,1.46206,1.49779,1.06711,0.7542,0.5092,0.31609,0.13732,
45 to 49,0.53018,0.53113,0.60206,0.81315,1.03022,1.1515,1.22935,1.35261,1.66216,1.56216,1.59519,0.93819,0.64074,0.28552,0.239,0.13244,
50 to 54,0.64765,0.4094,0.38271,0.44948,0.72543,1.09021,1.00602,0.99147,1.16235,1.09437,1.32516,1.09045,0.61713,0.32893,0.19496,0.13336,
55 to 59,0.594,0.44224,0.24004,0.21458,0.43632,0.60216,0.75325,0.58524,0.4666,0.53682,0.82714,0.87398,0.66941,0.33619,0.14061,0.07271,
60 to 64,0.43237,0.42424,0.18547,0.14497,0.1889,0.28005,0.386,0.41577,0.33448,0.24062,0.32335,0.47407,0.47598,0.31934,0.23717,0.0535,
65 to 69,0.33231,0.28787,0.18393,0.10929,0.09218,0.1239,0.18288,0.24294,0.18957,0.11934,0.12419,0.19981,0.30044,0.27779,0.1991,0.0789,
70 to 74,0.22077,0.15169,0.14259,0.06844,0.09803,0.06441,0.09621,0.1453,0.1263,0.10053,0.08891,0.09485,0.18048,0.15369,0.19281,0.06912,
75+,0.11208,0.11136,0.11621,0.04565,0.07959,0.03857,0.08412,0.05769,0.06001,0.08766,0.0728,0.06452,0.07189,0.07096,0.09925,0.04463,
