Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,0.95109,0.7401,0.37497,0.19871,0.24278,0.48936,0.56958,0.6599,0.49453,0.32113,0.51218,0.84285,1.08261,0.80371,0.51623,0.5001,
5 to 9,0.53236,5.62592,2.19507,0.46309,0.20296,0.24282,0.65953,0.97433,0.88431,0.57712,0.55513,0.85764,1.01217,1.14862,1.38363,0.63763,
10 to 14,0.2459,1.03883,9.50239,3.29296,0.23994,0.11649,0.45573,0.78722,1.06583,0.7179,0.76094,0.57175,0.63302,0.89726,1.07268,0.87339,
15 to 19,0.1605,0.30077,1.03319,10.8267,2.23565,0.36738,0.21554,0.39516,0.79615,1.01645,0.88791,0.71317,0.62476,0.50418,0.96827,0.68184,
20 to 24,0.21511,0.19271,0.39987,1.13333,3.03256,1.19269,0.62473,0.4553,0.6548,0.78529,0.9701,0.77817,0.60324,0.51641,0.32765,0.27084,
25 to 29,0.33858,0.42047,0.333,0.49514,1.12071,2.26621,1.26111,1.0041,0.93775,0.79939,1.18411,1.21383,0.92398,0.64144,0.61666,0.27217,
30 to 34,0.46138,0.69567,0.55744,0.35799,0.73191,1.31659,2.06137,1.35281,1.35228,0.96721,1.0179,1.24194,1.09506,0.95033,0.57772,0.44694,
35 to 39,0.42127,0.77869,0.87985,0.60132,0.59442,0.9844,1.36485,2.22595,1.54729,1.1487,0.95673,0.89936,1.10218,0.95106,0.97783,0.57987,
40 to 44,0.24221,0.6406,1.01513,0.7866,0.55373,0.81463,1.04173,1.52439,2.24266,1.23371,1.25177,0.93462,0.90331,0.92144,1.15996,0.59878,
45 to 49,0.15093,0.26634,0.54535,0.69003,0.6793,0.67404,0.78058,0.94688,1.25905,1.69317,1.35364,0.82545,0.70458,0.50371,0.84233,0.65549,
50 to 54,0.16905,0.18945,0.32263,0.35034,0.44514,0.6425,0.62203,0.67888,0.85459,0.92703,1.48245,1.09033,0.7321,0.56647,0.66754,0.63077,
55 to 59,0.14739,0.19139,0.191,0.1558,0.27331,0.35628,0.44926,0.40324,0.34096,0.42209,0.79372,1.31818,0.93289,0.65591,0.53822,0.39413,
60 to 64,0.10802,0.18667,0.14505,0.09751,0.10468,0.15333,0.22915,0.30879,0.28524,0.23551,0.37389,0.62654,1.22621,0.70099,0.99249,0.32137,
65 to 69,0.08552,0.13238,0.14648,0.08439,0.05559,0.06156,0.10532,0.18566,0.17725,0.13298,0.16971,0.28744,0.54282,1.02295,0.89413,0.45386,
70 to 74,0.0573,0.06915,0.1145,0.05251,0.06288,0.03502,0.05616,0.11438,0.13018,0.12565,0.12753,0.15074,0.35014,0.37275,1.1358,0.43472,
75+,0.0296,0.05262,0.09638,0.03501,0.05149,0.02153,0.05205,0.04662,0.05954,0.10985,0.1048,0.09941,0.1434,0.17135,0.42343,0.37916,
