Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.93309,0.94691,0.26251,0.13407,0.20177,0.62894,0.84729,0.70687,0.41806,0.27893,0.3446,0.6983,0.87995,0.72399,0.31285,0.41635,
5 to 9,0.95804,8.04316,2.31393,0.32698,0.17525,0.2556,0.86865,1.0445,0.75053,0.50927,0.4092,0.72319,0.81089,1.02736,0.82399,0.52905,
10 to 14,0.40387,1.15376,11.63289,3.44605,0.20865,0.13673,0.55556,0.83977,1.02618,0.68474,0.55564,0.48677,0.50588,0.79489,0.65599,0.7191,
15 to 19,0.25953,0.30258,0.93073,10.53939,2.32398,0.51264,0.30069,0.47917,0.82875,1.16314,0.75533,0.65752,0.54157,0.44439,0.61663,0.5734,
20 to 24,0.37262,0.20585,0.32285,0.99844,3.3386,1.88906,1.0588,0.73428,0.94451,1.07742,1.0505,0.89894,0.68983,0.5108,0.21824,0.24209,
25 to 29,0.66986,0.41952,0.25468,0.42523,1.45743,3.38656,1.90197,1.42407,1.3044,1.13349,1.44539,1.44673,1.1239,0.72389,0.4158,0.25324,
30 to 34,0.92614,0.79803,0.40664,0.31275,1.00969,1.89948,3.06935,1.80066,1.70963,1.37483,1.34399,1.63559,1.31985,1.02946,0.39408,0.42064,
35 to 39,0.76042,0.88871,0.69825,0.4783,0.95238,1.50548,2.03975,3.00149,1.96634,1.61463,1.34422,1.31304,1.39759,0.96584,0.69625,0.53669,
40 to 44,0.4096,0.67271,0.86216,0.663,0.83174,1.30041,1.57097,2.14753,2.91709,1.77431,1.8265,1.51463,1.26198,0.91838,0.73226,0.5575,
45 to 49,0.2593,0.28671,0.48101,0.67688,1.00668,1.09483,1.28357,1.45712,1.86617,2.40154,2.00036,1.31744,1.12303,0.58613,0.58387,0.58624,
50 to 54,0.30243,0.19189,0.24345,0.31154,0.71553,1.12861,1.04664,1.12723,1.37154,1.4081,2.06632,1.6269,1.08249,0.66271,0.44595,0.5984,
55 to 59,0.26945,0.2008,0.14467,0.13384,0.39917,0.616,0.80281,0.66441,0.58862,0.74015,1.12336,1.81171,1.24945,0.73529,0.37684,0.38205,
60 to 64,0.19642,0.19493,0.11216,0.08108,0.19064,0.30675,0.41733,0.43005,0.40645,0.35099,0.45481,0.76429,1.35338,0.7759,0.69692,0.31399,
65 to 69,0.14939,0.13488,0.11098,0.06019,0.05543,0.09187,0.15769,0.21789,0.1775,0.14989,0.14278,0.27844,0.5233,1.13249,0.65807,0.44597,
70 to 74,0.10175,0.07109,0.08792,0.03811,0.05488,0.04536,0.07768,0.13076,0.12309,0.12703,0.09763,0.14115,0.32466,0.39779,0.86724,0.41375,
75+,0.05394,0.05516,0.07439,0.02608,0.04538,0.02873,0.07277,0.05304,0.05897,0.11046,0.08661,0.09744,0.13562,0.18959,0.30529,0.38739,
