Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,2.35863,1.4939,0.76725,0.43922,0.61344,1.03577,1.04204,1.01519,0.63003,0.33716,0.44714,0.8409,0.82139,0.51747,0.21663,0.16508,
5 to 9,1.92483,6.58875,2.95145,0.87089,0.46724,0.51073,1.15714,1.36501,0.95922,0.59419,0.44458,0.86921,0.77853,0.74211,0.56706,0.21562,
10 to 14,1.14378,2.1098,10.15198,3.0374,0.52267,0.26951,0.82007,1.07901,0.96145,0.6203,0.56129,0.52148,0.46531,0.5639,0.40178,0.28083,
15 to 19,0.71494,0.75284,1.4113,7.24432,2.6445,0.92114,0.48995,0.84698,0.84694,0.91617,0.73503,0.73857,0.48825,0.37247,0.33399,0.22738,
20 to 24,1.09672,0.44504,0.6731,2.06013,4.17703,2.32633,1.25162,0.84722,0.95835,0.81149,0.82362,0.77006,0.60704,0.43095,0.0885,0.07413,
25 to 29,1.57283,1.03682,0.6049,1.0928,2.43324,3.43968,2.20513,1.64334,1.38984,1.0844,1.2909,1.25603,1.01343,0.80604,0.17793,0.06629,
30 to 34,1.72299,1.32993,0.84187,0.80425,1.60894,2.31768,2.77486,2.00823,1.80463,1.33933,1.35839,1.49987,1.15552,0.91454,0.15253,0.09562,
35 to 39,1.48126,1.35483,1.0938,1.06204,1.37655,1.84859,2.28223,2.64589,1.96739,1.53021,1.34407,1.24548,1.27955,0.60444,0.26279,0.14641,
40 to 44,1.00899,1.1647,1.21753,1.18539,1.17935,1.55187,1.79608,2.31866,2.33345,1.56987,1.7857,1.44268,1.2256,0.80601,0.25509,0.13758,
45 to 49,0.68739,0.59113,0.77487,1.06546,1.25607,1.2853,1.44806,1.58508,1.81814,1.61331,1.83285,1.24379,1.15874,0.59015,0.19787,0.1303,
50 to 54,0.83596,0.46102,0.50138,0.61407,0.93179,1.23458,1.17186,1.25577,1.40445,1.21023,1.56879,1.40352,1.07245,0.74762,0.17836,0.1429,
55 to 59,0.76408,0.50583,0.31997,0.31358,0.59136,0.72042,0.90222,0.74643,0.61571,0.70341,1.02479,1.11228,1.07149,0.58401,0.12402,0.07863,
60 to 64,0.56239,0.48996,0.25508,0.224,0.33872,0.44332,0.52966,0.51242,0.47026,0.35081,0.45367,0.64586,0.56622,0.51392,0.19345,0.05383,
65 to 69,0.43955,0.33546,0.25612,0.17345,0.16018,0.20749,0.26466,0.29974,0.24088,0.18933,0.15444,0.23898,0.31947,0.2503,0.15378,0.07905,
70 to 74,0.29127,0.17438,0.19432,0.08905,0.11748,0.05664,0.08369,0.13056,0.0956,0.06977,0.05603,0.06974,0.11378,0.10468,0.13615,0.06343,
75+,0.14681,0.12787,0.15854,0.05894,0.09488,0.03372,0.07319,0.05175,0.04547,0.06001,0.04517,0.04922,0.04541,0.04859,0.07602,0.03812,
