Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,2.42737,1.53806,0.79973,0.46451,0.6663,1.10104,0.96345,0.91917,0.64283,0.38671,0.5184,0.77031,0.76901,0.49475,0.25547,0.23607,
5 to 9,1.9457,4.38206,2.36859,0.89695,0.50466,0.54451,1.05316,1.21177,0.9614,0.67918,0.51067,0.81442,0.75296,0.73632,0.69552,0.30913,
10 to 14,1.1434,2.01448,5.73304,2.52697,0.54253,0.27906,0.71634,0.90627,0.90606,0.67242,0.60715,0.46149,0.44175,0.55578,0.48848,0.38745,
15 to 19,0.71216,0.758,1.3535,6.54218,2.66526,0.85218,0.41174,0.68238,0.7403,0.87582,0.72019,0.61013,0.43303,0.31635,0.39397,0.30281,
20 to 24,1.08204,0.45637,0.67586,2.04017,4.27128,2.16966,1.0881,0.72588,0.86324,0.76614,0.79848,0.6382,0.51001,0.33584,0.10062,0.09569,
25 to 29,1.56715,1.05574,0.61408,1.03664,2.32016,2.88923,1.72063,1.23985,1.08246,0.87063,1.05646,0.93903,0.73921,0.51081,0.19722,0.08279,
30 to 34,1.73305,1.33628,0.83214,0.75458,1.543,1.96084,2.20955,1.56756,1.4819,1.10123,1.11915,1.14854,0.86735,0.62219,0.16625,0.11622,
35 to 39,1.51527,1.3942,1.08636,1.01791,1.31018,1.53328,1.84051,2.09127,1.63905,1.29719,1.12574,0.9822,0.98937,0.47051,0.29009,0.17976,
40 to 44,1.03433,1.20234,1.21614,1.12792,1.12954,1.26606,1.45288,1.84882,1.94121,1.32708,1.49353,1.14196,0.94543,0.56501,0.28587,0.1654,
45 to 49,0.70891,0.61574,0.78282,1.02819,1.22032,1.07871,1.16666,1.26837,1.50694,1.36439,1.54026,0.99685,0.88864,0.40529,0.23726,0.1749,
50 to 54,0.85287,0.47795,0.50573,0.58204,0.88795,1.02451,0.94656,0.99709,1.15334,1.02738,1.30139,1.10283,0.82563,0.50639,0.22421,0.19938,
55 to 59,0.77947,0.52595,0.3252,0.29618,0.56546,0.59529,0.72293,0.58863,0.50223,0.58572,0.86553,0.85656,0.8119,0.41028,0.15684,0.11541,
60 to 64,0.57383,0.50916,0.2588,0.21314,0.30721,0.34126,0.40824,0.3956,0.38016,0.29091,0.37976,0.48571,0.42808,0.3426,0.23146,0.07327,
65 to 69,0.45185,0.34921,0.25939,0.16115,0.14172,0.15228,0.19112,0.21916,0.18359,0.14239,0.12586,0.17476,0.23312,0.18116,0.1788,0.10686,
70 to 74,0.30176,0.18156,0.1969,0.09005,0.12095,0.05658,0.07177,0.1045,0.08735,0.07044,0.0617,0.05881,0.10255,0.09255,0.15738,0.08045,
75+,0.15224,0.13436,0.16197,0.05978,0.09798,0.03355,0.06376,0.04172,0.04101,0.06024,0.04908,0.04212,0.04104,0.0441,0.0885,0.04709,
