Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.63948,0.97408,0.43372,0.26672,0.41019,0.74052,0.81958,0.876,0.61546,0.34705,0.51419,0.79635,0.92245,0.63408,0.30949,0.26837,
5 to 9,1.09234,6.85233,2.50661,0.59057,0.33407,0.36203,0.89734,1.21074,1.00715,0.63693,0.53902,0.8093,0.84456,0.88539,0.80998,0.34708,
10 to 14,0.5892,1.4723,11.20317,3.54694,0.40231,0.19593,0.6453,0.98515,1.14422,0.7455,0.72839,0.52124,0.50808,0.67491,0.61545,0.46885,
15 to 19,0.37365,0.45564,1.09486,9.55562,2.51171,0.66405,0.34549,0.61397,0.8993,1.05543,0.86035,0.6573,0.51966,0.36301,0.53235,0.38134,
20 to 24,0.58551,0.28548,0.45597,1.52107,3.8912,1.88787,0.93364,0.65064,0.84609,0.86251,0.93587,0.69062,0.50681,0.38571,0.17014,0.14118,
25 to 29,0.88247,0.65239,0.39345,0.74275,1.88777,2.93202,1.64368,1.23024,1.06875,0.8725,1.10964,1.0549,0.76931,0.5126,0.34535,0.13714,
30 to 34,1.06379,0.92685,0.57727,0.52443,1.17442,1.73802,2.31036,1.5779,1.4244,0.98337,0.93507,1.08178,0.8936,0.76028,0.32246,0.21684,
35 to 39,0.97615,1.00242,0.82982,0.75502,0.96103,1.29676,1.66584,2.32718,1.62783,1.16501,0.86415,0.77489,0.89281,0.72335,0.56373,0.31528,
40 to 44,0.65569,0.92064,1.02281,0.93628,0.87903,1.06293,1.23335,1.75009,2.12582,1.24212,1.13336,0.80692,0.70961,0.65084,0.5783,0.31523,
45 to 49,0.38959,0.42578,0.61031,0.91489,1.07908,0.92258,0.94454,1.10841,1.37419,1.43832,1.21973,0.71141,0.56873,0.3547,0.44113,0.31973,
50 to 54,0.46009,0.29861,0.37143,0.49919,0.73791,0.88579,0.76664,0.76213,0.89066,0.90779,1.08507,0.86463,0.5499,0.39493,0.34547,0.31602,
55 to 59,0.4164,0.31742,0.21892,0.21347,0.43653,0.50731,0.59268,0.48335,0.36208,0.41764,0.66323,0.83444,0.65024,0.43418,0.26076,0.18662,
60 to 64,0.30899,0.30377,0.16757,0.14072,0.1858,0.24453,0.34215,0.40957,0.32278,0.23844,0.31462,0.47491,0.62706,0.43481,0.4538,0.1414,
65 to 69,0.23745,0.2083,0.16807,0.10864,0.09472,0.10637,0.16219,0.25178,0.20368,0.13422,0.13909,0.22058,0.3553,0.46927,0.39177,0.20348,
70 to 74,0.1562,0.10878,0.13242,0.06812,0.10321,0.05402,0.08402,0.15021,0.13994,0.11951,0.1026,0.10881,0.21617,0.2142,0.42803,0.18147,
75+,0.08242,0.08367,0.11065,0.04821,0.08562,0.03563,0.07529,0.06099,0.06775,0.10769,0.08889,0.07754,0.08855,0.10265,0.19398,0.13311,
