Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.97397,1.31481,0.69602,0.42489,0.61881,1.01551,0.95341,0.96732,0.7038,0.3904,0.54237,0.78871,0.85881,0.53646,0.21712,0.13813,
5 to 9,1.56082,5.9949,2.57408,0.81789,0.45415,0.47859,1.02597,1.26366,1.05068,0.6867,0.53657,0.81397,0.80112,0.76699,0.5474,0.18764,
10 to 14,0.91684,1.81612,7.97128,2.87707,0.50643,0.24955,0.71935,0.99809,1.06287,0.72243,0.67899,0.49329,0.48688,0.57661,0.39319,0.23736,
15 to 19,0.58304,0.64551,1.26453,7.04661,2.64521,0.71446,0.34973,0.59284,0.78764,0.87857,0.73302,0.60572,0.46885,0.31643,0.33558,0.19716,
20 to 24,0.89506,0.39542,0.61152,1.76,3.85037,1.75949,0.80157,0.50667,0.63736,0.62225,0.69999,0.54482,0.38791,0.29544,0.09072,0.0659,
25 to 29,1.29891,0.90277,0.54833,0.89054,1.89921,2.3371,1.37232,0.92946,0.77076,0.62133,0.80506,0.79268,0.55463,0.37599,0.18408,0.05803,
30 to 34,1.43653,1.17025,0.76779,0.62063,1.1521,1.5315,1.69427,1.23849,1.09262,0.73359,0.72079,0.84464,0.63629,0.52787,0.16218,0.0829,
35 to 39,1.24027,1.20042,1.00276,0.88088,0.86536,1.08096,1.34733,1.58421,1.22899,0.8824,0.67349,0.63778,0.67979,0.46211,0.27526,0.12739,
40 to 44,0.8507,1.04091,1.1186,0.98995,0.80428,0.86312,1.00018,1.33373,1.45126,0.936,0.90791,0.70201,0.58153,0.46374,0.2757,0.12479,
45 to 49,0.57798,0.52769,0.71245,0.90062,0.93916,0.77901,0.77966,0.87505,1.06031,0.97774,0.9776,0.64887,0.50266,0.27412,0.21773,0.12969,
50 to 54,0.69604,0.40578,0.45782,0.49783,0.64593,0.73835,0.67799,0.64072,0.74027,0.73097,0.79526,0.74797,0.50159,0.33099,0.20091,0.14576,
55 to 59,0.6383,0.44532,0.29316,0.25029,0.43263,0.43921,0.54175,0.44181,0.33406,0.38672,0.58976,0.61945,0.54157,0.33114,0.14331,0.08355,
60 to 64,0.46956,0.43263,0.23295,0.18216,0.19922,0.22244,0.29829,0.35867,0.2889,0.21032,0.27208,0.38194,0.35298,0.29162,0.22964,0.05587,
65 to 69,0.36857,0.29709,0.23251,0.14198,0.11312,0.11287,0.15572,0.22053,0.1763,0.11591,0.11236,0.17249,0.24319,0.21842,0.18594,0.08073,
70 to 74,0.24568,0.15422,0.17683,0.08615,0.11851,0.05617,0.07684,0.1282,0.11181,0.08982,0.07678,0.07492,0.13815,0.13007,0.16552,0.07393,
75+,0.12299,0.11358,0.14529,0.05687,0.09598,0.03275,0.06747,0.05082,0.05173,0.07655,0.06093,0.05195,0.05366,0.05727,0.09643,0.04039,
