Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.63219,1.09943,0.37542,0.23015,0.49499,0.91274,0.70615,0.48511,0.29802,0.17821,0.38376,0.56543,0.60613,0.30691,0.14204,0.17985,
5 to 9,1.24875,7.51566,2.48373,0.54526,0.30482,0.42748,0.98076,0.91548,0.55018,0.26115,0.313,0.46541,0.50061,0.42722,0.37883,0.23624,
10 to 14,0.57298,1.57404,8.35426,2.94102,0.39515,0.19787,0.74147,0.98811,0.88207,0.39903,0.395,0.27641,0.28842,0.35285,0.33404,0.38826,
15 to 19,0.41273,0.47813,1.1791,7.38598,2.454,0.6315,0.31207,0.59944,0.87327,0.79066,0.63078,0.40961,0.32023,0.20688,0.33886,0.3927,
20 to 24,0.92712,0.31566,0.51077,1.59134,3.61635,1.97127,0.85972,0.54518,0.75158,0.79038,0.96,0.64696,0.4259,0.28138,0.12401,0.15675,
25 to 29,1.34226,0.95322,0.46799,0.75279,1.96097,2.66164,1.69642,1.09696,0.89709,0.77484,1.18034,1.12653,0.76155,0.43808,0.25653,0.1416,
30 to 34,1.18148,1.22363,0.77445,0.51516,1.10847,1.77771,1.98166,1.51559,1.24214,0.85352,0.94514,1.1635,0.94264,0.69033,0.25386,0.21869,
35 to 39,0.86237,1.04757,1.03125,0.86197,0.85677,1.24184,1.66663,1.89178,1.49335,1.01997,0.82743,0.80003,0.9431,0.69946,0.49959,0.40665,
40 to 44,0.57598,0.78687,0.99471,0.97814,0.84937,0.99243,1.16776,1.63411,1.66115,1.13363,1.10498,0.82878,0.70911,0.62971,0.53481,0.4523,
45 to 49,0.43366,0.38531,0.59071,0.83253,1.01305,0.92675,0.91483,1.03991,1.2804,1.11612,1.23612,0.71544,0.56222,0.3223,0.37871,0.40204,
50 to 54,0.58928,0.33213,0.3752,0.45385,0.7223,0.96879,0.84675,0.77379,0.87924,0.8902,1.00915,0.97668,0.54086,0.32876,0.23541,0.34603,
55 to 59,0.58748,0.41598,0.25519,0.22517,0.47513,0.57399,0.70531,0.53968,0.38268,0.43819,0.78926,0.73057,0.69592,0.35599,0.16845,0.15248,
60 to 64,0.41804,0.40357,0.21429,0.16839,0.20664,0.29084,0.42173,0.47594,0.34378,0.23059,0.31551,0.49789,0.43729,0.4043,0.32384,0.10194,
65 to 69,0.28727,0.25362,0.21586,0.13145,0.11056,0.12925,0.19106,0.28742,0.22712,0.13197,0.12688,0.18796,0.33043,0.26328,0.2999,0.16607,
70 to 74,0.17712,0.12533,0.15761,0.08131,0.11524,0.06087,0.09281,0.15813,0.13996,0.11157,0.09059,0.09024,0.17976,0.17478,0.24514,0.16867,
75+,0.0884,0.08738,0.12279,0.05243,0.09273,0.03588,0.07843,0.06036,0.06371,0.09343,0.0735,0.05816,0.07305,0.0813,0.13956,0.08254,
