Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,2.59374,1.50721,0.49791,0.25103,0.42449,0.93976,1.10294,0.9809,0.68294,0.41161,0.58698,0.91372,0.83939,0.45481,0.19332,0.16122,
5 to 9,1.68711,9.65088,2.81347,0.5308,0.31887,0.44356,1.2318,1.36272,1.0867,0.72348,0.62113,0.92306,0.77236,0.63525,0.50062,0.20972,
10 to 14,0.89681,1.92775,10.78938,3.316,0.36789,0.23168,0.87916,1.13387,1.20059,0.81834,0.79742,0.57612,0.46521,0.48744,0.37103,0.28411,
15 to 19,0.57755,0.63273,1.1413,9.10405,2.35823,0.65909,0.39089,0.60616,0.90093,1.03565,0.86256,0.67289,0.45406,0.25243,0.31273,0.22603,
20 to 24,0.88681,0.38919,0.48876,1.15648,3.16405,1.91806,1.0513,0.63256,0.80373,0.85012,0.91236,0.66956,0.39324,0.25652,0.08984,0.07845,
25 to 29,1.29892,0.88989,0.4226,0.5567,1.60264,2.96594,2.01022,1.36132,1.1713,0.97838,1.21815,1.0569,0.60543,0.33838,0.1875,0.07417,
30 to 34,1.44117,1.20969,0.61874,0.3821,1.01094,1.92272,2.63471,1.77763,1.60993,1.16528,1.12205,1.11747,0.7003,0.48398,0.16983,0.11411,
35 to 39,1.22974,1.22907,0.84248,0.57545,0.82721,1.46495,2.07122,2.42655,1.83398,1.38518,1.07858,0.82898,0.71949,0.454,0.30133,0.17527,
40 to 44,0.82219,1.05013,0.94381,0.67895,0.75507,1.22064,1.56544,2.0313,2.26607,1.49049,1.45207,0.89462,0.58365,0.41809,0.29973,0.17226,
45 to 49,0.55513,0.52037,0.58756,0.62526,0.87647,1.05899,1.23803,1.34644,1.65465,1.61268,1.55857,0.79973,0.48383,0.23535,0.22556,0.16807,
50 to 54,0.67751,0.40004,0.37169,0.34232,0.6063,0.99311,1.02116,0.9709,1.13257,1.1156,1.29242,0.95968,0.47468,0.2681,0.18303,0.16713,
55 to 59,0.62104,0.43583,0.23284,0.15948,0.35226,0.50583,0.71998,0.5378,0.40249,0.47387,0.73578,0.74962,0.50721,0.26966,0.13204,0.09209,
60 to 64,0.45233,0.41972,0.18242,0.11345,0.14603,0.22851,0.37762,0.41969,0.31412,0.23229,0.30327,0.44087,0.40353,0.26122,0.22505,0.06791,
65 to 69,0.34653,0.2846,0.18184,0.0891,0.08161,0.11086,0.19374,0.25907,0.19968,0.13119,0.13144,0.20586,0.26443,0.23448,0.19035,0.10048,
70 to 74,0.23078,0.15043,0.14151,0.0569,0.08912,0.05872,0.10397,0.15718,0.1363,0.11515,0.09624,0.10031,0.1606,0.12909,0.18659,0.08927,
75+,0.11759,0.11075,0.1153,0.03809,0.07267,0.0353,0.09113,0.06233,0.06472,0.10102,0.07912,0.06818,0.06397,0.0593,0.09578,0.05804,
