Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,2.42164,1.61457,0.88314,0.52839,0.70903,1.02655,0.83911,0.83168,0.56068,0.35328,0.46599,0.72926,0.69507,0.46377,0.18565,0.19102,
5 to 9,1.96721,6.09108,2.87748,1.04235,0.54529,0.52222,0.94629,1.1351,0.86588,0.64856,0.48878,0.82788,0.72273,0.73887,0.53078,0.25803,
10 to 14,1.14227,2.17821,7.20117,2.97309,0.57066,0.2619,0.63406,0.83527,0.80228,0.63053,0.57057,0.45958,0.42274,0.55967,0.36802,0.323,
15 to 19,0.70533,0.78983,1.50997,7.54087,2.76198,0.82144,0.38041,0.65019,0.66958,0.82352,0.66971,0.59034,0.40355,0.31738,0.29344,0.24777,
20 to 24,1.07517,0.47527,0.74815,2.24899,4.2519,2.00663,0.948,0.63925,0.74873,0.67526,0.69379,0.56793,0.4507,0.32844,0.07466,0.07532,
25 to 29,1.56896,1.10864,0.68601,1.18678,2.3721,2.95728,1.69161,1.27804,1.12723,0.91733,1.07762,0.95435,0.7574,0.60084,0.14742,0.06674,
30 to 34,1.73142,1.40065,0.92879,0.85128,1.52222,1.97435,2.11829,1.52985,1.45747,1.11813,1.113,1.14043,0.85576,0.67645,0.12216,0.08962,
35 to 39,1.51377,1.46487,1.21454,1.15499,1.26149,1.58009,1.77562,2.03955,1.60063,1.30319,1.12293,0.98916,0.98305,0.47951,0.21599,0.14291,
40 to 44,1.02837,1.25524,1.35355,1.27248,1.09497,1.31874,1.42113,1.82139,1.89954,1.32916,1.4896,1.1523,0.94647,0.62198,0.21214,0.12717,
45 to 49,0.70785,0.6448,0.87374,1.16338,1.20634,1.108,1.15448,1.26301,1.49569,1.3691,1.53569,1.00763,0.90256,0.47107,0.18174,0.1382,
50 to 54,0.84949,0.49797,0.56112,0.6479,0.85692,1.03018,0.90129,0.97851,1.13229,1.00722,1.27275,1.07882,0.81497,0.57341,0.17151,0.16099,
55 to 59,0.77802,0.55112,0.36295,0.33186,0.55402,0.60025,0.68671,0.57149,0.4953,0.58558,0.843,0.8422,0.80313,0.45225,0.12244,0.09513,
60 to 64,0.57234,0.53242,0.28837,0.23956,0.29438,0.3487,0.38494,0.36859,0.36228,0.28503,0.36744,0.47137,0.41568,0.37329,0.17375,0.05767,
65 to 69,0.4517,0.36634,0.29019,0.18737,0.14973,0.1657,0.19175,0.21201,0.18217,0.15421,0.13035,0.17938,0.23971,0.18808,0.13693,0.08477,
70 to 74,0.30144,0.18936,0.2185,0.1026,0.12659,0.0519,0.06113,0.09117,0.07452,0.06259,0.05515,0.0537,0.09362,0.08502,0.12108,0.06089,
75+,0.15219,0.1406,0.18083,0.0685,0.10287,0.03065,0.05474,0.03657,0.03506,0.05347,0.04403,0.03901,0.03813,0.04122,0.06674,0.03667,
