Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,2.24501,1.50823,0.79864,0.47531,0.68665,1.27487,1.11591,0.98475,0.63842,0.3314,0.46076,0.67605,0.77021,0.49474,0.25433,0.17341,
5 to 9,1.85359,6.99063,2.92621,0.93362,0.53162,0.6311,1.24262,1.32319,0.96668,0.59211,0.50219,0.7467,0.71199,0.67944,0.63884,0.21802,
10 to 14,1.12549,2.16685,9.03497,3.1196,0.59098,0.34098,0.88148,1.04069,0.96464,0.60596,0.61691,0.45339,0.41447,0.50372,0.4383,0.28143,
15 to 19,0.70888,0.80391,1.45117,7.32547,2.66074,0.87415,0.40484,0.60185,0.7222,0.73106,0.60854,0.50631,0.41097,0.26779,0.36812,0.23146,
20 to 24,1.07768,0.47026,0.69126,1.8151,3.89067,2.03304,0.85526,0.4721,0.52796,0.50079,0.53108,0.41886,0.3133,0.24934,0.09833,0.07432,
25 to 29,1.53488,1.08402,0.61912,0.92925,1.96421,2.65652,1.45603,0.86032,0.63609,0.48607,0.59743,0.61096,0.44465,0.3089,0.2036,0.06648,
30 to 34,1.67601,1.39125,0.85947,0.6313,1.1494,1.69651,1.72993,1.13249,0.88216,0.54424,0.52068,0.63422,0.51411,0.43705,0.17479,0.09941,
35 to 39,1.4327,1.40874,1.11433,0.91731,0.83356,1.15537,1.36866,1.44228,0.97988,0.65821,0.46794,0.45581,0.52293,0.40036,0.3029,0.15291,
40 to 44,0.97433,1.21075,1.24069,1.02702,0.78517,0.87658,0.96132,1.1533,1.1207,0.66174,0.59235,0.45776,0.40788,0.37242,0.28699,0.14683,
45 to 49,0.66101,0.61384,0.78663,0.93789,0.95537,0.82389,0.72879,0.74376,0.79855,0.6858,0.62579,0.41285,0.3297,0.19736,0.2153,0.1317,
50 to 54,0.81139,0.48735,0.51488,0.53314,0.6517,0.80473,0.67142,0.53453,0.53524,0.50056,0.49436,0.47993,0.32485,0.23005,0.19078,0.14345,
55 to 59,0.74312,0.5294,0.32673,0.26058,0.43632,0.4738,0.54167,0.38289,0.23715,0.25165,0.36886,0.38704,0.34448,0.22223,0.12549,0.07531,
60 to 64,0.54593,0.50912,0.25871,0.19383,0.19569,0.2433,0.31889,0.34325,0.23152,0.14722,0.1749,0.25137,0.24142,0.19684,0.19826,0.05157,
65 to 69,0.4244,0.34725,0.25966,0.15211,0.11844,0.13221,0.16968,0.21725,0.15521,0.08505,0.07622,0.11846,0.16714,0.15367,0.15631,0.07423,
70 to 74,0.27918,0.18047,0.19645,0.09337,0.12708,0.06758,0.08908,0.1266,0.09544,0.06722,0.05377,0.05253,0.0969,0.08889,0.14059,0.05955,
75+,0.14099,0.13142,0.1589,0.06157,0.1027,0.04088,0.07665,0.04965,0.04552,0.05825,0.04369,0.03717,0.03812,0.04128,0.07723,0.03657,
