Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.60232,0.96884,0.37975,0.21091,0.36153,0.76942,0.8224,0.89539,0.58196,0.32139,0.53878,0.85787,0.97799,0.65204,0.27287,0.22838,
5 to 9,1.11888,7.5685,2.24145,0.47118,0.28068,0.36771,0.93989,1.28395,0.94602,0.59369,0.58786,0.89906,0.90466,0.91794,0.72138,0.29671,
10 to 14,0.63893,1.51904,8.93445,2.65543,0.34351,0.19672,0.69257,1.11011,1.1402,0.7049,0.77532,0.58052,0.56063,0.72401,0.56579,0.4098,
15 to 19,0.40684,0.4828,0.96203,6.86635,2.12111,0.61714,0.33315,0.63686,0.9121,0.99188,0.88354,0.70705,0.56015,0.38849,0.49072,0.33647,
20 to 24,0.68269,0.29857,0.40606,1.18534,3.28328,1.75468,0.85424,0.59362,0.74138,0.76878,0.944,0.7129,0.49648,0.39562,0.15336,0.12443,
25 to 29,1.05028,0.72395,0.35585,0.58066,1.56597,2.88683,1.6211,1.20523,0.96921,0.78219,1.13216,1.1067,0.73683,0.49977,0.30983,0.11996,
30 to 34,1.1918,1.06768,0.55156,0.41058,0.94938,1.67998,2.27492,1.5743,1.30495,0.865,0.92288,1.12564,0.85269,0.74087,0.2828,0.18891,
35 to 39,1.0153,1.08788,0.79035,0.6247,0.74009,1.2045,1.58244,2.28373,1.45973,0.99981,0.81685,0.77729,0.84428,0.74402,0.51226,0.27095,
40 to 44,0.6442,0.89077,0.89735,0.77485,0.69988,0.96429,1.13724,1.63287,1.92201,1.06308,1.0579,0.78251,0.64354,0.65359,0.52495,0.27209,
45 to 49,0.42164,0.42788,0.53284,0.71401,0.87139,0.85641,0.87077,1.03162,1.20644,1.28203,1.16246,0.69537,0.49312,0.3547,0.40405,0.28137,
50 to 54,0.51507,0.31659,0.31833,0.36889,0.58678,0.8407,0.7586,0.74242,0.81294,0.82183,1.12045,0.90936,0.51987,0.39423,0.30871,0.27626,
55 to 59,0.46019,0.34358,0.19571,0.16693,0.34501,0.4575,0.58076,0.49513,0.33437,0.37265,0.67594,0.926,0.64997,0.44695,0.23422,0.16295,
60 to 64,0.3405,0.325,0.15166,0.11224,0.13614,0.19784,0.30216,0.41894,0.28981,0.2015,0.30488,0.49832,0.66673,0.46163,0.40376,0.1251,
65 to 69,0.25551,0.22013,0.15165,0.08836,0.07775,0.0969,0.15513,0.26846,0.1971,0.12149,0.14336,0.23793,0.38652,0.51138,0.35516,0.18017,
70 to 74,0.17072,0.11641,0.11943,0.05615,0.08892,0.054,0.08506,0.16634,0.1413,0.11474,0.10926,0.12131,0.23831,0.23409,0.39634,0.16213,
75+,0.09028,0.08913,0.09856,0.03978,0.07477,0.03506,0.07626,0.06602,0.06687,0.1032,0.09565,0.08533,0.09727,0.11214,0.17411,0.12273,
