Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.99533,1.20038,0.48408,0.29536,0.46491,0.85562,0.80619,0.772,0.54339,0.38328,0.55827,0.95968,0.88465,0.53554,0.2797,0.21865,
5 to 9,1.31491,7.57165,2.46074,0.62586,0.34435,0.42025,0.95538,1.11983,0.88786,0.68875,0.61995,0.98551,0.81796,0.75086,0.73891,0.28536,
10 to 14,0.69962,1.5502,8.50647,2.88539,0.41917,0.21793,0.70156,0.96234,1.02258,0.80216,0.80491,0.62908,0.50377,0.58999,0.56699,0.39302,
15 to 19,0.44853,0.50798,1.07898,7.20887,2.21807,0.62538,0.30804,0.5276,0.79123,1.03221,0.87143,0.74687,0.49323,0.31171,0.48747,0.32108,
20 to 24,0.70831,0.30588,0.48654,1.41516,3.41456,1.81531,0.84701,0.56577,0.71542,0.83804,0.94045,0.76604,0.42369,0.31508,0.14813,0.11587,
25 to 29,1.02229,0.74401,0.43177,0.70013,1.77917,2.77329,1.6414,1.21859,1.02436,0.91995,1.22023,1.19412,0.61163,0.38308,0.30387,0.11014,
30 to 34,1.13081,1.00233,0.64271,0.48086,1.10629,1.80585,2.17778,1.59814,1.41599,1.09404,1.1139,1.25803,0.71102,0.58174,0.28417,0.17511,
35 to 39,0.95895,1.00907,0.86387,0.73062,0.89222,1.38806,1.75611,2.2186,1.64266,1.32795,1.08191,0.93137,0.70662,0.58082,0.50009,0.26206,
40 to 44,0.64686,0.86454,0.969,0.85495,0.81235,1.11661,1.30567,1.81542,1.96795,1.38431,1.39917,0.96098,0.52586,0.50778,0.5148,0.2625,
45 to 49,0.43762,0.43239,0.60572,0.78506,0.95863,0.97611,1.03662,1.20579,1.43229,1.50041,1.51303,0.86153,0.40182,0.26553,0.39538,0.26209,
50 to 54,0.52704,0.33088,0.38029,0.42541,0.66132,0.93681,0.86279,0.90119,1.01902,1.07778,1.30118,1.08582,0.43236,0.29699,0.30022,0.25532,
55 to 59,0.48211,0.35535,0.23838,0.20147,0.40068,0.49039,0.60624,0.50122,0.37476,0.47604,0.77868,0.88629,0.53444,0.33815,0.22132,0.14422,
60 to 64,0.35045,0.34081,0.18568,0.14273,0.14947,0.18507,0.26993,0.3432,0.24316,0.2046,0.28269,0.49388,0.46629,0.34376,0.38296,0.10962,
65 to 69,0.26998,0.23142,0.1857,0.1135,0.09249,0.09854,0.14403,0.22021,0.16915,0.12565,0.13404,0.24088,0.31984,0.32288,0.3312,0.1611,
70 to 74,0.17892,0.12162,0.14343,0.07261,0.10551,0.0565,0.08057,0.13644,0.12049,0.12112,0.10354,0.1213,0.1958,0.17525,0.32552,0.14454,
75+,0.0906,0.0892,0.11688,0.04861,0.08585,0.03354,0.07046,0.05402,0.05656,0.10474,0.08481,0.08163,0.07836,0.08226,0.16263,0.09565,
