Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.809,1.01592,0.30543,0.15062,0.34394,0.76691,0.63842,0.47253,0.26769,0.1289,0.20889,0.38483,0.46266,0.30795,0.14779,0.103,
5 to 9,1.08767,8.43732,2.25828,0.38757,0.20938,0.33276,0.82336,0.77283,0.48583,0.22355,0.23278,0.28578,0.32465,0.32918,0.36851,0.1834,
10 to 14,0.61214,1.42092,8.63101,2.67129,0.34321,0.16931,0.66297,1.03331,1.00554,0.44873,0.40112,0.227,0.21131,0.28624,0.36185,0.38938,
15 to 19,0.36354,0.41538,1.00755,6.64776,2.19131,0.75474,0.34976,0.61781,0.97291,0.92599,0.71947,0.42562,0.27724,0.16576,0.23225,0.28507,
20 to 24,0.76008,0.24755,0.41664,1.38768,3.56414,2.43373,1.20161,0.80798,1.04225,1.02137,1.1324,0.83299,0.61702,0.34345,0.10051,0.1028,
25 to 29,1.18402,0.7489,0.33675,0.68363,2.11326,3.62264,2.23068,1.64162,1.4527,1.15587,1.56166,1.36822,1.14893,0.61021,0.28612,0.09484,
30 to 34,1.18439,1.14762,0.60287,0.48816,1.35745,2.40285,2.91675,2.08945,1.88839,1.41311,1.41145,1.51043,1.26846,0.86565,0.30896,0.20446,
35 to 39,0.90837,1.00088,0.94874,0.7366,1.19074,1.85268,2.33717,2.87552,2.18685,1.60535,1.37779,1.15678,1.25242,0.69303,0.48883,0.42527,
40 to 44,0.59714,0.80664,1.00258,1.02102,1.10314,1.57116,1.78128,2.45718,2.7563,1.7868,1.85872,1.35205,1.0947,0.74489,0.50354,0.42662,
45 to 49,0.40483,0.37546,0.55682,0.83834,1.26855,1.31871,1.42331,1.59355,1.99316,1.93785,2.02707,1.11896,0.95663,0.39107,0.29491,0.3589,
50 to 54,0.48823,0.26011,0.3079,0.42789,0.8799,1.29902,1.14763,1.20074,1.41397,1.33055,1.76133,1.36241,0.87413,0.42303,0.17819,0.18771,
55 to 59,0.47831,0.29492,0.18443,0.18671,0.5199,0.71301,0.86216,0.69322,0.5843,0.67157,1.04914,1.13765,0.98981,0.40574,0.14589,0.10487,
60 to 64,0.35295,0.30618,0.14939,0.12428,0.26084,0.41318,0.49419,0.5004,0.42922,0.32853,0.453,0.64421,0.6703,0.44658,0.26775,0.08561,
65 to 69,0.28049,0.21955,0.16118,0.09462,0.10588,0.16142,0.2208,0.29086,0.23214,0.15684,0.15674,0.22341,0.39255,0.39416,0.28926,0.13472,
70 to 74,0.18541,0.13287,0.14507,0.06041,0.09407,0.06814,0.11315,0.174,0.15094,0.12085,0.10208,0.11084,0.21821,0.21724,0.33595,0.1804,
75+,0.0867,0.08723,0.10668,0.04164,0.07538,0.03716,0.08625,0.06885,0.07251,0.10888,0.07922,0.06973,0.0913,0.09044,0.15656,0.11873,
