Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.45725,0.73788,0.24763,0.14089,0.27561,0.53155,0.59269,0.61375,0.42011,0.24749,0.43084,0.76227,0.97819,0.76254,0.39786,0.3902,
5 to 9,0.74885,6.42832,2.04636,0.33556,0.21731,0.23664,0.68961,0.92068,0.71161,0.44753,0.4759,0.79847,0.89191,1.09626,1.07296,0.49883,
10 to 14,0.37253,1.03435,10.94649,3.36692,0.2762,0.13136,0.51425,0.82253,0.97245,0.58802,0.65154,0.53251,0.56004,0.86117,0.89404,0.6867,
15 to 19,0.24126,0.28463,0.86123,10.30568,2.56397,0.44771,0.2614,0.47368,0.86061,0.97936,0.83909,0.68531,0.59002,0.48426,0.78199,0.56865,
20 to 24,0.38181,0.1864,0.30443,0.96298,3.63499,1.54098,0.8198,0.60642,0.82983,0.85782,1.06583,0.79382,0.60767,0.51691,0.29559,0.24211,
25 to 29,0.66875,0.43795,0.25761,0.42491,1.52832,3.06398,1.72403,1.40204,1.27567,1.02044,1.48194,1.41838,1.01602,0.71593,0.59358,0.25495,
30 to 34,0.76379,0.77124,0.45139,0.31687,0.97322,1.7713,2.77984,1.83218,1.75398,1.22384,1.31953,1.60838,1.23525,1.0465,0.52113,0.40276,
35 to 39,0.6212,0.75547,0.68415,0.5162,0.83873,1.41574,1.90858,2.959,1.98687,1.42534,1.24984,1.17875,1.25729,1.13643,1.00868,0.51106,
40 to 44,0.3487,0.54003,0.72743,0.69691,0.79568,1.19514,1.47266,2.11161,2.83447,1.52511,1.65227,1.26563,1.03539,0.98938,1.07006,0.52604,
45 to 49,0.23301,0.25522,0.41854,0.63275,0.96419,0.96684,1.10629,1.32429,1.68339,1.96118,1.71133,1.0271,0.8092,0.57361,0.82963,0.61253,
50 to 54,0.29767,0.18513,0.22902,0.30199,0.66048,0.95385,0.88772,0.99092,1.19595,1.1187,1.887,1.32393,0.80816,0.62296,0.58791,0.59375,
55 to 59,0.25514,0.21024,0.14049,0.13114,0.344,0.48839,0.64763,0.56736,0.47552,0.52384,0.92141,1.66219,1.00943,0.72272,0.4818,0.36961,
60 to 64,0.19175,0.19,0.10853,0.08316,0.13676,0.20799,0.30412,0.3811,0.33263,0.24379,0.37997,0.67359,1.26214,0.80916,0.85028,0.29426,
65 to 69,0.13249,0.12596,0.10712,0.06377,0.06138,0.07057,0.11883,0.2164,0.18136,0.12265,0.1553,0.28868,0.56223,1.15216,0.77683,0.41265,
70 to 74,0.08958,0.06713,0.08793,0.04042,0.07494,0.04115,0.06538,0.1353,0.13591,0.11927,0.11808,0.15532,0.34967,0.39715,1.08782,0.37491,
75+,0.0535,0.05647,0.07437,0.03293,0.0679,0.03204,0.062,0.05402,0.06496,0.11761,0.12149,0.11919,0.1489,0.20429,0.35852,0.36934,
