Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.84299,1.08586,0.42428,0.24135,0.37435,0.82815,1.0674,1.09294,0.66973,0.34873,0.54324,0.77183,0.94657,0.58657,0.2507,0.19042,
5 to 9,1.33508,8.30333,2.59884,0.52057,0.29227,0.39844,1.18093,1.53227,1.07553,0.62198,0.54895,0.76801,0.84888,0.8113,0.65237,0.24609,
10 to 14,0.73019,1.54719,10.96835,3.40885,0.34094,0.21084,0.86813,1.2977,1.24459,0.7261,0.7181,0.48069,0.49576,0.6074,0.49037,0.32831,
15 to 19,0.46964,0.48813,1.04595,9.25084,2.30411,0.62175,0.39611,0.70311,0.94084,0.95545,0.80771,0.58431,0.49616,0.31951,0.4195,0.27188,
20 to 24,0.76057,0.31109,0.43738,1.18944,3.07104,1.7548,0.99499,0.65287,0.77305,0.75709,0.86219,0.59692,0.45785,0.34467,0.13323,0.09957,
25 to 29,1.13939,0.72427,0.38103,0.57432,1.45059,2.60113,1.781,1.24038,0.9302,0.73427,1.00158,0.92354,0.70078,0.46914,0.2819,0.09828,
30 to 34,1.25025,0.98543,0.56363,0.39106,0.87426,1.58016,2.37265,1.67053,1.28478,0.80004,0.81268,0.9417,0.81853,0.71286,0.26206,0.15303,
35 to 39,1.05403,0.98464,0.77025,0.59267,0.68379,1.12609,1.73494,2.32745,1.47698,0.95802,0.71416,0.64085,0.80341,0.68031,0.46667,0.2281,
40 to 44,0.69295,0.83752,0.86937,0.70598,0.6435,0.89567,1.2204,1.73535,1.85164,1.02343,0.92573,0.63728,0.59889,0.60465,0.46988,0.22938,
45 to 49,0.45795,0.41209,0.5338,0.65503,0.77478,0.80727,0.92805,1.08927,1.21104,1.15343,1.01785,0.5706,0.45978,0.31363,0.35711,0.22694,
50 to 54,0.55952,0.31,0.329,0.35483,0.51606,0.76736,0.83862,0.76005,0.78151,0.77331,0.88688,0.71984,0.46797,0.34376,0.27213,0.22187,
55 to 59,0.51089,0.33672,0.20356,0.16419,0.31778,0.42992,0.66116,0.53979,0.32731,0.34838,0.58864,0.66471,0.56408,0.37124,0.20286,0.12743,
60 to 64,0.37112,0.31981,0.15826,0.11422,0.1361,0.20754,0.37842,0.5002,0.3214,0.21014,0.28767,0.40904,0.51677,0.36765,0.33995,0.0948,
65 to 69,0.28263,0.21756,0.15955,0.09016,0.07832,0.10788,0.20536,0.32586,0.22659,0.12973,0.13643,0.19834,0.33027,0.36457,0.29864,0.13858,
70 to 74,0.18447,0.11306,0.12268,0.05625,0.08461,0.05683,0.11006,0.19689,0.15404,0.11595,0.10124,0.09775,0.19816,0.18329,0.29968,0.12286,
75+,0.09583,0.08421,0.10019,0.03873,0.06936,0.03477,0.09727,0.07838,0.07307,0.10262,0.0854,0.0675,0.08017,0.08588,0.14765,0.08508,
