Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,2.27469,1.63735,0.84115,0.47357,0.60998,1.06731,1.0356,1.04625,0.74291,0.388,0.52306,0.74488,0.79139,0.53092,0.22121,0.34594,
5 to 9,2.07435,8.07899,3.22422,1.05719,0.53033,0.55027,1.17249,1.46226,1.21007,0.80111,0.66588,0.97296,0.99506,0.97457,0.77151,0.45239,
10 to 14,1.18495,2.26255,8.81336,3.17543,0.55543,0.27692,0.75126,1.00585,1.07133,0.71874,0.77929,0.56588,0.55313,0.69536,0.4714,0.60717,
15 to 19,0.63612,0.75467,1.3169,7.66036,2.60613,0.87796,0.4399,0.74205,0.80985,0.93222,0.86474,0.71475,0.521,0.36996,0.37258,0.45142,
20 to 24,0.92845,0.44521,0.66573,2.06062,3.77408,2.0618,1.04931,0.709,0.84084,0.69616,0.80832,0.59907,0.51355,0.36831,0.09329,0.13069,
25 to 29,1.39436,0.976,0.60037,1.10734,2.2027,2.93078,1.89857,1.43345,1.26367,0.97412,1.15807,0.98916,0.8152,0.59333,0.1637,0.10436,
30 to 34,1.56876,1.21708,0.79094,0.8172,1.43947,2.06162,2.29358,1.78034,1.70328,1.21517,1.2147,1.19204,0.90378,0.69763,0.15285,0.13026,
35 to 39,1.39668,1.30426,1.01061,1.0566,1.21742,1.65195,2.00885,2.32508,1.88583,1.46776,1.26078,1.04117,1.07491,0.46678,0.25619,0.24683,
40 to 44,0.97349,1.13853,1.12757,1.15328,1.03915,1.39115,1.61475,2.12245,2.19123,1.4836,1.69584,1.2542,1.03078,0.64083,0.23853,0.24298,
45 to 49,0.67041,0.60412,0.73869,1.02753,1.07025,1.13549,1.26716,1.44439,1.70012,1.46967,1.69755,1.06766,0.97022,0.46092,0.20278,0.2171,
50 to 54,0.79952,0.49457,0.51575,0.63411,0.81491,1.05878,1.01312,1.13431,1.32537,1.13764,1.40999,1.21969,0.94032,0.59574,0.1988,0.32305,
55 to 59,0.72066,0.52082,0.33012,0.32462,0.50629,0.59985,0.74974,0.64673,0.56294,0.63564,0.94775,0.8929,0.88107,0.47633,0.13744,0.12791,
60 to 64,0.53794,0.51565,0.26607,0.23991,0.28745,0.35922,0.4209,0.44036,0.42245,0.32075,0.42469,0.53308,0.43288,0.38594,0.2037,0.0812,
65 to 69,0.42984,0.34933,0.26323,0.17461,0.13754,0.16105,0.20587,0.24182,0.20733,0.16141,0.14064,0.19702,0.25038,0.17529,0.1532,0.1232,
70 to 74,0.28785,0.17918,0.19385,0.09221,0.1149,0.05324,0.07304,0.11599,0.09581,0.07522,0.06353,0.05951,0.10256,0.09422,0.12394,0.06741,
75+,0.14398,0.12929,0.16018,0.05957,0.09216,0.03091,0.06438,0.04652,0.04539,0.06279,0.0527,0.04067,0.04089,0.04535,0.06363,0.02684,
