Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.6501,0.99623,0.36714,0.20789,0.32262,0.7134,0.88907,0.98374,0.59684,0.3453,0.53831,1.04997,1.17973,0.80201,0.40695,0.34479,
5 to 9,1.01441,8.78672,2.45052,0.45252,0.23833,0.33615,0.9981,1.40301,0.97295,0.62285,0.5521,1.05988,1.09021,1.13478,1.08135,0.4465,
10 to 14,0.50685,1.33795,9.8294,2.30644,0.30056,0.1791,0.73072,1.19996,1.16014,0.74178,0.72219,0.66401,0.66558,0.88149,0.8345,0.60871,
15 to 19,0.31013,0.38272,0.89101,5.2744,1.65393,0.55885,0.34313,0.66882,0.90133,1.0076,0.82629,0.80499,0.6481,0.46754,0.71108,0.49138,
20 to 24,0.50471,0.22475,0.37762,1.12973,3.09048,1.85591,1.07288,0.77754,0.91912,0.93687,1.05745,0.93811,0.62782,0.47917,0.22647,0.18194,
25 to 29,0.80488,0.58314,0.3406,0.55758,1.66782,3.0844,1.97775,1.5376,1.23189,1.04777,1.39505,1.49905,0.95669,0.61661,0.46119,0.17626,
30 to 34,0.908,0.87749,0.53544,0.3954,1.09354,1.88619,2.84707,2.00378,1.67143,1.23812,1.27222,1.6347,1.11748,0.90336,0.41604,0.27575,
35 to 39,0.76486,0.88283,0.76232,0.60381,0.93435,1.44682,2.03767,2.92627,1.85672,1.41813,1.18266,1.19557,1.1196,0.90168,0.74892,0.39333,
40 to 44,0.47419,0.70426,0.8445,0.75637,0.8256,1.18395,1.50989,2.1547,2.40013,1.47671,1.52775,1.25552,0.88981,0.79735,0.77082,0.39204,
45 to 49,0.31524,0.34127,0.50776,0.69965,0.96583,1.04179,1.22937,1.45045,1.6501,1.78958,1.69341,1.12797,0.72901,0.44017,0.5899,0.41019,
50 to 54,0.38941,0.25096,0.29765,0.35895,0.68197,1.00412,1.01426,1.07828,1.16731,1.16463,1.58974,1.39158,0.73946,0.49712,0.45242,0.40678,
55 to 59,0.34679,0.27849,0.18507,0.1637,0.39151,0.55394,0.77777,0.67864,0.49243,0.58538,0.94038,1.37981,0.88515,0.5495,0.34446,0.23915,
60 to 64,0.25674,0.26193,0.14495,0.10981,0.15326,0.22701,0.36491,0.48164,0.33816,0.2511,0.35335,0.6527,0.82601,0.55777,0.59446,0.18157,
65 to 69,0.19005,0.17694,0.14467,0.08561,0.07107,0.09239,0.16818,0.2927,0.20287,0.13213,0.14494,0.28958,0.46055,0.62066,0.52035,0.26169,
70 to 74,0.12671,0.0934,0.11449,0.05395,0.07905,0.0494,0.08988,0.17906,0.14275,0.12009,0.10745,0.14556,0.28227,0.27734,0.58952,0.2321,
75+,0.06883,0.07256,0.09483,0.03923,0.06693,0.03307,0.08129,0.07139,0.06763,0.10982,0.09637,0.10416,0.11568,0.13448,0.24931,0.18024,
