Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,2.14084,0.94227,0.25964,0.15395,0.26699,0.61112,0.66704,0.55359,0.34779,0.22949,0.33283,0.51383,0.57716,0.43463,0.32999,0.30159,
5 to 9,1.03827,8.86848,2.49831,0.39026,0.23328,0.2643,0.71596,0.84557,0.69046,0.43512,0.46103,0.59486,0.53985,0.62022,0.8607,0.3751,
10 to 14,0.41654,1.14443,12.18355,3.74766,0.28508,0.13103,0.4558,0.6488,0.94511,0.5884,0.64154,0.43864,0.35164,0.48271,0.70564,0.50855,
15 to 19,0.26242,0.27712,0.96006,11.7012,3.15729,0.67885,0.3602,0.57717,0.89975,1.21731,0.99731,0.71836,0.45097,0.30398,0.71394,0.40186,
20 to 24,0.36141,0.19378,0.32237,1.41926,4.64097,1.87877,0.91757,0.63776,0.85723,0.91092,1.08927,0.81015,0.58059,0.35354,0.28474,0.19413,
25 to 29,0.63117,0.36864,0.24959,0.65218,1.7285,3.52201,1.6441,1.25235,1.21435,1.0194,1.46396,1.33292,0.96622,0.49711,0.49963,0.21257,
30 to 34,0.95843,0.70805,0.41649,0.53365,1.17497,1.91378,2.78105,1.59168,1.63226,1.29122,1.37006,1.53506,1.13112,0.70515,0.50118,0.36903,
35 to 39,0.85719,0.86386,0.74894,0.74961,1.04652,1.48244,1.83043,2.72298,1.87964,1.50433,1.37265,1.27028,1.23273,0.66998,0.85207,0.4254,
40 to 44,0.45069,0.68965,0.96213,1.00667,0.94789,1.2689,1.43755,1.94511,2.87607,1.65828,1.85287,1.48637,1.16383,0.69605,0.99727,0.44883,
45 to 49,0.27081,0.2815,0.51605,0.95868,1.20595,1.07326,1.17049,1.31543,1.76403,2.30917,2.0501,1.27956,1.05353,0.43638,0.75931,0.50505,
50 to 54,0.30217,0.18202,0.26276,0.47737,0.8244,1.08414,0.919,1.00953,1.2813,1.28795,2.25212,1.56976,0.99113,0.48863,0.59227,0.48992,
55 to 59,0.25664,0.17265,0.15062,0.21851,0.48336,0.6251,0.71107,0.59477,0.56901,0.70302,1.20378,1.88351,1.18617,0.56692,0.52302,0.33341,
60 to 64,0.18997,0.16845,0.11274,0.11959,0.21665,0.30447,0.35625,0.35311,0.38161,0.32425,0.50515,0.76424,1.35079,0.63072,1.00596,0.29304,
65 to 69,0.14962,0.11954,0.11066,0.07621,0.07134,0.08343,0.11825,0.16282,0.15513,0.12331,0.16531,0.26025,0.46572,1.06793,0.97007,0.41021,
70 to 74,0.10278,0.06273,0.08673,0.04621,0.07988,0.04662,0.06069,0.1004,0.11315,0.11095,0.11972,0.13815,0.29432,0.33186,1.39966,0.40207,
75+,0.05377,0.04866,0.07442,0.03076,0.06522,0.02856,0.05747,0.04079,0.05219,0.0947,0.0996,0.09086,0.12355,0.15546,0.45022,0.41276,
