Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.58692,0.3878,0.04046,0.03504,0.06756,0.2502,0.43655,0.18752,0.08651,0.04841,0.07396,0.0,0.06326,0.0103,0.0,0.10826,
5 to 9,0.67543,2.60532,0.48136,0.17043,0.03214,0.10349,0.29889,0.33013,0.28667,0.04318,0.14378,0.03045,0.06471,0.0541,0.0419,0.1234,
10 to 14,0.29119,0.53872,3.43358,1.8558,0.12043,0.0811,0.07471,0.48639,0.70871,0.23614,0.1606,0.03008,0.0,0.05014,0.01537,0.02135,
15 to 19,0.39952,0.34486,0.60674,4.49036,1.73817,0.2141,0.06042,0.5335,0.90149,0.85097,0.45543,0.13522,0.14357,0.04697,0.16099,0.01429,
20 to 24,0.4898,0.13011,0.11523,0.99532,2.94829,1.0978,0.47489,0.30725,0.66884,0.51248,0.65931,0.2857,0.24871,0.07792,0.07052,0.02975,
25 to 29,0.49139,0.26094,0.07781,0.24265,0.80649,1.57778,1.17546,0.38469,0.41864,0.57106,0.75179,0.52143,0.4721,0.1269,0.16129,0.10354,
30 to 34,0.88848,0.49559,0.18568,0.12765,0.469,0.98137,1.98192,0.67751,0.40891,0.67358,0.56724,0.66124,0.46137,0.22871,0.27758,0.32523,
35 to 39,0.69643,0.51601,0.48179,0.51227,0.52504,0.69501,1.42879,1.87691,0.9872,0.99598,0.65041,0.52951,0.63369,0.21742,0.55713,0.15976,
40 to 44,0.40805,0.53619,0.8036,0.63017,0.51458,0.48817,1.40679,1.26417,1.51498,1.14349,1.1014,0.87158,0.56646,0.42958,0.22122,0.19914,
45 to 49,0.26899,0.21835,0.28286,0.48162,0.68965,0.83127,0.51147,0.65234,1.19194,1.41409,1.45721,0.84727,0.41869,0.20149,0.37313,0.13527,
50 to 54,0.27373,0.13304,0.19055,0.30307,0.38809,0.56193,0.75118,0.52651,0.5538,0.71547,1.58101,0.87167,0.49732,0.3095,0.18936,0.34667,
55 to 59,0.16682,0.09839,0.06523,0.1519,0.26094,0.43487,0.28062,0.40048,0.20272,0.39214,0.99769,1.15757,0.78388,0.27595,0.25843,0.1358,
60 to 64,0.09912,0.14195,0.0572,0.05617,0.09775,0.28303,0.43032,0.18737,0.27313,0.22235,0.32978,0.5987,0.96548,0.49455,0.57281,0.16172,
65 to 69,0.08198,0.11875,0.07993,0.04747,0.03207,0.0683,0.10509,0.14463,0.11233,0.10038,0.10298,0.18818,0.30441,0.91012,0.7143,0.18697,
70 to 74,0.16174,0.04758,0.05594,0.03426,0.03861,0.01908,0.03827,0.06542,0.07,0.1053,0.03091,0.08693,0.05806,0.26436,1.1005,0.16038,
75+,0.07499,0.03452,0.0195,0.02052,0.03592,0.01813,0.00264,0.01584,0.04435,0.01978,0.04566,0.03584,0.02436,0.02573,0.20547,0.2899,
