Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.8913,0.82689,0.2273,0.1492,0.20923,0.39145,0.55852,0.72575,0.53512,0.29331,0.42049,0.72497,0.92109,0.72888,0.44012,0.44572,
5 to 9,0.82254,8.42781,2.34929,0.36748,0.21462,0.20244,0.58624,0.9465,0.93469,0.57377,0.48956,0.75712,0.82853,1.00532,1.14628,0.56949,
10 to 14,0.318,1.01836,11.51107,3.38549,0.25479,0.11902,0.39329,0.69291,1.05448,0.69512,0.68966,0.50991,0.50611,0.75972,0.9303,0.77686,
15 to 19,0.2082,0.24219,0.78415,9.7159,2.04179,0.42403,0.2245,0.37726,0.75109,1.06643,0.86765,0.65263,0.53673,0.41864,0.82459,0.62514,
20 to 24,0.25491,0.16602,0.28039,0.97782,3.19265,1.56013,0.82788,0.63312,0.88047,0.97823,1.13002,0.87829,0.65507,0.49762,0.318,0.26619,
25 to 29,0.40397,0.30806,0.22573,0.44241,1.49099,3.08697,1.72759,1.46325,1.41508,1.20131,1.5758,1.55687,1.1335,0.72004,0.61451,0.27796,
30 to 34,0.60279,0.50532,0.32817,0.3133,1.00184,1.8262,2.759,1.85605,1.89155,1.46665,1.46103,1.73266,1.38995,1.11894,0.60397,0.46725,
35 to 39,0.6371,0.62119,0.53578,0.45541,0.88505,1.48197,1.91969,3.01568,2.14825,1.69311,1.41889,1.32319,1.37312,1.03842,1.0073,0.5972,
40 to 44,0.43598,0.65662,0.77517,0.64267,0.78244,1.28113,1.51631,2.21827,3.08198,1.82521,1.89483,1.49892,1.16062,0.94377,1.1012,0.62437,
45 to 49,0.20855,0.27421,0.44031,0.72848,1.00434,1.06756,1.21048,1.45302,1.9336,2.36251,2.04821,1.29559,0.99729,0.54464,0.82885,0.67815,
50 to 54,0.22876,0.16403,0.25851,0.40925,0.75314,1.089,0.92584,1.08697,1.38092,1.41044,2.08905,1.55148,0.9414,0.61504,0.65229,0.65572,
55 to 59,0.20139,0.16328,0.13454,0.14791,0.42494,0.65981,0.7304,0.62786,0.58759,0.72375,1.13601,1.72815,1.15878,0.72773,0.52877,0.42767,
60 to 64,0.15621,0.15437,0.09688,0.08542,0.17102,0.29756,0.38419,0.40884,0.39769,0.33514,0.46101,0.74801,1.27793,0.75224,0.98878,0.34715,
65 to 69,0.11945,0.10757,0.09701,0.0656,0.06306,0.08459,0.13111,0.21652,0.20151,0.15589,0.17221,0.3034,0.542,1.07378,0.86668,0.47726,
70 to 74,0.07818,0.05624,0.08141,0.0428,0.06975,0.03867,0.06337,0.12551,0.14248,0.1401,0.12559,0.15297,0.33853,0.37021,1.17404,0.43906,
75+,0.04493,0.04759,0.07144,0.03396,0.06041,0.03113,0.0591,0.05375,0.07364,0.13698,0.1224,0.12103,0.14606,0.18722,0.42569,0.39661,
