Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,3.04344,1.20845,0.15347,0.09025,0.27539,0.08507,0.63588,0.81874,0.7374,0.16633,0.10944,0.2193,0.23847,0.13948,0.04093,0.1079,
5 to 9,1.24649,10.1288,3.08049,0.34056,0.15677,0.13585,0.37516,0.90508,0.68818,0.4912,0.26885,0.39172,0.1547,0.14594,0.08626,0.12997,
10 to 14,0.26198,1.00301,16.17287,5.07975,0.19176,0.12529,0.4832,0.47935,0.72168,0.3707,0.66942,0.5776,0.16648,0.03041,0.20513,0.0,
15 to 19,0.16686,0.11219,0.71628,15.3756,2.30237,0.67974,0.16951,0.29232,0.50397,0.75116,0.75212,0.15119,0.34485,0.02805,0.17619,0.37474,
20 to 24,0.19565,0.1425,0.51446,1.07688,5.39306,2.63195,0.92486,0.68016,0.83622,0.63304,0.67755,0.55108,0.5273,0.25568,0.11416,0.08632,
25 to 29,0.43121,0.18904,0.28057,0.52571,2.06936,4.72612,1.82882,1.56006,1.2286,0.69539,1.1801,1.19212,1.04079,0.53755,0.3641,1.7E-4,
30 to 34,0.67155,0.5172,0.35462,0.26177,1.09298,2.64677,3.79013,2.54251,2.06039,1.47258,0.99815,1.36672,1.07499,1.20458,0.40442,5.8E-4,
35 to 39,1.11993,1.02111,0.54905,0.3025,0.92067,1.51947,1.90556,4.8701,1.94286,1.56778,1.63481,1.35978,1.38335,0.99957,0.51903,0.24811,
40 to 44,0.86208,1.46645,1.25942,0.69626,0.7427,1.51516,1.46943,3.28484,3.54523,1.8219,1.78075,1.68336,1.45266,0.77545,0.89636,0.58928,
45 to 49,0.37999,0.3499,0.73103,1.08894,1.36324,1.26673,0.80479,1.79314,1.8809,2.30724,1.44077,1.41434,1.56278,0.6588,0.55803,1.04343,
50 to 54,0.31621,0.13343,0.45944,0.65863,1.14383,1.2602,0.98208,1.17994,1.78275,1.47966,1.90787,1.80958,1.03248,0.73736,0.39271,0.50446,
55 to 59,0.32382,0.11537,0.09019,0.10655,0.6926,0.8884,0.74662,0.87443,0.65343,0.84888,1.19174,2.56957,1.39016,0.62483,0.43228,1.17561,
60 to 64,0.25846,0.19032,0.11503,0.08485,0.27868,0.51667,0.56723,0.67121,0.534,0.35512,0.56347,1.06207,1.5719,0.907,1.15613,0.15126,
65 to 69,0.26476,0.19822,0.23597,0.02087,0.10778,0.08141,0.20307,0.56323,0.23473,0.17803,0.20941,0.36739,0.78409,2.07288,1.36244,1.64261,
70 to 74,0.24317,0.11511,0.16008,0.06133,0.15904,0.08952,0.16366,0.24777,0.26885,0.1283,0.24427,0.34524,0.51783,0.38102,1.42812,0.55532,
75+,0.14253,0.05745,0.18881,0.0532,0.1477,0.03179,0.10306,0.12327,0.07972,0.18986,0.21446,0.19424,0.3299,0.26304,0.25108,1.3E-4,
