Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.63033,1.0526,0.39913,0.24516,0.42081,0.70089,0.58015,0.48951,0.30916,0.20198,0.23509,0.35233,0.29045,0.1944,0.06747,0.10901,
5 to 9,1.12279,7.5227,2.48418,0.50773,0.29794,0.34379,0.70734,0.72329,0.452,0.299,0.28024,0.38771,0.32559,0.28639,0.22231,0.14266,
10 to 14,0.64235,1.57548,9.87479,3.35184,0.37468,0.20174,0.68646,0.79011,0.71111,0.42447,0.39915,0.3179,0.28014,0.33621,0.2703,0.31097,
15 to 19,0.46493,0.47627,1.12272,9.0434,2.62452,0.65292,0.34572,0.60811,0.71298,0.75082,0.52353,0.42243,0.29972,0.19169,0.25926,0.30765,
20 to 24,0.83401,0.33938,0.49348,1.56616,3.82038,2.04997,1.00653,0.70849,0.85135,0.80124,0.75834,0.57742,0.4172,0.26254,0.10114,0.12377,
25 to 29,1.04776,0.78782,0.44395,0.74227,1.97661,2.90957,1.73438,1.32342,1.1303,0.90727,1.09095,0.99739,0.70473,0.40346,0.17127,0.08813,
30 to 34,1.09708,1.02678,0.71145,0.55681,1.31931,1.95601,2.24688,1.67388,1.52414,1.11545,1.09469,1.21369,0.87751,0.55932,0.16848,0.17363,
35 to 39,0.8903,0.94442,0.84657,0.81942,1.13878,1.54959,1.86189,2.2554,1.72043,1.32355,1.10303,0.98576,0.99083,0.55655,0.35469,0.21652,
40 to 44,0.62675,0.77928,0.89302,0.88672,0.98336,1.2671,1.43674,1.9299,2.02545,1.36105,1.43711,1.12311,0.89299,0.56409,0.402,0.28865,
45 to 49,0.46987,0.42512,0.57996,0.78114,1.06761,1.07687,1.13939,1.29641,1.51965,1.37565,1.50272,0.93133,0.79912,0.36758,0.3776,0.32146,
50 to 54,0.53288,0.3235,0.36277,0.38988,0.71588,0.97742,0.92655,0.97444,1.10644,1.02912,1.21116,1.06992,0.72502,0.39705,0.2279,0.30011,
55 to 59,0.48788,0.36789,0.24549,0.2093,0.45786,0.57164,0.71914,0.5996,0.48627,0.5502,0.83089,0.90092,0.79038,0.39725,0.18961,0.14731,
60 to 64,0.34642,0.35613,0.20096,0.15524,0.23333,0.30199,0.39332,0.43631,0.37277,0.28598,0.38005,0.53152,0.50163,0.39033,0.32447,0.12307,
65 to 69,0.27384,0.23529,0.19742,0.12003,0.11089,0.12601,0.1769,0.25023,0.19368,0.14025,0.13552,0.20099,0.30453,0.28257,0.30313,0.1898,
70 to 74,0.18145,0.12384,0.15084,0.07501,0.10931,0.05841,0.07883,0.13834,0.1234,0.11233,0.0901,0.09628,0.18249,0.18395,0.28618,0.16239,
75+,0.09313,0.09131,0.12192,0.05146,0.09062,0.03365,0.07327,0.05311,0.05779,0.09318,0.07627,0.06377,0.07711,0.0874,0.14321,0.09939,
