Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,2.65927,1.7104,0.18962,0.15187,0.26775,0.32737,1.81881,0.57145,0.41871,0.0,0.0,0.0,0.23129,0.03333,0.0,0.03972,
5 to 9,1.09186,15.58246,2.09461,0.09334,0.0,0.18421,1.02544,0.7411,0.90417,0.45511,0.27087,0.0,0.14993,0.03341,0.0,0.11021,
10 to 14,0.1471,1.2269,15.33185,5.40913,0.04502,0.0,0.94106,0.31209,0.52152,0.74279,0.12785,0.0,0.1442,0.0,0.0,0.25338,
15 to 19,0.07509,0.19367,1.00035,11.34355,0.78312,0.19114,2.83384,0.13833,0.237,0.7679,0.45976,0.52834,0.27766,0.03319,0.006,0.04123,
20 to 24,0.11644,0.06203,0.13474,0.94198,3.11651,0.64708,0.65011,0.91484,2.2152,0.564,2.19313,1.35781,0.52366,0.27853,0.20817,0.25342,
25 to 29,0.13922,0.32594,0.05691,0.72093,1.32266,3.24827,1.68417,0.65515,1.39534,1.15231,2.14306,1.20176,0.56827,0.30209,0.09283,0.11308,
30 to 34,1.14392,0.28089,0.14396,2.65842,2.15531,1.21893,5.73738,1.04864,1.40781,0.8625,0.63706,0.92986,0.69139,0.21987,0.09416,0.32983,
35 to 39,1.13291,1.17729,0.54734,0.29418,2.70712,1.52523,3.48483,3.35722,4.47681,1.7751,1.62164,1.10621,1.24155,0.39862,0.27764,0.1807,
40 to 44,0.37074,1.28411,1.1864,0.50997,0.14846,2.07214,2.18089,2.21887,5.97477,2.29091,0.20117,2.04867,0.94481,0.38618,0.53548,0.40563,
45 to 49,0.0887,0.24242,0.81159,0.88659,0.42108,0.83369,4.13343,4.77517,2.93043,2.32407,2.19816,1.59463,0.79238,0.06716,0.38617,0.32641,
50 to 54,0.3103,0.18578,0.32717,0.78092,0.72737,1.83459,1.10975,1.78276,2.89889,1.30969,1.38518,1.20264,1.65448,0.32613,0.18752,0.18624,
55 to 59,0.30467,0.15132,0.06614,0.14075,0.0,0.64731,0.41256,0.36325,0.42135,0.79722,0.63989,2.64155,2.14446,0.4891,0.56885,0.35082,
60 to 64,0.31561,0.02461,0.02083,0.02968,0.01281,0.18045,0.08416,0.62115,0.40457,0.32379,0.15202,1.23577,1.40411,1.02927,0.70726,0.03566,
65 to 69,0.14182,0.10774,0.05522,0.03743,0.0,0.019,0.028,0.16128,0.13879,0.0,0.13809,0.67268,0.65454,0.69884,0.63192,0.53082,
70 to 74,0.0,0.10474,0.12619,0.08187,0.01992,0.0,0.07951,0.11366,0.2105,0.03957,0.00843,0.0,0.71182,0.37511,1.80676,0.42596,
75+,0.0,0.06432,0.0,0.0,0.0499,0.0,0.22386,0.02638,0.0,0.00136,0.04838,0.03089,0.08814,0.09026,0.19507,0.67839,
