Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,2.00046,0.98901,0.27672,0.18483,0.31698,0.61219,0.74001,0.63101,0.40956,0.40259,0.70069,1.17112,0.998,0.78577,0.43263,0.42841,
5 to 9,0.96313,8.81441,2.33543,0.41121,0.24369,0.29284,0.86438,0.91586,0.68239,0.72535,0.73039,1.19338,0.91926,1.1142,1.15689,0.55142,
10 to 14,0.43134,1.18341,10.43912,2.99093,0.30138,0.15849,0.63813,0.78408,0.82748,0.87349,0.96735,0.76247,0.56651,0.86867,0.91158,0.75824,
15 to 19,0.27846,0.32304,0.79974,7.77717,1.97245,0.49751,0.30366,0.44883,0.69543,1.24849,1.13649,0.93476,0.56981,0.47007,0.78936,0.61967,
20 to 24,0.41605,0.1985,0.30327,1.03444,3.25923,1.6518,0.9285,0.5958,0.76304,1.07816,1.40729,1.06831,0.56209,0.49122,0.26555,0.24031,
25 to 29,0.66337,0.4802,0.26793,0.48642,1.58532,2.68947,1.6425,1.13714,1.00437,1.05877,1.68108,1.67307,0.85288,0.64023,0.53682,0.23702,
30 to 34,0.7614,0.75056,0.43449,0.35131,1.02936,1.60348,2.49474,1.50187,1.39028,1.2338,1.44469,1.80423,1.02232,0.95567,0.48616,0.37632,
35 to 39,0.64908,0.75311,0.6253,0.54978,0.88345,1.23121,1.75767,2.27745,1.57404,1.46386,1.33897,1.28862,1.02852,0.97838,0.88856,0.5166,
40 to 44,0.39914,0.60132,0.69145,0.70448,0.82667,1.04598,1.34975,1.75585,2.13583,1.60349,1.80222,1.37025,0.82914,0.85913,0.93282,0.52652,
45 to 49,0.26185,0.29183,0.41407,0.6566,0.97109,0.90477,1.05606,1.15056,1.42845,2.00589,1.97088,1.19469,0.66184,0.47731,0.72178,0.57194,
50 to 54,0.32029,0.21056,0.24096,0.33663,0.70597,0.92681,0.91711,0.91159,1.08746,1.30322,2.06726,1.58484,0.68654,0.53103,0.5346,0.55522,
55 to 59,0.28115,0.23048,0.14712,0.14905,0.38753,0.49605,0.68461,0.52025,0.42889,0.61255,1.1508,1.68828,0.82951,0.60126,0.41466,0.33332,
60 to 64,0.20846,0.21329,0.11313,0.09719,0.1463,0.1982,0.32063,0.33562,0.26313,0.28809,0.46716,0.78819,0.84084,0.63079,0.72517,0.25789,
65 to 69,0.15159,0.14309,0.11225,0.07587,0.07009,0.08257,0.14651,0.19952,0.1514,0.16315,0.20761,0.36035,0.44637,0.7501,0.64132,0.3694,
70 to 74,0.10117,0.07576,0.08993,0.04802,0.08039,0.04533,0.07899,0.12165,0.10771,0.15486,0.15746,0.18596,0.27579,0.31456,0.77028,0.33253,
75+,0.05625,0.06023,0.07495,0.03616,0.06936,0.03208,0.07219,0.04866,0.05149,0.14513,0.14685,0.13635,0.1143,0.15509,0.30625,0.27393,
