Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.89725,1.1581,0.48173,0.28271,0.44541,0.7762,0.76782,0.75494,0.56044,0.33599,0.47829,0.7101,0.77386,0.49406,0.2611,0.22447,
5 to 9,1.29577,7.3574,2.44604,0.59752,0.33453,0.38039,0.87572,1.06679,0.90068,0.60473,0.51417,0.74028,0.72077,0.70201,0.68971,0.29276,
10 to 14,0.72336,1.55861,8.97408,3.03553,0.40183,0.20079,0.6639,0.92127,1.04724,0.7124,0.69121,0.48883,0.44854,0.55318,0.52941,0.40072,
15 to 19,0.46311,0.51599,1.09344,7.97186,2.45057,0.65987,0.34151,0.59794,0.87138,1.0204,0.83232,0.64489,0.47965,0.31204,0.47019,0.32953,
20 to 24,0.72865,0.31615,0.47936,1.50073,3.76072,1.96689,0.99884,0.69445,0.91612,0.90333,0.98213,0.74195,0.55025,0.35853,0.14927,0.12318,
25 to 29,1.05029,0.75352,0.42344,0.74372,1.97575,2.99574,1.79828,1.36407,1.23582,1.03273,1.33313,1.21214,0.88843,0.54365,0.30052,0.11947,
30 to 34,1.18847,1.03041,0.64619,0.53388,1.28027,1.93252,2.42139,1.73938,1.661,1.23978,1.26341,1.37481,1.04094,0.74024,0.28658,0.19228,
35 to 39,1.02103,1.0516,0.87926,0.78461,1.08148,1.50283,1.89781,2.41601,1.87591,1.44874,1.21749,1.08763,1.11116,0.64567,0.50295,0.27632,
40 to 44,0.67698,0.89567,0.981,0.92827,0.98145,1.26914,1.47859,2.01991,2.35707,1.55805,1.6394,1.24292,0.99327,0.66358,0.5283,0.27889,
45 to 49,0.4482,0.44186,0.60667,0.84684,1.10406,1.08341,1.18931,1.35639,1.71338,1.70925,1.75444,1.07377,0.88079,0.41145,0.40695,0.29107,
50 to 54,0.53151,0.32474,0.37261,0.45699,0.78154,1.04125,0.97138,1.03333,1.24649,1.20903,1.53227,1.2686,0.82494,0.47465,0.31054,0.28004,
55 to 59,0.48134,0.34896,0.23262,0.22142,0.48533,0.59771,0.74536,0.62974,0.53889,0.63887,0.99485,1.0982,0.90853,0.46051,0.2339,0.16515,
60 to 64,0.35158,0.33482,0.18033,0.15079,0.2368,0.31399,0.40314,0.4441,0.40918,0.31806,0.42619,0.59775,0.6246,0.44356,0.41111,0.12858,
65 to 69,0.27131,0.22845,0.18033,0.11484,0.10682,0.12676,0.17973,0.25155,0.21694,0.15801,0.15443,0.22718,0.35351,0.37236,0.35953,0.18818,
70 to 74,0.18108,0.12055,0.13907,0.06973,0.10316,0.05385,0.08055,0.13954,0.13332,0.11746,0.10012,0.10176,0.19689,0.18954,0.36431,0.17018,
75+,0.09205,0.08886,0.11391,0.04698,0.08392,0.03214,0.07053,0.05528,0.06256,0.10304,0.08345,0.06903,0.07931,0.08933,0.17661,0.11825,
