Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.25721,0.68927,0.26411,0.16935,0.30307,0.68708,0.7067,0.69662,0.46203,0.27334,0.48353,0.76286,0.97066,0.7142,0.34089,0.30024,
5 to 9,0.76036,6.96499,2.00476,0.40015,0.23183,0.30907,0.84464,1.03783,0.75826,0.49336,0.49466,0.78698,0.87564,1.01764,0.91853,0.38492,
10 to 14,0.42355,1.10564,9.46268,3.00415,0.30032,0.17373,0.64505,0.95214,1.01293,0.626,0.65487,0.50315,0.53994,0.78942,0.75349,0.52875,
15 to 19,0.26798,0.31995,0.82616,8.66343,2.17392,0.53927,0.29666,0.52203,0.88563,0.99218,0.82054,0.63689,0.55845,0.43795,0.64649,0.4389,
20 to 24,0.4702,0.19844,0.31177,1.07441,3.49674,1.8101,0.90655,0.6272,0.84397,0.91305,1.11791,0.77202,0.58878,0.46416,0.23913,0.18353,
25 to 29,0.82616,0.51529,0.27695,0.49257,1.61557,3.44974,1.84718,1.39409,1.21574,1.03237,1.51755,1.39859,0.99917,0.64406,0.49527,0.19156,
30 to 34,0.88778,0.89011,0.49167,0.35226,0.98771,1.91087,2.93463,1.82462,1.65903,1.17879,1.29675,1.58361,1.21694,0.94659,0.42725,0.29653,
35 to 39,0.71436,0.82803,0.71564,0.59752,0.82234,1.44599,1.93617,2.91861,1.86444,1.36818,1.19154,1.14089,1.22672,1.02949,0.83222,0.38815,
40 to 44,0.40702,0.57728,0.72029,0.80459,0.80762,1.19717,1.45358,2.02266,2.64862,1.46626,1.57531,1.22146,1.00431,0.87594,0.87355,0.3959,
45 to 49,0.27958,0.28336,0.41933,0.71908,1.00038,1.05488,1.11907,1.30077,1.60625,1.93802,1.68859,1.01253,0.79862,0.49532,0.67191,0.45357,
50 to 54,0.36561,0.20965,0.23562,0.34013,0.6911,1.07041,0.95367,0.98274,1.15331,1.13546,1.87387,1.29622,0.79313,0.53621,0.46956,0.4358,
55 to 59,0.31457,0.2472,0.14746,0.15077,0.36986,0.57565,0.74929,0.61652,0.48924,0.55605,0.96754,1.57963,0.97745,0.61482,0.37638,0.26527,
60 to 64,0.23726,0.22175,0.11577,0.1013,0.15412,0.25816,0.37616,0.44409,0.36263,0.26848,0.40423,0.65169,1.08926,0.67958,0.65172,0.20598,
65 to 69,0.16067,0.14559,0.11481,0.07886,0.06777,0.09187,0.14938,0.25404,0.19715,0.13346,0.16017,0.26579,0.50077,0.90943,0.58789,0.29039,
70 to 74,0.10793,0.07774,0.09469,0.04988,0.08234,0.05289,0.08216,0.1574,0.14626,0.12917,0.1217,0.14147,0.3092,0.32868,0.80448,0.26153,
75+,0.06483,0.0657,0.07964,0.04145,0.07575,0.0426,0.07747,0.06259,0.07025,0.12976,0.12798,0.11108,0.13141,0.16931,0.27146,0.24973,
