Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,2.09655,1.48567,0.75238,0.4131,0.55288,0.90339,0.83328,0.75674,0.55567,0.28965,0.50607,0.65226,0.78594,0.40294,0.25602,0.20524,
5 to 9,1.54668,8.38237,3.03075,0.76324,0.38753,0.37718,0.83005,0.85062,0.65654,0.43325,0.46494,0.68566,0.76368,0.53896,0.75064,0.25698,
10 to 14,1.00207,2.10604,10.77305,3.21476,0.4599,0.21811,0.64889,0.77839,0.8133,0.50142,0.58098,0.44722,0.51816,0.55182,0.71916,0.52663,
15 to 19,0.63013,0.70391,1.32657,8.1059,2.60993,0.90009,0.46142,0.78895,0.80766,0.89943,0.79161,0.66797,0.49921,0.33835,0.56301,0.38102,
20 to 24,0.91523,0.44128,0.65819,2.15461,4.05049,2.16257,1.15169,0.80507,0.9154,0.75947,0.7981,0.61646,0.56231,0.36785,0.09732,0.1185,
25 to 29,1.29876,0.95004,0.59,1.141,2.3422,3.00195,1.86963,1.44794,1.2629,0.96341,1.17772,0.99098,0.84863,0.61006,0.16545,0.06514,
30 to 34,1.48804,1.26745,0.82914,0.86717,1.60177,2.06896,2.31586,1.76199,1.65523,1.19162,1.22189,1.22126,0.99503,0.68511,0.12363,0.11103,
35 to 39,1.24596,1.24806,0.99455,1.07873,1.38939,1.67526,1.96933,2.33241,1.84482,1.4213,1.23999,1.06422,1.09624,0.39399,0.23609,0.14657,
40 to 44,0.88761,1.09758,1.12173,1.16415,1.13242,1.39701,1.56012,2.07938,2.13205,1.44941,1.63896,1.25987,1.06944,0.62612,0.2542,0.13989,
45 to 49,0.60032,0.55152,0.70509,1.00214,1.1522,1.13727,1.25634,1.43216,1.67478,1.45029,1.69631,1.06743,1.02638,0.47064,0.1762,0.12134,
50 to 54,0.74678,0.46897,0.48387,0.57141,0.85656,1.06923,1.00601,1.12762,1.2955,1.11473,1.42894,1.23146,0.94857,0.60903,0.18722,0.18638,
55 to 59,0.69793,0.54568,0.33708,0.32745,0.55928,0.63089,0.77108,0.66858,0.57685,0.65368,0.99411,0.96479,0.97219,0.47861,0.13437,0.10571,
60 to 64,0.51437,0.5383,0.27344,0.23496,0.33139,0.38254,0.44031,0.43598,0.43052,0.32165,0.42319,0.54388,0.50062,0.44018,0.22161,0.08019,
65 to 69,0.40517,0.35962,0.26754,0.17608,0.15291,0.17058,0.21411,0.24062,0.20666,0.1628,0.13665,0.17271,0.26844,0.19627,0.16282,0.11598,
70 to 74,0.27558,0.19333,0.21078,0.09475,0.11624,0.05135,0.06681,0.10976,0.09361,0.06521,0.05568,0.05049,0.0984,0.09544,0.11782,0.09959,
75+,0.13663,0.14049,0.16983,0.0605,0.09524,0.02861,0.06252,0.04423,0.04225,0.05305,0.04552,0.03575,0.03899,0.04485,0.10072,0.04521,
