Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.38033,0.87743,0.35831,0.18936,0.31793,0.79289,0.93657,0.85408,0.52918,0.29427,0.48985,1.03649,1.40084,0.79681,0.35829,0.22295,
5 to 9,0.96652,6.81214,2.28777,0.42507,0.24776,0.38342,1.06822,1.22347,0.86304,0.54214,0.52146,1.06553,1.32015,1.13477,0.95558,0.29126,
10 to 14,0.5435,1.35738,10.62813,3.14532,0.29828,0.20503,0.79772,1.05928,1.0217,0.63624,0.69822,0.68704,0.81492,0.89173,0.73833,0.39539,
15 to 19,0.35138,0.42121,0.96498,8.62789,2.0329,0.6131,0.36798,0.59901,0.82588,0.90238,0.80147,0.83704,0.8142,0.4745,0.641,0.32305,
20 to 24,0.57094,0.2595,0.38201,1.03834,2.99808,1.8791,1.01194,0.65669,0.80545,0.78156,0.9413,0.91557,0.80571,0.47606,0.20252,0.12011,
25 to 29,0.86384,0.62217,0.33472,0.49263,1.4847,2.96258,1.81775,1.27449,1.07076,0.87848,1.2229,1.43306,1.24381,0.58686,0.40606,0.1163,
30 to 34,0.96917,0.90133,0.51949,0.34778,0.93311,1.74874,2.52114,1.63173,1.40504,1.0003,1.07282,1.51333,1.43342,0.87946,0.3716,0.18273,
35 to 39,0.81853,0.90321,0.73098,0.53944,0.8032,1.32802,1.84024,2.41295,1.63087,1.20662,1.04426,1.13254,1.49837,0.89896,0.66566,0.25833,
40 to 44,0.52384,0.74305,0.81444,0.66495,0.75258,1.12919,1.39043,1.89133,2.17847,1.3341,1.44261,1.24324,1.27766,0.79198,0.69332,0.25996,
45 to 49,0.34812,0.36313,0.49246,0.6123,0.87125,1.00574,1.10647,1.25768,1.51851,1.55042,1.57289,1.11066,1.08206,0.42996,0.54276,0.27405,
50 to 54,0.42189,0.26779,0.29429,0.31693,0.61091,0.97591,0.95644,0.93951,1.08502,1.03817,1.43943,1.377,1.05976,0.48246,0.41337,0.26897,
55 to 59,0.37731,0.2927,0.18306,0.14815,0.36264,0.54974,0.75043,0.59982,0.46137,0.53388,0.88571,1.32818,1.21943,0.54629,0.31336,0.159,
60 to 64,0.27835,0.27669,0.1426,0.10319,0.18697,0.30294,0.43662,0.47896,0.38677,0.28693,0.41347,0.74887,1.0658,0.56825,0.5412,0.12191,
65 to 69,0.20898,0.18669,0.14221,0.07654,0.06664,0.09676,0.17488,0.25746,0.17877,0.10887,0.13182,0.2916,0.56257,0.60614,0.47451,0.176,
70 to 74,0.13938,0.0987,0.11149,0.04883,0.07659,0.05545,0.09783,0.15959,0.12789,0.10355,0.10096,0.14893,0.34853,0.28743,0.51377,0.15713,
75+,0.07407,0.07497,0.09138,0.0343,0.06402,0.03581,0.08751,0.06335,0.0604,0.09299,0.08807,0.10472,0.14244,0.13832,0.22749,0.11678,
