Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.68882,0.87638,0.31373,0.18849,0.32461,0.65397,0.67159,0.70407,0.45561,0.27578,0.42577,0.7939,1.00881,0.78913,0.35994,0.30057,
5 to 9,0.95576,8.03036,2.3946,0.43977,0.25189,0.29616,0.76146,1.02665,0.7736,0.50838,0.47791,0.83478,0.92329,1.1254,0.9578,0.38236,
10 to 14,0.48156,1.22616,11.29155,3.54976,0.31497,0.16069,0.56025,0.89476,0.99542,0.64431,0.64136,0.54657,0.57143,0.87124,0.7679,0.52134,
15 to 19,0.30472,0.34302,0.97637,10.40111,2.53521,0.52523,0.27925,0.50934,0.84076,0.99461,0.79468,0.69178,0.59851,0.47903,0.66858,0.42744,
20 to 24,0.48772,0.21645,0.35904,1.16949,3.75724,1.72663,0.84887,0.61691,0.81652,0.84627,0.96302,0.77734,0.61468,0.51327,0.24125,0.17427,
25 to 29,0.82961,0.51796,0.31124,0.53586,1.65971,3.23487,1.70753,1.35306,1.21384,0.9983,1.33961,1.3475,1.01761,0.71033,0.4867,0.1803,
30 to 34,0.95528,0.861,0.52425,0.38792,1.03462,1.83462,2.66651,1.75375,1.6355,1.17131,1.201,1.50257,1.2164,1.03598,0.43584,0.28464,
35 to 39,0.79833,0.86422,0.78445,0.62937,0.86648,1.41005,1.81972,2.78794,1.8472,1.36002,1.1331,1.10408,1.24424,1.07477,0.81688,0.37528,
40 to 44,0.46186,0.65871,0.857,0.83562,0.83804,1.20436,1.41207,2.01972,2.63871,1.49133,1.53536,1.20941,1.04569,0.95431,0.85921,0.3794,
45 to 49,0.30118,0.31029,0.5018,0.76704,1.01085,1.01327,1.08169,1.28554,1.62498,1.88527,1.60575,1.00488,0.84175,0.54707,0.66165,0.42706,
50 to 54,0.37848,0.22243,0.27984,0.37669,0.69463,0.985,0.87731,0.9527,1.14417,1.10665,1.66544,1.26882,0.82525,0.6043,0.48331,0.41159,
55 to 59,0.32674,0.24676,0.17065,0.16428,0.37567,0.52075,0.65359,0.56837,0.46425,0.52886,0.86511,1.47533,0.98912,0.67814,0.38941,0.25392,
60 to 64,0.24574,0.22529,0.1318,0.10883,0.1638,0.24829,0.33588,0.4125,0.34818,0.26436,0.37185,0.65618,1.1063,0.73126,0.67923,0.20171,
65 to 69,0.17495,0.15143,0.13087,0.08343,0.07376,0.09049,0.13683,0.23665,0.18704,0.13098,0.1446,0.27726,0.52174,0.96162,0.62006,0.28536,
70 to 74,0.11777,0.08015,0.10565,0.05233,0.08514,0.04856,0.07144,0.14384,0.13275,0.11947,0.10624,0.14404,0.31871,0.35955,0.79959,0.25564,
75+,0.06889,0.06549,0.08884,0.04085,0.0751,0.03599,0.06672,0.05749,0.06302,0.11485,0.10377,0.10738,0.13471,0.181,0.28283,0.23597,
