Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,2.10951,1.05933,0.35313,0.24775,0.4119,0.82192,0.8035,0.81596,0.54745,0.49514,0.84522,1.04028,1.40457,0.54138,0.42045,0.40637,
5 to 9,1.14488,8.36911,2.51458,0.5334,0.30626,0.3869,0.90454,1.15351,0.88787,0.8943,0.82072,1.05832,1.32492,0.78457,1.13859,0.52954,
10 to 14,0.55381,1.31678,11.17431,3.02161,0.3777,0.20694,0.65587,0.96237,1.01744,1.04359,1.07718,0.66022,0.812,0.61106,0.87175,0.72049,
15 to 19,0.34587,0.37246,0.89345,7.57423,2.36478,0.88893,0.45652,0.84032,0.97447,1.57718,1.39857,0.95078,0.82926,0.37506,0.74159,0.58494,
20 to 24,0.53808,0.21779,0.3606,1.71777,3.9964,2.28901,1.17725,0.84906,1.05291,1.28777,1.56888,1.0071,0.88004,0.40803,0.22355,0.21045,
25 to 29,0.8461,0.54881,0.32414,0.88328,2.20785,3.54947,2.01962,1.5717,1.39001,1.35549,1.92995,1.56861,1.33882,0.63542,0.45249,0.19684,
30 to 34,0.94702,0.81123,0.50218,0.68324,1.45466,2.1922,2.77125,1.93963,1.80669,1.55605,1.6968,1.74847,1.53525,0.79837,0.39696,0.29973,
35 to 39,0.8022,0.81769,0.7005,0.89546,1.29017,1.73301,2.10774,2.77991,2.01309,1.82759,1.59359,1.35198,1.60268,0.65624,0.71108,0.43183,
40 to 44,0.49696,0.65212,0.77156,1.0804,1.13979,1.46921,1.65621,2.25795,2.57025,1.94471,2.11682,1.50928,1.40148,0.71099,0.7309,0.42759,
45 to 49,0.33601,0.32229,0.47299,0.97198,1.25506,1.24259,1.33285,1.52339,1.85276,2.24725,2.29055,1.31377,1.21732,0.46312,0.56378,0.44508,
50 to 54,0.41722,0.23767,0.27966,0.52963,0.91513,1.20309,1.06771,1.16993,1.36876,1.52677,2.14704,1.56497,1.17848,0.55037,0.44341,0.45193,
55 to 59,0.37276,0.26634,0.17587,0.25981,0.5347,0.67942,0.82019,0.69797,0.58812,0.7972,1.34823,1.43995,1.30314,0.49825,0.3343,0.26462,
60 to 64,0.27637,0.25214,0.1396,0.1688,0.284,0.37605,0.45226,0.47874,0.43913,0.4213,0.61561,0.76789,1.0007,0.46234,0.56629,0.19477,
65 to 69,0.20405,0.16941,0.13827,0.11835,0.11436,0.14788,0.19459,0.26517,0.21652,0.21847,0.23769,0.29773,0.54293,0.37801,0.48662,0.28329,
70 to 74,0.13551,0.08859,0.10803,0.06152,0.09742,0.05472,0.07709,0.13797,0.1197,0.15642,0.15299,0.12887,0.30163,0.16993,0.52478,0.2449,
75+,0.07275,0.06844,0.08936,0.04414,0.08193,0.03627,0.06959,0.05491,0.05645,0.14128,0.13459,0.0923,0.12306,0.0815,0.23036,0.18088,
