Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,2.65623,1.78168,0.92043,0.57341,0.75635,1.27204,1.16622,1.25172,0.95315,0.58206,0.58904,1.03267,0.95369,0.68109,0.32566,0.4603,
5 to 9,2.1865,5.12108,2.84348,1.08457,0.58508,0.64164,1.21605,1.59302,1.31214,1.04605,0.6386,1.1679,0.9838,1.02202,0.93166,0.488,
10 to 14,1.25083,2.28748,7.93609,3.00873,0.57331,0.32483,0.79064,1.08728,1.11057,0.9929,0.77363,0.68323,0.59079,0.74867,0.6409,0.60102,
15 to 19,0.71848,0.78368,1.35802,7.16542,2.48177,0.9149,0.44336,0.73564,0.74684,1.02413,0.75666,0.72652,0.46226,0.36297,0.47342,0.43712,
20 to 24,1.03533,0.47761,0.69451,2.04256,3.63621,1.93639,1.02174,0.68158,0.7664,0.69509,0.65755,0.57397,0.41974,0.32826,0.097,0.16385,
25 to 29,1.5597,1.08364,0.66131,1.14863,2.13862,2.68167,1.68035,1.29728,1.12962,0.93423,0.99868,0.94452,0.67392,0.47582,0.21312,0.13234,
30 to 34,1.78006,1.31674,0.84996,0.83507,1.45818,1.89918,2.01577,1.54253,1.50396,1.13442,1.08725,1.19357,0.76721,0.60699,0.18101,0.18924,
35 to 39,1.57962,1.41468,1.05914,1.05364,1.19558,1.52406,1.74209,1.92116,1.56284,1.32465,1.07726,0.96225,0.89085,0.47739,0.30092,0.22423,
40 to 44,1.1264,1.23643,1.18631,1.0978,0.98981,1.24125,1.40355,1.74719,1.70866,1.24955,1.36515,1.0762,0.82008,0.47668,0.25716,0.19598,
45 to 49,0.78511,0.66105,0.80204,1.01336,1.03784,1.05307,1.13753,1.24129,1.40818,1.23449,1.39992,0.98786,0.76934,0.34837,0.24984,0.28014,
50 to 54,0.94378,0.54646,0.55762,0.61503,0.76623,0.9632,0.90017,0.97927,1.08642,0.977,1.14149,1.02219,0.72964,0.43693,0.28414,0.30054,
55 to 59,0.87127,0.60505,0.36935,0.32888,0.50535,0.56826,0.69494,0.58117,0.48188,0.58646,0.78818,0.76019,0.66866,0.39561,0.18174,0.26139,
60 to 64,0.64342,0.57884,0.29292,0.2323,0.2595,0.30775,0.35741,0.3818,0.36186,0.28356,0.32864,0.41367,0.29514,0.25405,0.2278,0.10133,
65 to 69,0.51266,0.39055,0.28287,0.16831,0.12339,0.13073,0.15868,0.19852,0.15961,0.12686,0.10179,0.16626,0.16758,0.12298,0.14359,0.16292,
70 to 74,0.34705,0.20397,0.21567,0.09836,0.1141,0.05116,0.06604,0.10189,0.08385,0.07275,0.06087,0.05616,0.09058,0.0907,0.0934,0.0716,
75+,0.17172,0.14621,0.17362,0.05994,0.09164,0.03021,0.05632,0.03824,0.03669,0.0598,0.04051,0.04777,0.03326,0.04318,0.05882,0.03695,
